,rust-lang/rust,swiftlang/swift,golang/go
2011-04-11,3.5091316791968747,6,7
2011-04-12,13.595862785906249,0,9
2011-04-13,7.234926985142187,0,22
2011-04-14,4.90772928354375,1,24
2011-04-15,-3.793505881990624,0,28
2011-04-16,1.8673809895187494,0,1
2011-04-17,3.027126034098437,0,3
2011-04-18,9.050700352285938,0,11
2011-04-19,15.181322454407812,0,9
2011-04-20,5.086106386839061,0,13
2011-04-21,0.005438051575001879,0,18
2011-04-22,9.967019351054688,2,14
2011-04-23,-4.796197555339063,0,7
2011-04-24,-3.419843935290624,0,1
2011-04-25,4.1615553157453125,0,14
2011-04-26,6.104540949418749,0,13
2011-04-27,7.041763327146874,0,13
2011-04-28,18.16641803114375,1,18
2011-04-29,12.337720746867188,7,7
2011-04-30,-9.492595224110937,0,0
2011-05-01,5.129878410479689,0,4
2011-05-02,-1.7627605139625002,0,20
2011-05-03,21.893894465659375,0,14
2011-05-04,5.844831938465624,0,7
2011-05-05,32.90106545523594,0,6
2011-05-06,1.12468343758281,0,5
2011-05-07,-10.458242601429687,1,2
2011-05-08,-6.607815511635935,0,6
2011-05-09,9.0970878828625,0,4
2011-05-10,2.3390195668609355,0,4
2011-05-11,28.965388589914063,0,10
2011-05-12,3.293521248948437,0,14
2011-05-13,13.289357115370313,0,22
2011-05-14,13.684394428692187,0,5
2011-05-15,-11.189656850470312,0,4
2011-05-16,13.42980858603594,0,14
2011-05-17,9.975931764548438,0,12
2011-05-18,18.038653917084375,0,12
2011-05-19,16.991917324109373,0,5
2011-05-20,12.1906278405875,0,9
2011-05-21,10.46435391391875,0,4
2011-05-22,14.807973132757812,0,5
2011-05-23,-9.338690668832811,0,7
2011-05-24,8.15204958447344,0,12
2011-05-25,4.736856707532812,0,17
2011-05-26,-5.661815203357811,0,12
2011-05-27,30.947970690265624,0,17
2011-05-28,-10.470996638403129,0,1
2011-05-29,-9.095959972673437,0,5
2011-05-30,-4.149644204520313,0,12
2011-05-31,22.294278591907812,2,21
2011-06-01,19.822651496840624,0,16
2011-06-02,6.482492183560936,0,21
2011-06-03,3.057640323198438,0,16
2011-06-04,8.726618674243749,0,1
2011-06-05,-8.090895779173438,6,2
2011-06-06,-2.188117678146873,0,16
2011-06-07,-0.049534209265624796,0,14
2011-06-08,14.231895238360938,0,13
2011-06-09,20.293999090478124,0,13
2011-06-10,13.305957023953123,0,14
2011-06-11,-3.235043304890624,0,5
2011-06-12,-3.022592838289061,0,1
2011-06-13,-2.624345659220312,0,10
2011-06-14,28.027507886989063,0,20
2011-06-15,32.97959804949062,0,11
2011-06-16,28.43418445153906,0,19
2011-06-17,16.023321119873437,0,15
2011-06-18,-8.057215032157814,0,3
2011-06-19,9.301953745790629,0,7
2011-06-20,9.639376509578126,0,24
2011-06-21,-2.687426555209374,0,7
2011-06-22,-2.2421460486968723,0,14
2011-06-23,4.771032114598436,0,7
2011-06-24,7.506966335290624,0,12
2011-06-25,-2.930457071534377,0,3
2011-06-26,-4.759511533298438,0,1
2011-06-27,32.94156795611563,0,21
2011-06-28,35.43809822952187,0,16
2011-06-29,16.89046717622656,0,19
2011-06-30,17.69198432906719,0,14
2011-07-01,12.1182015386875,0,8
2011-07-02,-13.999527377773436,0,3
2011-07-03,-3.851247268565624,0,0
2011-07-04,-0.6897614836593746,0,6
2011-07-05,17.17166606070781,0,8
2011-07-06,54.64220203137187,0,16
2011-07-07,5.063747736265622,0,11
2011-07-08,37.22901535130938,0,12
2011-07-09,-12.457799148612501,0,8
2011-07-10,-3.9024753897765585,0,6
2011-07-11,21.783390897728125,0,14
2011-07-12,31.634481475746874,0,24
2011-07-13,7.656160429998437,1,29
2011-07-14,3.7098754808843744,2,16
2011-07-15,9.49248739866875,0,10
2011-07-16,-7.919862864606252,0,0
2011-07-17,-4.285975965237498,1,5
2011-07-18,5.691193277304688,3,23
2011-07-19,11.772323003676561,19,16
2011-07-20,9.65729837607031,0,16
2011-07-21,11.265975908109374,0,18
2011-07-22,15.745601067409375,0,10
2011-07-23,-4.018331787757813,3,12
2011-07-24,-6.350394365674999,11,3
2011-07-25,9.242368552296876,1,10
2011-07-26,31.971444445153125,4,10
2011-07-27,22.94948556016406,0,15
2011-07-28,31.477184807534375,0,18
2011-07-29,7.813292280253123,5,14
2011-07-30,-4.5452666650406215,0,0
2011-07-31,-11.036416013173437,18,6
2011-08-01,2.5081463448765646,4,7
2011-08-02,38.210223405068746,2,4
2011-08-03,11.694457063384373,11,2
2011-08-04,10.106028825579685,1,14
2011-08-05,22.150993355640622,0,5
2011-08-06,-16.830691841373437,1,2
2011-08-07,-10.881168136699998,0,1
2011-08-08,7.4584293362125,1,11
2011-08-09,18.19382175588125,1,5
2011-08-10,17.873678863956247,2,14
2011-08-11,22.272064789574998,5,7
2011-08-12,57.42971659034687,28,12
2011-08-13,-28.239787749376568,24,3
2011-08-14,-10.121259721374996,4,2
2011-08-15,36.56717847706875,0,12
2011-08-16,28.963953336531247,1,17
2011-08-17,8.76158610081875,2,18
2011-08-18,9.619536920479689,0,15
2011-08-19,17.81814756018906,2,3
2011-08-20,-1.8263894482843774,5,4
2011-08-21,-16.842873075990624,0,3
2011-08-22,14.296140288239066,7,17
2011-08-23,-3.0193402504000026,7,16
2011-08-24,10.902287598524998,11,19
2011-08-25,-5.97477216292344,26,15
2011-08-26,22.34983799108281,7,23
2011-08-27,38.63176272768906,0,1
2011-08-28,-17.616778875659378,0,1
2011-08-29,6.7494055640937525,4,27
2011-08-30,2.9591681643906256,6,10
2011-08-31,18.78796890423906,19,14
2011-09-01,36.83098229809375,11,7
2011-09-02,-2.1394785409828145,3,8
2011-09-03,-0.7847229173656238,4,3
2011-09-04,-12.919991426296875,3,1
2011-09-05,-7.09322483391875,0,10
2011-09-06,-0.4762674329468748,6,7
2011-09-07,3.4128805140734366,1,17
2011-09-08,-1.3488345327125018,2,18
2011-09-09,4.79001004870156,5,6
2011-09-10,3.9487024835640607,0,0
2011-09-11,-3.833000016140625,1,0
2011-09-12,43.52421335150781,0,12
2011-09-13,1.817080504999998,0,7
2011-09-14,22.073266742937502,1,20
2011-09-15,11.80365100544375,3,20
2011-09-16,14.993987350825002,2,9
2011-09-17,-13.239514430071875,0,8
2011-09-18,-6.842124868735935,1,2
2011-09-19,2.828907559139063,5,22
2011-09-20,30.069723749298436,3,14
2011-09-21,14.674990485024997,0,6
2011-09-22,11.444892305526562,0,8
2011-09-23,26.612112210645314,7,9
2011-09-24,-0.9199819565046887,4,2
2011-09-25,-8.723599107281247,0,2
2011-09-26,13.625493950520315,2,17
2011-09-27,18.28032596889375,5,8
2011-09-28,7.00967126057656,2,10
2011-09-29,-7.797690158832815,1,10
2011-09-30,23.46372536534375,0,10
2011-10-01,-9.46555088769219,0,3
2011-10-02,-6.047929704324998,0,0
2011-10-03,-1.969272435767187,0,5
2011-10-04,4.024795461243749,0,8
2011-10-05,33.076176692160935,0,18
2011-10-06,1.1309713254234346,0,18
2011-10-07,3.1308585195359395,0,10
2011-10-08,-9.483445275895313,0,5
2011-10-09,-0.9493279585265615,0,0
2011-10-10,1.7508227628062505,0,5
2011-10-11,11.559374791989063,0,12
2011-10-12,41.60686491992813,0,17
2011-10-13,-11.268341127954692,0,23
2011-10-14,-7.606038416829685,0,22
2011-10-15,-2.604153596443748,0,5
2011-10-16,-2.3756685552593746,1,2
2011-10-17,6.6788259404375,0,17
2011-10-18,11.729460653975,10,34
2011-10-19,-7.8763283988968755,4,14
2011-10-20,9.275957875509373,9,5
2011-10-21,39.742953099232814,4,6
2011-10-22,-12.37523587241094,11,1
2011-10-23,-2.6542643992624964,0,2
2011-10-24,28.163036426770315,0,3
2011-10-25,-6.7050458978718765,0,5
2011-10-26,0.7963289701562513,2,39
2011-10-27,11.674024241292187,2,6
2011-10-28,36.252818389546874,3,17
2011-10-29,-8.721272750745314,0,1
2011-10-30,-4.104683819521872,0,0
2011-10-31,10.141199668240628,0,13
2011-11-01,2.907886135054687,26,11
2011-11-02,39.838818581474996,2,44
2011-11-03,-12.383422219770313,4,23
2011-11-04,-8.478218305142185,0,20
2011-11-05,22.351470402357812,0,2
2011-11-06,-8.016186367615628,0,3
2011-11-07,9.707716960312503,3,17
2011-11-08,1.5930616343390618,10,14
2011-11-09,8.85057579260625,15,34
2011-11-10,9.536994115207811,14,8
2011-11-11,5.539352424232812,0,16
2011-11-12,-3.546534327410935,0,5
2011-11-13,-4.59833789391875,0,4
2011-11-14,1.4980025411703135,0,31
2011-11-15,3.4835893250703123,0,19
2011-11-16,53.96432904937031,1,16
2011-11-17,12.692349768173436,12,10
2011-11-18,18.153007301495315,9,22
2011-11-19,-11.947539187173433,0,6
2011-11-20,-9.941044134818746,0,4
2011-11-21,6.330898294571877,0,8
2011-11-22,8.504225545440626,0,10
2011-11-23,1.0291716727281255,0,6
2011-11-24,-4.615798928784377,0,6
2011-11-25,2.9108863234984357,0,6
2011-11-26,-2.0194219689953146,0,2
2011-11-27,-4.2517801299906255,0,4
2011-11-28,3.8037474193546883,0,20
2011-11-29,33.683312627564064,3,9
2011-11-30,-1.90627426829219,0,16
2011-12-01,4.648200233120313,0,25
2011-12-02,17.025861673626565,0,22
2011-12-03,-5.456887198821875,0,0
2011-12-04,-3.0653795111578113,0,1
2011-12-05,1.8039955420687512,4,13
2011-12-06,6.67980533315625,13,15
2011-12-07,21.262898526525,5,25
2011-12-08,3.078832204714061,1,12
2011-12-09,3.4765496177359374,0,23
2011-12-10,-7.611361133667188,2,4
2011-12-11,-1.712333763914062,0,5
2011-12-12,0.22981688729062544,0,30
2011-12-13,17.412761644709374,2,38
2011-12-14,24.50935315368281,8,30
2011-12-15,-1.6877670969812524,9,35
2011-12-16,32.54747750674687,0,19
2011-12-17,7.715258122304689,0,4
2011-12-18,1.0840558899578152,0,2
2011-12-19,33.987340978970316,0,23
2011-12-20,12.718403681989063,0,36
2011-12-21,5.7729819112406275,6,41
2011-12-22,3.8979269088453137,25,28
2011-12-23,-4.228499297870311,9,15
2011-12-24,-6.361242706700001,0,1
2011-12-25,-7.230988079918751,0,3
2011-12-26,-4.299834604070313,0,2
2011-12-27,-3.9236879291937523,0,2
2011-12-28,9.196166131774998,0,0
2011-12-29,-0.34762654207344035,0,0
2011-12-30,5.172186543351562,0,0
2011-12-31,4.453316956439062,0,0
2012-01-01,-2.695489265639063,0,0
2012-01-02,20.259293443320313,0,0
2012-01-03,2.5356057700015615,0,9
2012-01-04,6.179580239267189,0,7
2012-01-05,15.7338580175625,3,12
2012-01-06,17.474794231128126,6,5
2012-01-07,15.858162044195312,0,0
2012-01-08,-4.696050804985937,0,2
2012-01-09,15.13278831362344,0,19
2012-01-10,5.012871714174999,0,26
2012-01-11,10.114153714973439,8,27
2012-01-12,8.315291440235939,24,26
2012-01-13,19.27003746486406,6,18
2012-01-14,14.880532612457813,7,9
2012-01-15,-1.9403941567218759,0,8
2012-01-16,30.398068479842188,2,15
2012-01-17,43.38501279603125,11,24
2012-01-18,12.965090132398437,22,20
2012-01-19,51.265855194215625,7,45
2012-01-20,41.0131231093,0,22
2012-01-21,-7.757903288139062,0,7
2012-01-22,-19.53332188693437,0,8
2012-01-23,2.6110260795484415,0,29
2012-01-24,48.969137371835934,3,19
2012-01-25,10.98930980100468,0,31
2012-01-26,5.620573473942187,7,29
2012-01-27,13.200978040767186,0,16
2012-01-28,-8.857522266131255,0,1
2012-01-29,-2.633992065428126,0,11
2012-01-30,2.5204878056578135,0,30
2012-01-31,19.273204928825,1,42
2012-02-01,5.877528605062498,1,24
2012-02-02,10.322109529243749,2,18
2012-02-03,14.283330440954686,0,37
2012-02-04,27.1008746779875,0,17
2012-02-05,-3.54433715735,0,5
2012-02-06,6.5989610530375025,2,35
2012-02-07,-4.065808334760936,1,14
2012-02-08,20.49961424677344,1,48
2012-02-09,-3.4796836853109383,0,30
2012-02-10,33.954752213487495,1,29
2012-02-11,1.3588021992265595,1,26
2012-02-12,12.830970429076563,0,5
2012-02-13,17.829319922223437,1,46
2012-02-14,6.970935947964065,0,47
2012-02-15,7.772111568204689,0,39
2012-02-16,-9.4998136995625,4,36
2012-02-17,7.041226157345314,1,36
2012-02-18,14.900028888003124,0,16
2012-02-19,-10.915923887554689,0,32
2012-02-20,0.4478703826734378,0,21
2012-02-21,16.9240995157,0,30
2012-02-22,6.778617035943748,1,33
2012-02-23,20.480641161804687,0,28
2012-02-24,6.622700953068751,0,31
2012-02-25,-0.7417983694124981,0,3
2012-02-26,-9.972542382114062,10,4
2012-02-27,8.59930021565,0,24
2012-02-28,9.27946568117656,0,20
2012-02-29,27.771278576762498,1,29
2012-03-01,-1.762999418118751,14,30
2012-03-02,13.927072243325,6,21
2012-03-03,3.7476698527046874,3,6
2012-03-04,-3.3509611040765606,8,8
2012-03-05,-3.1586017037937477,6,43
2012-03-06,42.82241439903125,0,35
2012-03-07,1.385808075974996,2,62
2012-03-08,16.065175809714063,0,40
2012-03-09,-6.048641330582814,1,12
2012-03-10,18.44782999185,4,6
2012-03-11,9.327905731664062,28,1
2012-03-12,-1.2327603903328122,0,33
2012-03-13,11.978692946559377,1,31
2012-03-14,11.92163746232031,2,21
2012-03-15,45.70106432877969,2,21
2012-03-16,15.158413982374995,9,12
2012-03-17,-14.772371953390625,3,4
2012-03-18,-4.2115129510312475,2,3
2012-03-19,9.370379167623437,12,7
2012-03-20,8.638846905709375,9,19
2012-03-21,17.141857548614063,1,9
2012-03-22,9.227768151504687,3,9
2012-03-23,18.793041563242184,1,17
2012-03-24,-6.859076917093752,0,0
2012-03-25,1.5069167728125024,4,2
2012-03-26,4.9067286557468766,5,16
2012-03-27,14.835655071842186,8,29
2012-03-28,6.943404908265624,7,7
2012-03-29,36.606430400392185,15,0
2012-03-30,-8.981357861125002,2,8
2012-03-31,-9.77544117460156,0,2
2012-04-01,14.1461063194125,0,0
2012-04-02,3.5864369677359367,12,12
2012-04-03,2.7189735327390636,5,10
2012-04-04,14.618292644867187,6,5
2012-04-05,4.704367820117186,11,15
2012-04-06,42.00325974132812,6,2
2012-04-07,-14.506074895845316,0,2
2012-04-08,5.996332680909379,1,0
2012-04-09,-2.3615968272921855,4,8
2012-04-10,-1.8775278513562483,26,16
2012-04-11,4.826291501054688,20,8
2012-04-12,4.124910809348436,10,6
2012-04-13,7.093185601146875,18,3
2012-04-14,1.3765206577140603,4,2
2012-04-15,9.658148915051562,0,1
2012-04-16,0.4203374211046871,4,4
2012-04-17,3.175039757901563,8,7
2012-04-18,5.455825878545314,21,5
2012-04-19,12.972230283682812,29,7
2012-04-20,34.407603958768746,19,8
2012-04-21,-8.669606360278127,7,4
2012-04-22,-7.183472282398434,1,1
2012-04-23,12.567944593906251,17,9
2012-04-24,-0.7548065633484384,31,9
2012-04-25,8.483224078248437,21,18
2012-04-26,3.0066720914843756,10,13
2012-04-27,12.80806864839375,8,10
2012-04-28,-3.6488491035937507,3,0
2012-04-29,-7.168851091884375,0,1
2012-04-30,0.3184291668578134,8,7
2012-05-01,7.297927378004687,7,7
2012-05-02,4.391075217685936,15,10
2012-05-03,27.306294665154688,11,7
2012-05-04,-4.7340739991625025,15,15
2012-05-05,-5.649781427121874,13,0
2012-05-06,-3.6215598952484367,1,0
2012-05-07,6.964432524870313,4,7
2012-05-08,-0.030913753312500347,12,2
2012-05-09,-2.114405737353125,8,4
2012-05-10,3.060375353032812,12,4
2012-05-11,1.403169049406248,13,2
2012-05-12,-2.383476780807813,6,0
2012-05-13,-0.8031128881437497,2,1
2012-05-14,5.6480639067687495,13,7
2012-05-15,17.042667325360938,17,14
2012-05-16,22.62391881134375,10,6
2012-05-17,4.083798795304688,15,8
2012-05-18,10.308647891690626,11,5
2012-05-19,14.320586050525002,3,1
2012-05-20,-10.616997094179688,0,3
2012-05-21,-1.5769857962484348,12,5
2012-05-22,36.32143421940781,18,28
2012-05-23,44.80370225955781,18,10
2012-05-24,-2.3477346476250034,10,22
2012-05-25,6.313050097265627,17,6
2012-05-26,-4.1352887657875,7,1
2012-05-27,-8.009568043796875,3,1
2012-05-28,-3.0685941081015606,16,7
2012-05-29,11.39564572970625,7,23
2012-05-30,12.215171293429686,21,28
