period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
original,T1,108_0,365,5,4.118665772622636,4.647753748094654,4.329261476584557,10,35.56077389559061,0.8420423180612804
original,T2,108_0,731,15,4.650585493400307,5.532104855188811,4.990988251929398,30,139.30758647183896,0.3821291394081819
original,T3,108_0,1096,10,6.934789877112357,7.363711883625259,7.097192632425091,20,86.25528160255004,0.5921938029446654
original,T4,108_0,1461,10,7.352315507311808,7.691679093378778,7.478972725525559,20,96.47911315086816,0.3011049160043541
1_month_shifted,T1,108_0,365,5,4.125217020308666,4.6543049957806835,4.335812724270587,10,35.77457237296827,0.8356079263110413
1_month_shifted,T2,108_0,731,13,4.6086319120646495,5.375170487532914,4.904634310785598,26,125.42902139988782,0.2803967528084817
1_month_shifted,T3,108_0,1096,10,7.039719262381298,7.468641268894199,7.202122017694031,20,84.8195345453366,0.6345159675465774
1_month_shifted,T4,108_0,1461,10,7.395872752073505,7.735236338140475,7.522529970287256,20,89.21132992004958,0.5036716495420661
2_month_shifted,T1,108_0,365,5,4.159494288819912,4.688582264291929,4.370089992781833,10,35.3626683093669,0.8478774520634534
2_month_shifted,T2,108_0,731,13,4.82356830154084,5.590106877009104,5.1195707002617885,26,107.15751493441346,0.7318751680160722
2_month_shifted,T3,108_0,1096,10,7.161800546660765,7.590722553173666,7.3242033019734984,20,79.71034158255037,0.7727960072838174
2_month_shifted,T4,108_0,1461,10,7.426048566642212,7.765412152709183,7.552705784855964,20,87.1496977797933,0.5654828626665738
3_month_shifted,T1,108_0,365,3,3.931111857022545,4.261791841692556,4.062734171998746,10,46.23839292642125,0.9440977912996115
3_month_shifted,T2,108_0,731,13,4.75533687146625,5.521875446934514,5.051339270187198,26,99.72916677901617,0.8740527064400544
3_month_shifted,T3,108_0,1096,10,7.16855684742607,7.597478853938972,7.330959602738804,20,73.19807419038743,0.9013895478493612
3_month_shifted,T4,108_0,1461,10,7.436855520690066,7.776219106757036,7.5635127389038175,20,85.57042006049288,0.612490412763336
original,T1,108_1,365,10,5.112667022601711,6.137774975078744,5.520696199027933,20,74.45082843340367,0.8815750403159132
original,T2,108_1,731,8,4.920695841263712,5.399782450931378,5.105697340464305,10,16.181811200823383,0.5798603158903238
original,T3,108_1,1096,8,4.2696175563809335,4.615522400342951,4.400587520342816,10,22.274564730328084,0.22002315916801282
original,T4,108_1,1461,14,3.876051925983411,4.346782061495661,4.051737744796036,28,138.27030284649902,0.21450628643687275
1_month_shifted,T1,108_1,365,10,4.965875391103048,5.990983343580082,5.37390456752927,20,77.2665079090318,0.8283416093712389
1_month_shifted,T2,108_1,731,8,4.84173057220462,5.320817181872285,5.026732071405212,10,17.213952650513768,0.5084442090703631
1_month_shifted,T3,108_1,1096,8,4.190500733054274,4.536405577016292,4.3214706970161565,10,24.74166040029303,0.13219924855534462
1_month_shifted,T4,108_1,1461,14,3.7984359327558495,4.2691660682681,3.974121751568474,28,148.52117443567687,0.08326463204224992
2_month_shifted,T1,108_1,365,10,4.88744414672906,5.912552099206094,5.295473323155282,20,74.71024975872996,0.8771733320444624
2_month_shifted,T2,108_1,731,14,4.926558655818014,5.750587624446399,5.244761234443034,28,120.81959842521296,0.6136174443671013
2_month_shifted,T3,108_1,1096,8,4.152622162746012,4.49852700670803,4.2835921267078945,10,23.191387761253104,0.18334224514734868
2_month_shifted,T4,108_1,1461,8,3.7452935269120453,4.018973838256377,3.8474364448263616,10,26.09779072289373,0.09754288096760223
3_month_shifted,T1,108_1,365,9,4.6550617550527935,5.580965712128823,5.023604236986155,10,11.327718467671227,0.25391259170120273
3_month_shifted,T2,108_1,731,8,4.691673439538139,5.170760049205804,4.876674938738732,10,18.337920688517904,0.43360900099225747
3_month_shifted,T3,108_1,1096,9,3.9571775659105333,4.344590991147992,4.103863925547841,10,12.185029227286302,0.20307812501844458
3_month_shifted,T4,108_1,1461,8,3.8419462191430127,4.115626530487344,3.944089137057329,10,22.672598442151457,0.2034865861655106
original,T1,108_2,365,11,2.527073360906625,3.6513853087846617,2.974589231825707,22,68.28156672812847,0.9920794878680453
original,T2,108_2,731,5,1.549869854864953,1.8564852850522588,1.6682708143533322,10,24.11059854756684,0.9954473430656068
original,T3,108_2,1096,9,1.0263412329474921,1.4137546581849514,1.1730275925847997,10,3.522983670324675,0.9399202171523471
original,T4,108_2,1461,9,0.4795560644457795,0.7860780131514307,0.5939561325098139,10,3.653345866706714,0.9327132657545578
