,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2015-09-28,27,1.4231340641250037,5
2015-09-29,20,20.952463870245317,11
2015-09-30,16,30.35095194505938,17
2015-10-01,15,35.695119772493754,22
2015-10-02,26,9.294361539193748,5
2015-10-03,6,9.08296518020625,0
2015-10-04,10,-4.103887343323436,0
2015-10-05,31,22.816139651807816,11
2015-10-06,48,31.099376729814065,6
2015-10-07,35,6.404860081195314,7
2015-10-08,27,18.850433378590626,6
2015-10-09,40,17.35380624083594,18
2015-10-10,7,6.391633915975003,1
2015-10-11,3,-0.4074267095953106,0
2015-10-12,10,21.801262596445316,10
2015-10-13,9,21.288306281557816,12
2015-10-14,3,13.519428964253127,17
2015-10-15,6,14.945727242003127,20
2015-10-16,23,12.071046740907814,12
2015-10-17,0,-0.6890598152218725,0
2015-10-18,19,0.7719585379859408,0
2015-10-19,9,24.457417536256255,10
2015-10-20,14,13.521084924465626,10
2015-10-21,7,15.581597319445313,17
2015-10-22,3,11.42758674926875,13
2015-10-23,3,22.772460155254688,6
2015-10-24,0,-0.22473845698437422,0
2015-10-25,0,-3.4551543676734355,0
2015-10-26,9,35.744250314043754,4
2015-10-27,18,16.486877855934377,2
2015-10-28,11,17.720070472248437,10
2015-10-29,23,25.670997166540623,20
2015-10-30,38,6.76641507978125,20
2015-10-31,10,-0.8657060732468729,0
2015-11-01,0,-2.473073058548434,0
2015-11-02,33,16.585158254820318,29
2015-11-03,24,35.262384750406255,14
2015-11-04,10,25.731495566040625,6
2015-11-05,20,14.498513798599998,8
2015-11-06,13,14.253138336939061,30
2015-11-07,2,8.588654954682815,0
2015-11-08,2,-0.5968835187796842,0
2015-11-09,8,11.68308906059063,18
2015-11-10,5,26.12526289641719,27
2015-11-11,7,18.435247051707815,9
2015-11-12,23,21.384266363348438,12
2015-11-13,13,21.114755545521874,5
2015-11-14,7,-2.036328211067186,0
2015-11-15,0,-3.907640905437497,0
2015-11-16,22,16.38868749368438,9
2015-11-17,32,27.16714095712188,10
2015-11-18,14,18.49254252399219,10
2015-11-19,12,18.462523775296873,2
2015-11-20,18,27.431817738965627,2
2015-11-21,2,2.4597559951078125,0
2015-11-22,6,5.42036024196719,0
2015-11-23,15,11.119399973606253,20
2015-11-24,21,16.88324466895313,7
2015-11-25,25,15.183851838332815,15
2015-11-26,1,14.08522518651094,6
2015-11-27,0,-2.7853670619874986,11
2015-11-28,4,-1.049453931628122,0
2015-11-29,5,1.7451541491734415,0
2015-11-30,13,13.123996990770316,7
2015-12-01,21,13.19173565815625,10
2015-12-02,18,16.738571976132814,10
2015-12-03,28,19.13277008268281,5
2015-12-04,38,34.571309084484376,10
2015-12-05,13,20.669098483285936,0
2015-12-06,5,-6.059357303603125,0
2015-12-07,32,26.44385889911563,3
2015-12-08,51,26.436117754621876,10
2015-12-09,36,19.45988324121094,3
2015-12-10,49,21.5756263478625,10
2015-12-11,38,2.3220482586718765,4
2015-12-12,7,2.088429885314067,8
2015-12-13,0,-3.9367210753234327,0
2015-12-14,28,24.450150194029693,11
2015-12-15,24,25.47900850453125,9
2015-12-16,33,20.280187704921875,9
2015-12-17,28,5.221061722943749,3
2015-12-18,18,1.638852215878126,7
2015-12-19,11,-3.289965811896872,0
2015-12-20,0,1.8978302985671922,0
2015-12-21,7,5.029494858498442,4
2015-12-22,6,0.8853730860781281,6
2015-12-23,6,-1.77273714893906,2
2015-12-24,1,0.881105551765627,0
2015-12-25,0,0.11521171339375158,0
2015-12-26,0,2.4327499440109386,0
2015-12-27,0,-0.6372522377156247,0
2015-12-28,4,3.6397598366875004,1
2015-12-29,11,1.3277493099968751,0
2015-12-30,10,2.428074818201563,0
2015-12-31,8,3.3871037873921876,0
2016-01-01,7,-0.74436635978125,0
2016-01-02,4,9.5690608931625,0
2016-01-03,2,-1.297972841582813,0
2016-01-04,19,7.323104382392188,2
2016-01-05,24,6.7505863179375,0
2016-01-06,21,13.494713825075,0
2016-01-07,19,27.66095507088125,1
2016-01-08,22,11.736610065329685,3
2016-01-09,3,1.1837336273562489,0
2016-01-10,14,4.2851492698437506,0
2016-01-11,13,27.479339554640628,11
2016-01-12,13,18.365671238375,16
2016-01-13,6,6.084316356837499,10
2016-01-14,19,11.030660146978125,4
2016-01-15,15,10.96046636899219,8
2016-01-16,2,5.000098846921878,0
2016-01-17,1,-3.2552122044031226,0
2016-01-18,3,10.93576862121094,6
2016-01-19,18,14.14603274052969,13
2016-01-20,15,22.495788628312503,12
2016-01-21,11,18.457188567251563,3
2016-01-22,13,16.256111870620312,5
2016-01-23,6,0.1938690004765622,0
2016-01-24,0,4.705086482320315,2
2016-01-25,15,9.038665063426565,8
2016-01-26,5,13.837709019546878,16
2016-01-27,40,16.22722695576719,5
2016-01-28,21,13.724002342232813,3
2016-01-29,12,9.701396950956251,4
2016-01-30,3,0.12046373709531366,0
2016-01-31,7,6.29885406166719,0
2016-02-01,32,9.351320665695315,10
2016-02-02,41,14.067779837275001,8
2016-02-03,21,22.472977798303127,12
2016-02-04,31,21.32446903907656,14
2016-02-05,42,10.8043327675,11
2016-02-06,6,11.496367874634375,0
2016-02-07,5,-4.2858543538156235,1
2016-02-08,6,8.39115070521563,5
2016-02-09,8,34.973149909739064,13
2016-02-10,39,20.222436020803126,15
2016-02-11,16,22.228047065982814,17
2016-02-12,12,50.864474855659374,9
2016-02-13,17,9.787578435815625,1
2016-02-14,9,14.155081713675001,1
2016-02-15,7,8.666345725675002,15
2016-02-16,5,14.51544427432813,5
2016-02-17,17,27.302302025010942,7
2016-02-18,24,1.003578507728128,17
2016-02-19,9,19.12790889587813,9
2016-02-20,6,3.376754545853128,0
2016-02-21,11,7.696872149404692,0
2016-02-22,14,15.223688784739066,4
2016-02-23,29,17.70254506401094,7
2016-02-24,22,16.24149837539844,24
2016-02-25,10,37.08712999976562,15
2016-02-26,2,30.903596039689063,1
2016-02-27,2,15.3960890010875,3
2016-02-28,7,-1.6663708705031244,0
2016-02-29,23,4.4849693172390666,9
2016-03-01,11,18.954373742271883,8
2016-03-02,11,18.908972769223443,6
2016-03-03,13,40.482701203381254,2
2016-03-04,26,20.095421955089062,1
2016-03-05,5,0.7883989726468759,0
2016-03-06,12,11.049260560525003,0
2016-03-07,18,13.261138272845317,9
2016-03-08,0,22.232927106429692,7
2016-03-09,11,15.250068842817189,15
2016-03-10,5,25.41080650179844,4
2016-03-11,15,37.49807254541875,7
2016-03-12,7,21.804909248909375,1
2016-03-13,5,1.5413055098687503,0
2016-03-14,8,28.741666051462502,1
2016-03-15,11,12.048687413893754,5
2016-03-16,3,1.9339741941812552,9
2016-03-17,1,17.355798274451566,7
2016-03-18,4,36.69494763326094,7
2016-03-19,0,-1.4911962013015607,1
2016-03-20,0,-4.792468843299997,0
2016-03-21,1,31.984146696781252,12
2016-03-22,6,7.389617855895315,8
2016-03-23,5,19.478448721481254,8
2016-03-24,5,31.887808955192188,14
2016-03-25,0,16.303711475868752,13
2016-03-26,0,3.8650951700531255,0
2016-03-27,0,6.334250127896877,0
2016-03-28,2,14.03340685353438,9
2016-03-29,1,25.55344544320313,7
2016-03-30,1,19.127598669539065,7
2016-03-31,8,17.19652735590781,3
2016-04-01,14,22.228415568809375,2
2016-04-02,1,-1.2440243431890607,0
2016-04-03,0,-2.06336862223281,0
2016-04-04,1,5.115056873968754,2
2016-04-05,14,8.091786537823442,0
2016-04-06,9,9.910121070134378,3
2016-04-07,12,17.740226484781253,1
2016-04-08,3,14.997490429742188,11
2016-04-09,2,-1.1146003790140622,0
2016-04-10,4,-2.609889678584374,0
2016-04-11,24,8.385407153789066,7
2016-04-12,19,12.796979719553129,4
2016-04-13,9,10.088731672790626,18
2016-04-14,20,6.991828444151563,15
2016-04-15,14,12.220489077454689,16
2016-04-16,4,-0.18305993930156195,0
2016-04-17,12,-2.0902670122296856,0
2016-04-18,18,8.687793542392189,11
2016-04-19,16,8.010200263593752,10
2016-04-20,18,12.742909853156252,8
2016-04-21,25,14.157911742757811,8
2016-04-22,16,6.7226153056265625,7
2016-04-23,0,0.17891319065625044,0
2016-04-24,0,0.008087147914063841,0
2016-04-25,3,10.51923260489219,5
2016-04-26,7,4.739839969843752,6
2016-04-27,8,8.910013688234375,8
2016-04-28,3,11.60559856815625,5
2016-04-29,14,14.186249390695313,1
2016-04-30,0,-0.2796072370171876,0
2016-05-01,0,0.903070243093751,0
2016-05-02,1,6.3443491238609395,10
2016-05-03,1,16.048547527490626,8
2016-05-04,4,19.944464494709376,2
2016-05-05,8,9.00855287907656,11
2016-05-06,0,5.483927116135938,5
2016-05-07,0,-1.9943713830187488,2
2016-05-08,0,-1.9509016209078096,1
2016-05-09,3,16.679634958345314,20
2016-05-10,10,11.171863868267188,7
2016-05-11,1,9.95860511918125,3
2016-05-12,6,8.90695654124375,1
2016-05-13,5,8.013508043720314,16
2016-05-14,2,-1.7962700963578118,3
2016-05-15,0,-0.7533212108390606,0
2016-05-16,9,14.691678689964064,8
2016-05-17,5,17.40716395571875,12
2016-05-18,11,11.466255320884375,11
