,elastic/kibana,getsentry/sentry,grafana/grafana
2014-09-07,0,-0.6465413120000003,1
2014-09-08,34,2.5086980096,2
2014-09-09,7,9.014411776000001,14
2014-09-10,6,-2.5620999167999994,5
2014-09-11,26,3.8568814592,10
2014-09-12,15,6.3236204544,2
2014-09-13,2,-2.4519344128,7
2014-09-14,0,-1.209115750400001,0
2014-09-15,13,-0.8070681600000005,2
2014-09-16,17,22.391089664,9
2014-09-17,20,1.9122828288000022,15
2014-09-18,43,-0.6127575040000011,11
2014-09-19,32,8.528647679999999,8
2014-09-20,9,0.2737515520000007,13
2014-09-21,0,-2.7462828032000006,6
2014-09-22,22,4.402585599999999,9
2014-09-23,5,-1.3705241600000004,7
2014-09-24,72,0.3940131840000005,19
2014-09-25,31,-1.5331500031999992,2
2014-09-26,53,2.1920422912,0
2014-09-27,3,7.8538042368,1
2014-09-28,0,10.5499774976,0
2014-09-29,16,-3.6869385216,8
2014-09-30,18,22.283089408,19
2014-10-01,33,24.0739347456,18
2014-10-02,32,-8.6891551744,15
2014-10-03,56,-4.143546060800003,3
2014-10-04,6,-2.7074780160000014,1
2014-10-05,0,0.9921911807999999,6
2014-10-06,4,-2.155635609599999,7
2014-10-07,5,-1.4212068352000002,10
2014-10-08,29,-0.997106687999999,4
2014-10-09,27,1.1683042304000026,4
2014-10-10,31,6.149311488000001,5
2014-10-11,0,-1.6212863999999998,2
2014-10-12,0,20.29321984,1
2014-10-13,6,2.3536368640000003,4
2014-10-14,14,20.596319948799998,1
2014-10-15,34,1.4123903999999996,10
2014-10-16,2,5.261544959999998,3
2014-10-17,27,1.289281535999999,2
2014-10-18,1,-3.923809484800001,1
2014-10-19,0,2.5725878271999987,3
2014-10-20,40,26.260791808,4
2014-10-21,19,-7.5892020223999985,0
2014-10-22,15,-1.4855083008000007,1
2014-10-23,13,5.3337938944,4
2014-10-24,17,-2.2072722431999994,6
2014-10-25,0,-1.9897077760000004,1
2014-10-26,0,-1.2830849024000004,1
2014-10-27,30,5.06931456,1
2014-10-28,63,5.041664000000003,7
2014-10-29,17,6.5355689984000005,2
2014-10-30,14,10.167382016,1
2014-10-31,24,-3.0145671168000003,0
2014-11-01,1,-1.174558515200001,0
2014-11-02,0,15.4798058496,2
2014-11-03,34,-4.43918592,2
2014-11-04,37,-1.1622405120000012,0
2014-11-05,38,0.3314190335999998,0
2014-11-06,26,3.4660129792000003,9
2014-11-07,36,7.0212680704000014,8
2014-11-08,0,-2.8703055872,6
2014-11-09,2,-1.367347302400001,1
2014-11-10,25,-0.9285612543999993,3
2014-11-11,24,0.3001567232000004,13
2014-11-12,26,-0.5802091520000001,9
2014-11-13,26,-0.38973757440000006,4
2014-11-14,19,-0.29721774079999974,14
2014-11-15,13,-0.22543615999999927,1
2014-11-16,3,-0.13776015359999969,0
2014-11-17,31,6.9795712,7
2014-11-18,46,11.58307328,3
2014-11-19,24,3.825612288,6
2014-11-20,23,8.2115306496,9
2014-11-21,23,1.3807999999999998,8
2014-11-22,6,6.168447999999999,1
2014-11-23,0,13.5618304,1
2014-11-24,15,-5.292413440000001,6
2014-11-25,75,-0.7046589440000015,1
2014-11-26,6,12.7363904512,5
2014-11-27,2,-3.5121774591999984,9
2014-11-28,0,2.555844915199999,4
2014-11-29,2,4.4240685056,0
2014-11-30,0,1.1173376,0
2014-12-01,23,3.5856871424000007,2
2014-12-02,29,1.3981996032000001,6
2014-12-03,35,7.862014975999999,0
2014-12-04,52,10.7190228992,1
2014-12-05,46,10.475192832000001,0
2014-12-06,11,-0.17222615040000022,0
2014-12-07,0,-2.663484416000001,0
2014-12-08,39,-2.3738718208000007,1
2014-12-09,33,7.4102974463999995,2
2014-12-10,40,23.0133226496,2
2014-12-11,30,3.181559398400001,6
2014-12-12,48,26.780297728,0
2014-12-13,11,0.7541510144000014,0
2014-12-14,1,3.580670463999999,0
2014-12-15,17,44.403470336,18
2014-12-16,22,98.6934813696,8
