,expressjs/express,django/django,pallets/flask
2011-07-22,1,0.0,0
2011-07-23,0,0.0,2
2011-07-24,0,0.0,0
2011-07-25,2,2.0,0
2011-07-26,2,2.0,1
2011-07-27,6,0.0,3
2011-07-28,0,1.0,0
2011-07-29,9,17.0,2
2011-07-30,0,3.0,3
2011-07-31,0,1.0,0
2011-08-01,0,1.0,0
2011-08-02,1,1.0,0
2011-08-03,0,0.0,0
2011-08-04,3,0.0,2
2011-08-05,0,0.0,15
2011-08-06,0,5.0,1
2011-08-07,0,1.0,6
2011-08-08,4,1.0,2
2011-08-09,4,0.0,3
2011-08-10,3,2.0,13
2011-08-11,3,2.0,0
2011-08-12,0,14.0,1
2011-08-13,0,7.0,0
2011-08-14,2,1.0,0
2011-08-15,1,3.0,0
2011-08-16,0,0.0,0
2011-08-17,9,2.0,2
2011-08-18,5,4.0,0
2011-08-19,6,1.0,0
2011-08-20,5,2.0,0
2011-08-21,1,5.0,0
2011-08-22,4,13.0,0
2011-08-23,0,20.0,0
2011-08-24,0,2.0,1
2011-08-25,0,6.0,19
2011-08-26,0,11.0,28
2011-08-27,0,2.0,0
2011-08-28,0,7.0,0
2011-08-29,1,3.0,2
2011-08-30,0,3.0,2
2011-08-31,1,1.0,3
2011-09-01,0,0.0,3
2011-09-02,0,2.0,0
2011-09-03,0,3.0,1
2011-09-04,0,3.0,0
2011-09-05,0,0.0,2
2011-09-06,3,0.0,0
2011-09-07,2,0.0,4
2011-09-08,0,8.0,0
2011-09-09,0,20.0,0
2011-09-10,0,30.0,1
2011-09-11,0,15.0,0
2011-09-12,0,2.0,0
2011-09-13,0,5.0,0
2011-09-14,0,2.0,2
2011-09-15,0,2.0,0
2011-09-16,0,9.0,1
2011-09-17,0,3.0,5
2011-09-18,0,6.0,15
2011-09-19,0,2.0,4
2011-09-20,0,2.0,1
2011-09-21,2,9.0,3
2011-09-22,0,18.0,2
2011-09-23,0,4.0,3
2011-09-24,0,3.0,3
2011-09-25,0,2.0,8
2011-09-26,0,4.0,0
2011-09-27,1,2.0,3
2011-09-28,1,2.0,0
2011-09-29,0,3.0,3
2011-09-30,0,5.0,0
2011-10-01,0,1.0,3
2011-10-02,0,1.0,0
2011-10-03,0,1.0,0
2011-10-04,0,3.0,0
2011-10-05,4,5.0,0
2011-10-06,0,3.0,5
2011-10-07,42,8.0,4
2011-10-08,0,5.0,0
2011-10-09,4,1.0,0
2011-10-10,0,5.0,0
2011-10-11,3,5.0,0
2011-10-12,0,2.0,1
2011-10-13,4,19.0,2
2011-10-14,2,5.0,0
2011-10-15,3,3.0,0
2011-10-16,0,8.0,0
2011-10-17,0,10.0,2
2011-10-18,0,4.0,0
2011-10-19,0,2.0,0
2011-10-20,0,4.0,0
2011-10-21,0,1.0,0
2011-10-22,0,7.0,0
2011-10-23,0,2.0,0
2011-10-24,0,2.0,0
2011-10-25,0,1.0,0
2011-10-26,0,10.0,0
2011-10-27,0,1.0,0
2011-10-28,0,4.0,0
2011-10-29,0,7.0,0
2011-10-30,2,2.0,0
2011-10-31,0,3.0,0
2011-11-01,0,6.0,0
2011-11-02,0,1.0,2
2011-11-03,0,1.0,0
2011-11-04,4,2.0,2
2011-11-05,0,0.0,3
2011-11-06,0,3.0,0
2011-11-07,0,3.0,0
2011-11-08,9,0.0,0
2011-11-09,76,1.0,0
2011-11-10,33,1.0,1
2011-11-11,37,2.0,0
2011-11-12,1,10.0,0
2011-11-13,0,4.0,0
2011-11-14,0,0.0,0
2011-11-15,0,1.0,0
2011-11-16,2,4.0,0
2011-11-17,1,3.0,0
2011-11-18,0,5.0,0
2011-11-19,0,8.0,0
2011-11-20,27,12.0,4
2011-11-21,0,10.0,0
2011-11-22,0,6.0,0
2011-11-23,2,0.0,0
2011-11-24,17,2.0,0
2011-11-25,1,2.0,1
2011-11-26,0,2.0,0
2011-11-27,0,8.0,0
2011-11-28,1,1.0,2
2011-11-29,0,3.0,0
2011-11-30,0,0.0,0
2011-12-01,0,2.0,0
2011-12-02,0,0.0,0
2011-12-03,0,2.0,0
2011-12-04,0,1.0,1
2011-12-05,0,1.0,0
2011-12-06,8,0.0,0
2011-12-07,9,5.0,0
2011-12-08,1,0.0,0
2011-12-09,5,14.0,0
2011-12-10,2,0.0,0
2011-12-11,0,10.0,0
2011-12-12,0,0.0,0
2011-12-13,0,0.0,0
2011-12-14,0,1.0,0
2011-12-15,3,3.0,0
2011-12-16,2,7.0,0
2011-12-17,9,18.0,0
2011-12-18,1,0.0,0
2011-12-19,0,8.0,0
2011-12-20,5,1.0,0
2011-12-21,1,2.0,0
2011-12-22,0,11.0,0
2011-12-23,0,14.0,0
2011-12-24,0,7.0,0
2011-12-25,0,4.0,0
2011-12-26,0,0.0,0
2011-12-27,0,6.0,2
2011-12-28,7,1.0,0
2011-12-29,0,6.0,0
2011-12-30,3,22.0,0
2011-12-31,0,3.0,0
2012-01-01,0,4.0,0
2012-01-02,1,10.0,0
2012-01-03,0,4.0,0
2012-01-04,0,2.0,2
2012-01-05,0,1.0,0
2012-01-06,2,1.0,0
2012-01-07,0,11.0,6
2012-01-08,0,9.0,0
2012-01-09,2,1.0,1
2012-01-10,0,1.0,0
2012-01-11,0,1.0,0
2012-01-12,0,2.0,0
2012-01-13,0,1.0,0
2012-01-14,0,1.0,0
2012-01-15,0,5.0,0
2012-01-16,0,0.0,10
2012-01-17,5,0.0,18
2012-01-18,0,0.0,3
2012-01-19,2,3.0,0
2012-01-20,0,1.0,0
2012-01-21,0,3.0,0
2012-01-22,0,1.0,0
2012-01-23,0,1.0,3
2012-01-24,0,4.0,3
2012-01-25,0,2.0,0
2012-01-26,0,0.0,1
2012-01-27,0,2.0,0
2012-01-28,0,7.0,0
2012-01-29,0,4.0,0
2012-01-30,0,1.0,0
2012-01-31,0,3.0,3
2012-02-01,1,3.0,3
2012-02-02,0,2.0,0
2012-02-03,0,9.0,2
2012-02-04,0,21.0,2
2012-02-05,0,9.0,0
2012-02-06,2,1.0,0
2012-02-07,15,1.0,7
2012-02-08,2,0.0,0
2012-02-09,5,22.0,0
2012-02-10,0,10.0,0
2012-02-11,0,15.0,0
2012-02-12,2,6.0,0
2012-02-13,0,2.0,0
2012-02-14,0,2.0,1
2012-02-15,0,1.0,0
2012-02-16,1,13.0,0
2012-02-17,1,5.0,0
2012-02-18,52,6.0,0
2012-02-19,3,7.0,0
2012-02-20,0,2.0,0
2012-02-21,2,3.0,0
2012-02-22,1,7.0,0
2012-02-23,7,3.0,0
2012-02-24,3,3.0,2
2012-02-25,0,0.0,2
2012-02-26,4,4.0,1
2012-02-27,0,7.0,0
2012-02-28,1,3.0,0
2012-02-29,0,3.0,0
2012-03-01,2,7.0,4
2012-03-02,0,20.0,1
2012-03-03,0,14.0,0
2012-03-04,0,7.0,0
2012-03-05,0,18.0,0
2012-03-06,0,0.0,0
2012-03-07,0,0.0,0
2012-03-08,0,0.0,2
2012-03-09,0,1.0,0
2012-03-10,0,4.0,0
2012-03-11,0,2.0,0
2012-03-12,0,12.0,22
2012-03-13,0,15.0,9
2012-03-14,0,27.0,4
2012-03-15,0,7.0,0
2012-03-16,0,6.0,2
2012-03-17,0,9.0,0
2012-03-18,0,1.0,1
2012-03-19,0,3.0,0
2012-03-20,0,2.0,2
2012-03-21,0,2.0,2
2012-03-22,0,4.0,0
2012-03-23,0,25.0,0
2012-03-24,12,0.0,1
2012-03-25,0,1.0,0
2012-03-26,0,2.0,0
2012-03-27,2,1.0,2
2012-03-28,0,1.0,4
2012-03-29,7,6.0,0
2012-03-30,2,5.0,0
2012-03-31,0,25.0,2
2012-04-01,0,3.0,11
2012-04-02,15,2.0,1
2012-04-03,4,0.0,0
2012-04-04,2,0.0,3
2012-04-05,2,3.0,0
2012-04-06,0,3.0,0
2012-04-07,0,2.0,0
2012-04-08,0,2.0,1
2012-04-09,0,6.0,17
2012-04-10,2,5.0,2
2012-04-11,14,6.0,0
2012-04-12,1,2.0,2
2012-04-13,3,1.0,0
2012-04-14,0,4.0,0
2012-04-15,8,2.0,0
2012-04-16,10,1.0,0
2012-04-17,0,0.0,0
2012-04-18,10,0.0,4
2012-04-19,5,1.0,2
2012-04-20,2,4.0,2
2012-04-21,0,3.0,3
2012-04-22,2,4.0,5
2012-04-23,0,1.0,0
2012-04-24,1,5.0,9
2012-04-25,11,2.0,0
2012-04-26,34,4.0,0
2012-04-27,5,1.0,0
2012-04-28,1,22.0,0
2012-04-29,3,24.0,0
2012-04-30,1,19.0,0
2012-05-01,2,8.0,0
2012-05-02,5,1.0,0
2012-05-03,6,10.0,0
2012-05-04,3,1.0,0
2012-05-05,1,5.0,0
2012-05-06,0,1.0,0
2012-05-07,7,4.0,0
2012-05-08,0,2.0,3
2012-05-09,2,1.0,0
2012-05-10,2,8.0,0
2012-05-11,3,4.0,0
2012-05-12,2,5.0,0
2012-05-13,0,0.0,0
2012-05-14,1,1.0,1
2012-05-15,0,2.0,0
2012-05-16,0,9.0,0
2012-05-17,1,10.0,0
2012-05-18,0,11.0,0
2012-05-19,0,7.0,0
2012-05-20,0,3.0,0
2012-05-21,1,1.0,0
2012-05-22,0,9.0,0
2012-05-23,0,1.0,0
2012-05-24,0,7.0,0
2012-05-25,0,6.0,0
2012-05-26,0,4.0,0
2012-05-27,2,5.0,0
2012-05-28,0,4.0,2
2012-05-29,0,0.0,0
2012-05-30,7,1.0,1
2012-05-31,0,9.0,1
2012-06-01,4,1.0,0
2012-06-02,0,7.0,0
2012-06-03,1,4.0,0
2012-06-04,1,6.0,0
2012-06-05,0,4.0,0
2012-06-06,9,10.0,0
2012-06-07,2,22.0,0
2012-06-08,4,15.0,0
2012-06-09,0,7.0,0
2012-06-10,1,2.0,0
