,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2016-03-29,0.08247171573437506,1,0
2016-03-30,8.983561156173437,0,0
2016-03-31,0.3234623087593742,1,0
2016-04-01,12.282697446181249,1,0
2016-04-02,-4.831593779685939,0,1
2016-04-03,-2.6530125558624986,0,0
2016-04-04,4.521366637500001,0,0
2016-04-05,10.16741560125,0,0
2016-04-06,-4.314539154265625,0,0
2016-04-07,5.350887136610938,0,0
2016-04-08,-0.026455968140625785,2,0
2016-04-09,-3.111375678165625,0,0
2016-04-10,-1.6818388402578124,4,0
2016-04-11,6.981001481767187,0,0
2016-04-12,-3.163397721843751,0,0
2016-04-13,5.5480170289,2,0
2016-04-14,7.986757271207812,0,0
2016-04-15,-0.5727262423578132,0,0
2016-04-16,-0.18143617292499936,0,0
2016-04-17,-0.49621805293124943,0,0
2016-04-18,-1.9544874399999996,0,0
2016-04-19,-1.1660525216250002,1,0
2016-04-20,5.1441737903875,1,0
2016-04-21,-2.3822762286093755,6,0
2016-04-22,3.895160040448437,4,0
2016-04-23,0.8266420411265623,1,0
2016-04-24,-1.8058533507281251,1,0
2016-04-25,6.136674826770313,0,0
2016-04-26,0.3538354985343748,0,0
2016-04-27,0.9821676075000001,2,0
2016-04-28,9.06767463690625,0,0
2016-04-29,7.679233064353125,2,0
2016-04-30,-3.3982846550781245,0,0
2016-05-01,-2.0026615039609363,2,0
2016-05-02,4.0017580065515626,2,0
2016-05-03,8.929275823890624,0,0
2016-05-04,12.817856648323438,0,0
2016-05-05,3.3071162487546877,1,0
2016-05-06,4.335861615879688,0,0
2016-05-07,-3.5874050567484375,4,0
2016-05-08,-3.1424648410749993,4,0
2016-05-09,-2.6824095357312494,1,0
2016-05-10,0.1924032261734374,0,0
2016-05-11,15.023748254415624,1,0
2016-05-12,9.647275390674999,0,0
2016-05-13,-0.43123817136250064,2,0
2016-05-14,-5.276039113732812,4,0
2016-05-15,-2.645207969607812,0,0
2016-05-16,5.332467068535937,1,0
2016-05-17,7.696065876767187,0,0
2016-05-18,7.03043736271875,0,0
2016-05-19,30.06514657101875,0,0
2016-05-20,4.386716090542187,1,0
2016-05-21,-10.872300879084374,0,0
2016-05-22,-4.098922680129686,3,0
2016-05-23,-2.5622834037499995,1,0
2016-05-24,10.203108621390625,0,0
2016-05-25,4.065209387948437,5,0
2016-05-26,1.0938819732515626,0,0
2016-05-27,1.9308235601437485,1,0
2016-05-28,-2.7798973906625015,12,2
2016-05-29,-2.8262278244406245,0,0
2016-05-30,6.457674796984375,0,0
2016-05-31,0.4831074362515624,4,0
2016-06-01,19.099113743814062,1,0
2016-06-02,-2.1864589934328134,0,0
2016-06-03,9.904466209062502,4,2
2016-06-04,-7.081547457489062,0,0
2016-06-05,-3.247540226160936,0,0
2016-06-06,3.9407310335343757,0,0
2016-06-07,14.704219195875,0,0
2016-06-08,9.795276879574999,0,0
2016-06-09,1.7864219982250003,0,0
2016-06-10,8.224570502034375,2,0
2016-06-11,-6.78239773088125,0,2
