,vsouza/awesome-ios,raywenderlich/swift-style-guide,matteocrippa/awesome-swift
2016-03-30,5.805736588434376,0,0
2016-03-31,-0.5189663784703118,0,0
2016-04-01,1.1350879954375008,0,4
2016-04-02,1.1911422342625007,0,3
2016-04-03,2.2603171341906263,0,1
2016-04-04,6.226873983971876,0,6
2016-04-05,7.8356631687468745,0,2
2016-04-06,4.4571950199671875,4,6
2016-04-07,15.58008538256875,3,3
2016-04-08,6.463640551732812,4,1
2016-04-09,-1.2239886585671877,0,1
2016-04-10,0.5801247426468756,0,1
2016-04-11,-1.191079630368748,0,0
2016-04-12,3.150562660032815,0,4
2016-04-13,14.942063575107813,15,1
2016-04-14,-1.2774922496671879,9,1
2016-04-15,-0.29229321523124985,3,3
2016-04-16,0.05003696849843797,2,3
2016-04-17,3.324087621660939,0,3
2016-04-18,10.167785971432814,0,3
2016-04-19,-0.6170439400718752,0,2
2016-04-20,3.0252863454375003,3,0
2016-04-21,12.93178912285625,3,0
2016-04-22,-2.068460162340625,0,8
2016-04-23,6.976344338198437,0,2
2016-04-24,-1.5048908380515627,3,2
2016-04-25,4.104393224151564,0,9
2016-04-26,1.8437769004343756,9,9
2016-04-27,9.979101349089063,1,1
2016-04-28,-0.7084178520984377,0,6
2016-04-29,12.943339607637501,0,0
2016-04-30,-2.1074047555031257,0,2
2016-05-01,-1.0764943166249992,0,0
2016-05-02,12.2409079109625,1,3
2016-05-03,21.168703458671875,1,1
2016-05-04,-0.3165263729765635,0,1
2016-05-05,6.968690127970312,1,0
2016-05-06,4.783620061589063,0,1
2016-05-07,1.9823895152453144,0,1
2016-05-08,1.3071371519968764,0,1
2016-05-09,1.6392429112500018,0,0
2016-05-10,-0.25771737045312326,0,5
2016-05-11,3.0030372664234393,0,6
2016-05-12,-0.0708104011234365,0,1
2016-05-13,4.339546951501563,0,1
2016-05-14,-0.9544414364328122,0,0
2016-05-15,0.4779009039359381,0,3
2016-05-16,1.5636270495593754,1,6
2016-05-17,34.517927507095315,1,3
2016-05-18,3.2086145818765597,0,0
2016-05-19,8.52376163665156,0,23
2016-05-20,-1.5685739544093762,0,6
2016-05-21,0.3806765698859398,0,1
2016-05-22,3.653364266070315,0,2
2016-05-23,2.5489691069843774,2,15
2016-05-24,8.612104315182814,0,0
2016-05-25,-1.9540684218687492,0,2
2016-05-26,0.804323298882814,0,9
2016-05-27,1.1503051178265633,0,1
2016-05-28,4.248954854089064,0,0
2016-05-29,0.0561804901828129,0,3
2016-05-30,16.336040819850002,0,2
2016-05-31,1.8477370227578116,1,5
2016-06-01,5.5153514346999994,0,5
2016-06-02,2.401753807140625,1,0
2016-06-03,0.696486668968751,0,7
2016-06-04,-0.04069957485312381,0,3
2016-06-05,3.1874083211000013,0,6
2016-06-06,3.0097292880546886,0,0
2016-06-07,9.978138953698439,0,0
2016-06-08,2.241746331076562,0,0
2016-06-09,9.720960838746874,0,4
2016-06-10,0.12696837518593718,0,2
2016-06-11,0.7827717175750006,0,3
2016-06-12,6.013176896912501,0,7
2016-06-13,3.6254164729015637,0,0
2016-06-14,1.6628433790437507,0,4
2016-06-15,0.8739377241843755,0,8
2016-06-16,0.06661368629218856,0,1
2016-06-17,5.321011979184376,0,0
2016-06-18,-0.070416733926562,0,0
2016-06-19,16.332424482646875,0,0
2016-06-20,-2.147626414931251,0,0
2016-06-21,1.9001696034203128,0,0
2016-06-22,4.992088393273438,0,6
2016-06-23,3.7632217951109386,0,2
2016-06-24,10.764425041912501,0,2
2016-06-25,15.041355860620312,0,2
2016-06-26,-1.8033795144812506,0,0
2016-06-27,6.382440788698438,0,6
2016-06-28,12.086932593139064,0,4
2016-06-29,1.5057593209531257,0,2
2016-06-30,3.1513336830484384,0,0
2016-07-01,4.284470002206251,0,0
2016-07-02,6.284222132382814,0,1
2016-07-03,2.0993781520531263,0,6
2016-07-04,4.475853948873438,0,5
2016-07-05,12.494536095839063,0,7
2016-07-06,0.6426674499937501,0,2
2016-07-07,2.397118256184376,0,0
2016-07-08,0.6242627472781255,0,1
2016-07-09,-0.0922772607734359,0,0
