,nodejs/node,oven-sh/bun,denoland/deno
2024-02-11,1,2,1
2024-02-12,1,5,4
2024-02-13,1,6,9
2024-02-14,13,6,6
2024-02-15,7,15,4
2024-02-16,5,11,7
2024-02-17,3,9,1
2024-02-18,2,2,5
2024-02-19,2,9,7
2024-02-20,7,2,7
2024-02-21,4,6,13
2024-02-22,4,7,4
2024-02-23,7,13,15
2024-02-24,2,7,1
2024-02-25,12,6,0
2024-02-26,10,6,2
2024-02-27,8,5,5
2024-02-28,7,5,9
2024-02-29,4,9,12
2024-03-01,9,5,7
2024-03-02,5,12,2
2024-03-03,6,3,0
2024-03-04,3,12,6
2024-03-05,5,3,9
2024-03-06,3,11,18
2024-03-07,5,8,10
2024-03-08,6,5,18
2024-03-09,8,9,4
2024-03-10,4,1,7
2024-03-11,6,3,8
2024-03-12,5,2,7
2024-03-13,5,9,13
2024-03-14,6,4,11
2024-03-15,8,6,6
2024-03-16,11,12,4
2024-03-17,2,7,0
2024-03-18,7,5,3
