,apache/solr,blevesearch/bleve,elastic/elasticsearch
2017-03-24,6,2,26
2017-03-25,6,1,0
2017-03-26,0,0,0
2017-03-27,16,0,20
2017-03-28,13,2,26
2017-03-29,7,5,16
2017-03-30,30,4,27
2017-03-31,9,6,35
2017-04-01,12,3,8
2017-04-02,3,0,4
2017-04-03,13,0,29
2017-04-04,23,2,36
2017-04-05,7,0,30
2017-04-06,6,2,16
2017-04-07,13,0,43
2017-04-08,0,0,11
2017-04-09,1,0,5
2017-04-10,7,0,44
2017-04-11,11,1,42
2017-04-12,19,0,21
2017-04-13,6,0,39
2017-04-14,3,0,14
2017-04-15,0,0,4
2017-04-16,0,0,0
