,golang/go,swiftlang/swift,rust-lang/rust
2020-02-13,6,75,114
2020-02-14,1,74,106
2020-02-15,1,18,79
2020-02-16,0,50,86
2020-02-17,1,35,111
2020-02-18,6,91,81
2020-02-19,47,70,103
2020-02-20,19,74,49
2020-02-21,32,74,97
2020-02-22,10,25,87
2020-02-23,5,15,69
2020-02-24,30,72,95
2020-02-25,34,64,37
2020-02-26,27,73,77
2020-02-27,26,57,78
2020-02-28,21,60,95
2020-02-29,5,15,89
2020-03-01,11,8,67
2020-03-02,20,50,83
2020-03-03,19,78,92
2020-03-04,12,57,123
2020-03-05,12,99,68
2020-03-06,9,61,72
2020-03-07,2,16,89
2020-03-08,1,9,84
2020-03-09,9,36,82
2020-03-10,20,58,119
2020-03-11,22,71,97
2020-03-12,15,57,77
2020-03-13,20,53,75
2020-03-14,2,29,123
2020-03-15,11,9,60
2020-03-16,8,32,125
2020-03-17,9,55,95
2020-03-18,14,69,88
2020-03-19,10,76,116
2020-03-20,16,73,66
2020-03-21,5,29,137
2020-03-22,6,14,84
2020-03-23,23,49,145
2020-03-24,20,72,134
2020-03-25,22,52,95
2020-03-26,11,43,136
2020-03-27,19,74,93
2020-03-28,6,28,75
2020-03-29,4,18,80
2020-03-30,17,27,115
2020-03-31,20,47,142
2020-04-01,17,52,98
2020-04-02,14,26,124
2020-04-03,13,70,77
2020-04-04,2,22,64
2020-04-05,4,8,126
2020-04-06,12,80,86
2020-04-07,9,61,86
2020-04-08,30,101,91
2020-04-09,20,83,101
2020-04-10,18,94,105
2020-04-11,7,38,97
2020-04-12,7,13,59
2020-04-13,28,39,84
2020-04-14,23,83,99
2020-04-15,11,68,93
2020-04-16,17,72,91
2020-04-17,13,74,94
2020-04-18,5,28,111
2020-04-19,6,18,73
2020-04-20,33,83,101
2020-04-21,31,59,44
2020-04-22,26,59,112
2020-04-23,26,72,129
2020-04-24,43,96,75
2020-04-25,11,36,100
2020-04-26,2,19,87
2020-04-27,48,30,162
2020-04-28,30,46,76
2020-04-29,35,79,81
2020-04-30,35,89,75
2020-05-01,30,55,122
2020-05-02,3,54,109
2020-05-03,1,18,89
2020-05-04,15,64,99
2020-05-05,15,69,100
2020-05-06,13,101,95
2020-05-07,26,80,82
2020-05-08,28,43,91
2020-05-09,3,25,79
2020-05-10,2,15,102
2020-05-11,7,48,66
2020-05-12,6,70,49
2020-05-13,9,74,47
2020-05-14,14,60,82
2020-05-15,1,57,24
2020-05-16,0,15,80
2020-05-17,0,8,80
2020-05-18,10,54,70
2020-05-19,10,65,77
2020-05-20,7,52,103
2020-05-21,12,50,82
2020-05-22,1,72,122
2020-05-23,1,30,54
2020-05-24,3,14,96
2020-05-25,1,13,111
2020-05-26,16,41,77
2020-05-27,5,23,72
2020-05-28,6,79,69
2020-05-29,9,99,117
2020-05-30,1,37,96
2020-05-31,5,39,118
2020-06-01,7,31,51
2020-06-02,8,47,58
2020-06-03,18,42,66
2020-06-04,15,40,61
2020-06-05,13,41,75
2020-06-06,0,20,32
2020-06-07,2,7,53
2020-06-08,13,49,86
2020-06-09,9,66,72
2020-06-10,7,65,68
2020-06-11,7,75,97
2020-06-12,4,77,58
2020-06-13,1,14,69
2020-06-14,2,4,39
2020-06-15,7,43,117
2020-06-16,5,63,75
2020-06-17,12,70,38
2020-06-18,8,42,91
2020-06-19,6,40,104
2020-06-20,1,11,131
2020-06-21,0,1,46
2020-06-22,1,50,75
2020-06-23,5,39,124
2020-06-24,9,36,122
2020-06-25,9,52,85
2020-06-26,8,47,104
2020-06-27,1,14,89
2020-06-28,1,8,85
2020-06-29,7,52,29
2020-06-30,7,62,99
2020-07-01,4,73,96
2020-07-02,1,67,121
2020-07-03,1,56,101
2020-07-04,0,5,55
2020-07-05,3,8,51
2020-07-06,6,17,36
2020-07-07,11,26,59
2020-07-08,9,33,40
2020-07-09,4,52,86
2020-07-10,4,48,53
2020-07-11,0,15,75
2020-07-12,0,6,39
2020-07-13,2,32,36
2020-07-14,3,35,112
2020-07-15,1,46,131
2020-07-16,7,59,165
