,brave/brave-browser,gorhill/ublock,adblockplus/adblockplus
2017-10-25,-0.11735552000000009,4,1
2017-10-26,-0.07931443199999999,3,2
2017-10-27,0.9395429376000001,1,2
2017-10-28,-0.23800535039999993,3,0
2017-10-29,-0.10042880000000008,3,0
2017-10-30,-0.06492672000000005,0,0
2017-10-31,-0.04798771199999995,4,0
2017-11-01,-0.03800535039999998,0,0
2017-11-02,-0.02042880000000001,3,3
2017-11-03,-0.01692672000000001,2,2
2017-11-04,-0.01438771199999994,0,0
2017-11-05,-0.012469350399999964,4,0
2017-11-06,0.0,0,0
2017-11-07,0.0,3,0
2017-11-08,1.0,4,1
2017-11-09,-0.19999999999999996,5,0
2017-11-10,8.92,7,0
2017-11-11,-1.8479999999999996,4,0
2017-11-12,0.2463999999999994,2,0
2017-11-13,-0.6575360000000003,2,0
2017-11-14,-0.4028288000000002,3,1
2017-11-15,-0.29475072000000013,2,0
2017-11-16,0.7681530879999999,3,1
2017-11-17,-0.39034583040000004,0,0
2017-11-18,-0.2299182079999995,1,0
2017-11-19,1.8228491264000002,0,0
2017-11-20,-0.44798771199999987,3,0
2017-11-21,-0.1980053504000001,4,1
2017-11-22,-0.11642880000000008,2,1
2017-11-23,-0.08412672000000003,0,2
2017-11-24,-0.06545971199999996,2,3
2017-11-25,-0.05332695039999999,0,0
2017-11-26,-0.03385344000000002,0,0
2017-11-27,-0.02877542399999988,4,0
2017-11-28,-0.02493870079999993,0,2
2017-11-29,0.0,4,0
2017-11-30,0.0,4,1
2017-12-01,0.0,2,0
2017-12-02,0.0,0,0
2017-12-03,0.0,2,0
2017-12-04,0.0,0,0
2017-12-05,0.0,5,1
2017-12-06,1.0,0,1
2017-12-07,-0.19999999999999996,1,0
2017-12-08,-0.08000000000000007,4,1
2017-12-09,-0.048000000000000036,0,0
2017-12-10,-0.03360000000000001,2,0
2017-12-11,-0.025536000000000014,0,0
2017-12-12,-0.02042880000000001,0,1
2017-12-13,-0.01692672000000001,2,1
2017-12-14,-0.01438771199999994,4,1
2017-12-15,-0.012469350399999964,4,0
2017-12-16,0.0,0,0
2017-12-17,0.0,5,0
2017-12-18,0.0,0,0
2017-12-19,1.0,0,1
2017-12-20,-0.19999999999999996,0,2
2017-12-21,-0.08000000000000007,1,0
2017-12-22,-0.048000000000000036,6,0
2017-12-23,-0.03360000000000001,1,0
2017-12-24,-0.025536000000000014,0,0
2017-12-25,-0.02042880000000001,0,0
2017-12-26,-0.01692672000000001,0,0
2017-12-27,-0.01438771199999994,1,0
2017-12-28,-0.012469350399999964,3,0
2017-12-29,6.0,7,0
2017-12-30,-1.1999999999999997,12,0
2017-12-31,-0.4800000000000004,4,0
2018-01-01,-0.2880000000000002,4,0
2018-01-02,0.7984,0,0
2018-01-03,-0.35321600000000003,5,0
2018-01-04,-0.20257280000000014,5,0
2018-01-05,-0.1495603200000001,3,0
2018-01-06,-0.11992627199999964,1,0
2018-01-07,-0.1003521023999998,4,0
2018-01-08,-0.02042880000000001,6,1
2018-01-09,-0.01692672000000001,3,1
2018-01-10,-0.01438771199999994,4,0
2018-01-11,-0.012469350399999964,3,0
2018-01-12,0.0,1,1
2018-01-13,0.0,7,0
2018-01-14,1.0,0,0
2018-01-15,-0.19999999999999996,1,0
2018-01-16,-0.08000000000000007,3,0
2018-01-17,-0.048000000000000036,0,0
2018-01-18,2.9664,1,0
2018-01-19,-0.6255359999999999,0,0
2018-01-20,0.7395711999999998,1,0
2018-01-21,-0.36092672000000003,0,0
2018-01-22,-0.19518771200000004,0,1
2018-01-23,-0.13707735040000005,0,0
2018-01-24,-0.09488640000000004,0,0
2018-01-25,-0.07631616000000005,0,2
2018-01-26,-0.06359193599999982,0,0
2018-01-27,-0.054334771199999896,0,0
2018-01-28,-0.01438771199999994,0,0
2018-01-29,1.9875306496,0,0
2018-01-30,2.6,1,0
2018-01-31,-0.76,3,1
2018-02-01,-0.3360000000000003,0,0
2018-02-02,-0.2112000000000001,0,0
2018-02-03,-0.15187200000000006,5,0
2018-02-04,-0.11746560000000006,1,0
2018-02-05,-0.09513984000000006,1,0
2018-02-06,0.920444416,0,0
