,iterate-ch/cyberduck,rclone/rclone,aws/aws-cli
2013-06-28,12.588541747200004,2,1.8518379875
2013-06-29,35.9852378112,5,-0.2965936962500002
2013-06-30,-32.383169843199994,0,-0.16155581301562483
2013-07-01,-10.7900148736,0,5.886250897464063
2013-07-02,24.75928064,1,8.3191889625
2013-07-03,-2.2573797375999973,0,-1.2355145887500008
2013-07-04,9.178812313600002,0,-0.6310289640468753
2013-07-05,26.8428065792,0,-0.42785895010781205
2013-07-06,-20.5701783552,0,-0.30179962603124894
2013-07-07,24.0161645568,0,-0.24082053007187426
2013-07-08,16.246996172800003,0,-0.18502028999999945
2013-07-09,26.234956595200003,0,3.8427468556562503
2013-07-10,11.094800486400004,0,13.46349206764375
2013-07-11,-14.6047099904,2,5.344410327176561
2013-07-12,-18.7818559488,0,3.5559999999999987
2013-07-13,36.1504096256,0,1.7033499999999993
2013-07-14,-9.936001433599998,0,1.9217580000000005
2013-07-15,21.044936806400003,0,6.999579950000001
2013-07-16,32.0279643136,0,-1.4652727099999994
2013-07-17,2.2983190528000037,0,3.126209662937501
2013-07-18,10.865403699200002,0,16.950644521387503
2013-07-19,11.790354534400002,0,-0.4731668953625001
2013-07-20,-24.593690111999997,0,-1.4323346590796875
2013-07-21,15.387880447999997,0,-0.8949263904765621
2013-07-22,-10.1883056128,0,1.3639569333453143
2013-07-23,33.679112704,0,-0.6858176117328112
2013-07-24,30.725290598400004,0,-0.470715330287499
2013-07-25,-23.492209151999994,0,2.6787161904375005
2013-07-26,13.7830376448,0,1.4306625630750005
2013-07-27,-17.576327577599997,0,1.4624505283218752
2013-07-28,34.6789221376,0,3.5813782699281247
2013-07-29,-4.003310489599997,0,-0.6311748925000003
2013-07-30,19.2646972416,0,2.6541881239687504
2013-07-31,1.8488736768000038,0,5.456157757428125
2013-08-01,-19.9735221248,0,2.09051138625
2013-08-02,-9.0209445888,0,2.202816643453125
2013-08-03,-5.396550451200001,0,-0.7871561261390624
2013-08-04,-1.8635750400000015,0,-0.4731343661031243
2013-08-05,-0.4862511104,0,1.6612550053656256
2013-08-06,-3.5728220159999995,0,0.5438136761062506
2013-08-07,3.2360115200000004,0,0.6268965959531254
2013-08-08,4.872375398400001,0,0.6426264380484378
2013-08-09,8.69534208,0,0.6727958569875003
2013-08-10,-3.6157823999999987,0,-0.28029749665468734
2013-08-11,1.4143692799999998,0,-0.16179983260781228
2013-08-12,-1.7599831039999998,0,4.8993713450000005
2013-08-13,10.441704550399999,0,24.41982841521875
2013-08-14,-2.5881288703999994,0,8.208261523162498
2013-08-15,-2.1071206399999998,0,-2.4097228743015644
2013-08-16,-2.83790336,0,17.660126638198438
2013-08-17,-1.5660411904000004,0,-2.8286134155515623
2013-08-18,20.9666016256,0,-1.5594151650359358
2013-08-19,-6.452443750399997,0,11.89669695625
2013-08-20,-3.3248762879999987,0,2.8374463911718766
2013-08-21,7.4899707904,0,18.205549003179687
2013-08-22,2.5090599936,0,1.8391990059296868
2013-08-23,4.6707519488,0,12.885719893354688
2013-08-24,-6.262242713599999,0,-2.7896281972968753
2013-08-25,9.36900608,0,-1.6420181106828102
2013-08-26,0.5161794560000006,0,10.936824386250002
2013-08-27,-5.4706451456,0,3.966381949546877
2013-08-28,15.6715186176,0,11.173538114454688
2013-08-29,-8.688151756799998,0,22.601740808257812
2013-08-30,-3.2435568640000003,0,13.113825940453124
2013-08-31,-1.8911647744000002,0,4.301605042085937
2013-09-01,12.742029312,0,-2.9267399380390624
2013-09-02,41.550401536,0,2.2173233200000024
2013-09-03,-7.553005465599995,0,6.265330653812503
2013-09-04,-2.6762571775999984,0,4.949250777725002
2013-09-05,5.392797183999999,0,1.0211881968312515
2013-09-06,21.2575051776,0,8.432068155392189
2013-09-07,-17.581580799999998,0,-1.0256492046640613
2013-09-08,3.0052505599999995,0,-1.1810465472359362
2013-09-09,10.613028352,0,3.278333544712501
2013-09-10,33.026051788800004,0,3.097367840437501
2013-09-11,13.766890905600004,0,2.010886174481251
2013-09-12,-10.173112115199999,0,13.090813024853125
2013-09-13,0.4469048320000013,0,5.056754118201562
2013-09-14,-7.275675136,0,1.3054096159859372
2013-09-15,7.051412582399998,0,-1.286659388375
