,apache/openwhisk,aws/chalice,serverless/serverless
2018-06-17,1,0,3.905766399999999
2018-06-18,5,1,0.21895935999999994
2018-06-19,4,1,3.590270976
2018-06-20,1,0,16.1003154432
2018-06-21,3,3,-1.609719500799999
2018-06-22,1,0,-1.640084787200001
2018-06-23,0,0,-0.7345626112000005
2018-06-24,0,0,1.6556820479999996
2018-06-25,3,0,6.503616
2018-06-26,3,2,2.4583178240000003
2018-06-27,0,0,3.6940193791999993
2018-06-28,1,4,4.497129472000001
2018-06-29,9,10,-0.7703749631999997
