,django/django,rails/rails,sinatra/sinatra
2020-02-22,-0.554859264742187,4,0
2020-02-23,-0.3735954226437491,0,0
2020-02-24,4.735129478750001,22,0
2020-02-25,0.2833851719843752,26,0
2020-02-26,7.492049358120313,12,0
2020-02-27,3.8618476049249995,31,0
2020-02-28,5.920690593201562,12,0
2020-02-29,-0.27944280760781304,3,0
2020-03-01,-0.8047268124999996,0,0
2020-03-02,1.4546230062500007,3,0
2020-03-03,4.382047388671876,8,0
2020-03-04,6.070398041804688,21,0
2020-03-05,4.769335324589062,14,0
2020-03-06,4.695324728384374,7,0
2020-03-07,0.6748878499609374,4,0
2020-03-08,-0.9609055557671868,0,0
2020-03-09,6.4058114424640635,6,0
2020-03-10,8.855585305218751,9,4
2020-03-11,1.3257072811000001,5,1
2020-03-12,2.7637597937109373,14,0
2020-03-13,2.826274451654688,8,11
2020-03-14,0.8850673641906259,4,0
2020-03-15,-0.8788188287468742,0,1
2020-03-16,4.438926046178126,11,1
2020-03-17,8.078481808890626,5,0
2020-03-18,5.528803763342188,8,5
2020-03-19,4.51055020059375,10,4
2020-03-20,0.5910188803296874,7,2
2020-03-21,0.9698976952937508,9,0
2020-03-22,-0.869230348674999,3,0
2020-03-23,4.425483451178126,6,0
2020-03-24,7.065155581171876,8,0
2020-03-25,9.616704471429689,3,1
2020-03-26,2.129812433567187,4,0
2020-03-27,0.6089742366546873,5,0
2020-03-28,-1.0311008837468745,5,0
2020-03-29,-0.6619658936031236,9,0
2020-03-30,0.5055034636781264,6,0
2020-03-31,6.512834727421876,12,0
2020-04-01,5.929547024445313,3,0
2020-04-02,3.713358926540625,3,0
2020-04-03,-1.1880105224578128,3,0
2020-04-04,1.3620137138250004,5,0
2020-04-05,-0.6299144675718743,6,0
2020-04-06,3.590642466250001,5,0
2020-04-07,14.283057975734376,8,0
2020-04-08,3.059832020104687,13,0
2020-04-09,7.497527859889062,3,0
2020-04-10,4.231892442170311,9,0
2020-04-11,-1.586086155179687,8,0
2020-04-12,-0.943348426031249,4,0
2020-04-13,-0.6961489275718734,14,0
2020-04-14,9.460485491687502,14,0
2020-04-15,7.552252800871876,6,0
2020-04-16,3.2973603056328122,6,0
2020-04-17,4.6153287426796865,4,0
2020-04-18,-0.42112455091718726,5,0
2020-04-19,-0.910023115215624,4,0
2020-04-20,11.404016625,8,0
2020-04-21,5.337546175,5,0
2020-04-22,9.38130054109375,6,0
2020-04-23,1.9223393512499998,8,0
2020-04-24,3.454394572098438,10,0
2020-04-25,0.5579636629765632,10,0
2020-04-26,-1.0970103282312487,4,0
2020-04-27,4.273908454964064,9,0
2020-04-28,7.937962732562501,8,0
2020-04-29,5.410648119709375,8,0
2020-04-30,3.446038241576562,5,0
2020-05-01,5.612734363792187,22,0
2020-05-02,0.5053293822781253,11,0
2020-05-03,-1.0741292012109367,8,0
2020-05-04,8.303645951178126,16,0
2020-05-05,5.577959831171876,35,0
2020-05-06,4.469282733929688,24,0
2020-05-07,1.5060960673171875,19,0
2020-05-08,9.833924068420313,13,0
2020-05-09,-1.8268480962890625,15,0
2020-05-10,-1.0136789562828117,11,0
2020-05-11,8.319036941178126,11,0
2020-05-12,5.581619484109376,23,0
2020-05-13,15.469099671067188,17,0
2020-05-14,9.434234927904686,17,0
2020-05-15,3.4484087869874998,13,0
2020-05-16,-2.0446362507796874,12,0
2020-05-17,-1.2869252403953109,21,0
2020-05-18,6.115087896250002,20,0
2020-05-19,4.595099096609377,21,0
2020-05-20,3.4991946498171886,21,0
2020-05-21,5.596950280982813,9,0
2020-05-22,-1.564799926798437,4,0
2020-05-23,1.1475116414750008,15,0
2020-05-24,-0.7420402027156242,16,0
2020-05-25,5.528150801250002,9,0
2020-05-26,3.030832318890625,16,0
2020-05-27,10.024870585404688,12,0
2020-05-28,4.340875945956249,16,0
2020-05-29,4.531728521210937,12,0
2020-05-30,-1.4438298602515627,1,0
2020-05-31,-0.8308632010312491,12,0
2020-06-01,8.391732817428126,21,0
2020-06-02,2.632757699406251,13,0
2020-06-03,12.808630398971875,14,0
2020-06-04,8.879118894184375,19,0
2020-06-05,1.753678066510937,11,0
2020-06-06,-1.6295037433093749,2,0
2020-06-07,-1.0160932277156236,7,0
2020-06-08,4.280586683750002,4,0
2020-06-09,-1.0746920271406237,5,0
2020-06-10,6.296576190114064,12,0
2020-06-11,0.8152694988875002,7,0
2020-06-12,5.114477336325001,3,0
2020-06-13,-1.1007443799578125,12,0
2020-06-14,-0.5710429726437494,13,0
2020-06-15,3.6193892687500004,11,0
2020-06-16,4.303815847421876,5,0
2020-06-17,9.077325338570313,9,0
2020-06-18,1.4928623413906243,5,0
2020-06-19,-1.1196407712828125,16,0
2020-06-20,-0.6619870831656245,20,0
2020-06-21,-0.47574991521562376,4,0
2020-06-22,6.666660152500001,9,0
2020-06-23,6.026287891687501,6,0
2020-06-24,8.753140024778125,6,0
2020-06-25,3.3145415184140616,7,0
2020-06-26,3.59316903559375,0,0
2020-06-27,-1.2926513076078123,4,0
2020-06-28,-0.7790763374999988,2,0
2020-06-29,1.4232300387500012,10,0
2020-06-30,5.339849560140626,8,0
2020-07-01,5.926899066139063,4,0
2020-07-02,0.6972463583421873,8,0
2020-07-03,3.0853764283125003,2,0
2020-07-04,1.0644556722421878,2,0
2020-07-05,-0.7466562876796868,3,1
2020-07-06,3.5406982825000006,13,0
2020-07-07,1.2502836089687506,12,0
2020-07-08,6.336020518084376,8,0
2020-07-09,1.871559751175,7,0
2020-07-10,5.096722596217187,3,0
2020-07-11,-1.1175503496343753,1,0
2020-07-12,-0.6377510861749993,1,6
2020-07-13,3.5666987349281256,7,0
2020-07-14,4.2750800179375,6,0
2020-07-15,2.0534255525750003,4,0
2020-07-16,5.16497094006875,4,0
2020-07-17,1.8857909157015627,4,0
2020-07-18,-0.9058859357015622,5,2
2020-07-19,-0.5516124152156244,4,0
2020-07-20,6.631989902500001,6,1
2020-07-21,2.0080842291875003,2,0
2020-07-22,7.142959611028125,7,0
2020-07-23,0.6887525832734371,7,0
2020-07-24,1.0939749755484378,4,0
2020-07-25,-0.7719028042624996,10,0
2020-07-26,-0.4779808951078115,6,1
2020-07-27,3.6555990887500007,9,0
2020-07-28,5.320886120140625,7,3
2020-07-29,5.985195998201562,6,0
2020-07-30,2.765745520767187,10,0
2020-07-31,2.9228351611812498,12,0
2020-08-01,0.9961236688968751,4,1
2020-08-02,-0.8047837550718744,2,0
2020-08-03,1.4771858900000008,7,0
2020-08-04,2.398913482937501,6,0
2020-08-05,6.282898788012501,3,0
2020-08-06,1.861372358675,6,0
2020-08-07,3.0904109701859377,6,0
2020-08-08,2.07722294529375,3,5
2020-08-09,-0.8375438111749995,0,1
2020-08-10,1.4977241149281255,8,0
2020-08-11,5.43894794771875,4,1
2020-08-12,1.0209009446312503,8,2
2020-08-13,4.2465458625328125,2,0
2020-08-14,4.026317270701562,16,1
2020-08-15,-1.0349593984203125,5,1
2020-08-16,-0.5941498741906246,0,0
2020-08-17,1.5955979748921882,11,0
2020-08-18,4.504080921468751,4,0
2020-08-19,1.1672112118343752,8,0
2020-08-20,3.327191715003125,5,0
2020-08-21,1.2060672486,3,0
2020-08-22,-0.6623818277578121,4,0
2020-08-23,-0.3942270376796871,12,0
2020-08-24,6.740119045000001,8,0
2020-08-25,1.09327886771875,11,0
2020-08-26,3.31329178735,31,0
2020-08-27,1.1786703012890622,2,0
2020-08-28,8.341104150365625,0,0
2020-08-29,-1.3108742861750002,2,1
2020-08-30,-0.6858152925718746,4,1
2020-08-31,5.53372810125,6,2
2020-09-01,6.039990366390626,9,0
2020-09-02,5.736321846217187,11,0
2020-09-03,2.618283537865625,10,5
2020-09-04,1.8089496975750001,7,7
2020-09-05,-0.023750522212499625,7,0
2020-09-06,-0.7610164978234365,6,0
2020-09-07,3.515336485000001,5,0
2020-09-08,-0.7821543393437493,12,0
2020-09-09,3.5033120199250005,6,0
2020-09-10,4.2602522686390625,4,0
2020-09-11,2.0938416789359375,4,0
2020-09-12,-0.7768610454406252,1,0
2020-09-13,1.552437079376563,3,0
2020-09-14,4.493946862464063,4,0
2020-09-15,4.1765074479375,6,0
2020-09-16,3.02586949235625,10,0
2020-09-17,3.0579472291874996,5,0
2020-09-18,0.02723593602812524,1,1
2020-09-19,-0.6749194767265619,4,0
2020-09-20,-0.43542776260781174,5,0
2020-09-21,1.6839678302187508,10,0
2020-09-22,4.542114698600001,18,0
2020-09-23,6.207024587242188,13,1
2020-09-24,1.880195687757812,10,0
2020-09-25,7.118212641543749,9,3
2020-09-26,-1.3132097231593753,5,0
2020-09-27,-0.7054441275359369,1,0
2020-09-28,0.5091977950000007,3,1
2020-09-29,2.519610555218751,6,0
2020-09-30,4.3442848186,4,0
2020-10-01,6.088950357460938,3,1
2020-10-02,0.7925910232015623,69,5
2020-10-03,-0.8373473117328125,9,0
2020-10-04,-0.5215155827874994,2,0
2020-10-05,4.6671990162500006,7,1
2020-10-06,6.237198285734375,10,2
2020-10-07,2.858060139667187,22,0
