,balderdashy/sails,expressjs/express,hapijs/hapi
2013-01-30,8.845507451214063,0,3.2243911680000004
2013-01-31,6.004931686984374,0,14.46821632
2013-02-01,14.824613647464062,0,2.8397938688
2013-02-02,-2.2198502500000017,0,1.193268838399999
2013-02-03,-1.1449485375,0,1.2616526847999996
2013-02-04,-0.7789693387499992,0,28.942498816
2013-02-05,7.409419698453127,0,14.9431522304
2013-02-06,-1.2750419113578118,0,7.741271654399998
2013-02-07,21.265637109109377,1,1.7795614719999975
2013-02-08,-0.7480670039328139,2,24.501267456
2013-02-09,6.432815023998438,0,-0.0994119679999983
2013-02-10,11.219684359424999,0,2.854817791999997
2013-02-11,17.7231289,0,12.719403315199997
2013-02-12,-3.297643070000001,0,0.31989852160000076
2013-02-13,6.165855720875001,5,2.0235481088
2013-02-14,1.8948773372125012,0,8.9102244864
2013-02-15,8.279245871156252,0,10.1973676032
2013-02-16,6.805897885678126,0,-1.402251775999999
