,tensorflow/tensorflow,pytorch/pytorch,apache/mxnet
2022-02-13,3,1,-0.3135385599999999
2022-02-14,56,25,2.782517248
2022-02-15,88,47,-0.7131647999999999
2022-02-16,72,45,0.6715724799999998
2022-02-17,66,31,0.583827968
2022-02-18,54,29,-0.4415105024
2022-02-19,12,17,-0.2458527744
2022-02-20,3,3,-0.16782510080000002
2022-02-21,15,2,0.89008384
2022-02-22,44,23,-0.2891279359999998
2022-02-23,64,36,-0.15476357119999998
2022-02-24,65,45,0.920685568
2022-02-25,47,27,-0.2604570623999999
2022-02-26,10,13,-0.11800535040000004
2022-02-27,3,3,-0.06842880000000004
2022-02-28,55,22,-0.050526720000000025
2022-03-01,59,52,0.960076288
2022-03-02,72,37,1.7671018496
2022-03-03,53,31,-0.49692672
2022-03-04,53,30,1.7776122879999998
2022-03-05,21,7,-0.5420693503999999
2022-03-06,3,5,-0.2527360000000002
2022-03-07,51,15,1.8324992
2022-03-08,53,35,2.4750156800000003
2022-03-09,76,29,-0.859313152
2022-03-10,34,25,-0.41810237440000014
2022-03-11,44,42,-0.2699921408000001
2022-03-12,5,8,-0.18064742399999995
2022-03-13,17,2,-0.1424043008
2022-03-14,44,27,-0.09513984000000006
2022-03-15,58,41,2.920444416
2022-03-16,51,51,-0.6681018367999996
2022-03-17,40,41,1.7225919487999999
2022-03-18,44,10,1.456
2022-03-19,10,2,-0.6608
2022-03-20,2,0,-0.33260800000000024
2022-03-21,56,32,-0.22448640000000014
2022-03-22,66,41,1.8309478399999999
2022-03-23,79,31,-0.5350927359999997
2022-03-24,72,34,2.7278809088
2022-03-25,93,36,0.24137113600000015
2022-03-26,33,4,-0.5609141248
2022-03-27,16,0,-0.30001070080000014
2022-03-28,48,34,2.8103423999999997
2022-03-29,56,48,1.2559385600000001
2022-03-30,77,34,-0.7555978240000001
2022-03-31,51,46,1.5998523392
2022-04-01,57,43,0.3431101440000002
2022-04-02,12,10,-0.5556037631999999
2022-04-03,3,1,-0.30082775040000015
2022-04-04,45,36,-0.20683776000000012
2022-04-05,52,33,-0.1616885759999999
2022-04-06,65,51,0.8674229248000002
2022-04-07,57,54,-0.27922094079999993
2022-04-08,71,39,-0.12570214399999996
2022-04-09,8,9,-0.0873264127999999
2022-04-10,5,1,-0.04606935039999997
2022-04-11,47,41,-0.025536000000000014
2022-04-12,60,33,-0.02042880000000001
2022-04-13,57,40,-0.01692672000000001
2022-04-14,93,42,-0.01438771199999994
2022-04-15,34,47,0.9875306496
2022-04-16,17,13,-0.19999999999999996
2022-04-17,3,8,-0.08000000000000007
2022-04-18,33,27,-0.048000000000000036
2022-04-19,59,60,0.9664
2022-04-20,77,37,-0.22553599999999996
2022-04-21,48,23,-0.10042880000000008
2022-04-22,66,47,-0.06492672000000005
2022-04-23,13,11,-0.04798771199999995
2022-04-24,6,6,-0.03800535039999998
2022-04-25,49,47,-0.02042880000000001
2022-04-26,75,45,1.98307328
2022-04-27,77,25,0.5856122880000001
2022-04-28,67,42,0.6275306495999999
2022-04-29,49,8,-0.3760000000000001
2022-04-30,9,4,-0.19520000000000012
2022-05-01,5,6,-0.13267200000000007
2022-05-02,46,38,-0.09999360000000004
2022-05-03,82,54,-0.07981824000000004
2022-05-04,71,46,-0.0661309439999999
2022-05-05,70,43,-0.05625313279999988
2022-05-06,94,30,-0.026857062399999902
2022-05-07,20,11,-0.012469350399999964
2022-05-08,4,4,0.0
2022-05-09,52,42,0.0
2022-05-10,62,50,0.0
2022-05-11,73,74,0.0
2022-05-12,40,45,0.0
2022-05-13,59,53,0.0
2022-05-14,10,14,0.0
2022-05-15,8,8,0.0
2022-05-16,55,42,1.0
2022-05-17,95,51,1.8
2022-05-18,71,65,0.52
2022-05-19,80,60,0.5919999999999999
2022-05-20,67,54,-0.4096000000000001
2022-05-21,12,20,-0.22073600000000015
2022-05-22,6,12,-0.1531008000000001
2022-05-23,62,24,0.8830796799999999
2022-05-24,63,50,-0.29420595199999994
2022-05-25,50,43,0.8413997056
2022-05-26,64,47,-0.3042531327999999
2022-05-27,62,13,-0.1404570624
2022-05-28,16,6,-0.08600535040000001
2022-05-29,6,1,-0.05402880000000002
2022-05-30,29,8,0.9575372799999999
2022-05-31,58,56,0.7651834880000001
2022-06-01,107,57,-0.3093960704
2022-06-02,65,44,0.8576122879999999
2022-06-03,82,51,-0.29406935039999993
2022-06-04,22,11,-0.1391360000000001
2022-06-05,13,7,-0.09396480000000007
2022-06-06,39,57,-0.07095552000000002
2022-06-07,93,43,0.943149568
2022-06-08,51,52,-0.24728586239999986
2022-06-09,48,67,-0.10939607040000005
2022-06-10,66,54,0.9376122880000001
2022-06-11,16,18,-0.24606935039999994
2022-06-12,9,7,-0.10553600000000009
2022-06-13,58,45,-0.06842880000000004
2022-06-14,57,62,1.9494732799999999
2022-06-15,57,42,-0.43992371199999986
2022-06-16,51,49,-0.19289815040000013
2022-06-17,67,45,0.88707328
2022-06-18,13,8,-0.28158771199999993
2022-06-19,3,2,-0.14354135040000005
2022-06-20,22,36,1.9111424
2022-06-21,34,50,2.53254656
2022-06-22,59,58,0.1856885760000001
2022-06-23,86,37,3.4186324991999997
2022-06-24,86,49,-1.10812672
2022-06-25,19,11,-0.5342597120000003
2022-06-26,7,4,-0.35553495040000016
2022-06-27,38,46,-0.2550758400000001
2022-06-28,65,41,1.7978716160000001
2022-06-29,43,48,0.4332562432000002
2022-06-30,62,47,-0.47950264319999997
2022-07-01,53,17,-0.24602019839999986
2022-07-02,11,4,-0.16507740159999992
2022-07-03,3,1,-0.08467200000000004
2022-07-04,26,11,-0.06639360000000004
2022-07-05,17,50,1.94571776
2022-07-06,46,49,0.5542978560000003
2022-07-07,39,59,1.6006735872
2022-07-08,62,52,-0.5884693504
2022-07-09,10,16,-0.2752000000000002
2022-07-10,2,1,-0.1806720000000001
2022-07-11,56,28,-0.13359360000000006
2022-07-12,65,43,-0.10535424000000006
2022-07-13,48,57,-0.08655974399999991
2022-07-14,61,41,-0.07317985279999989
2022-07-15,46,51,3.9587552256
2022-07-16,10,15,-0.8249387007999998
2022-07-17,7,11,-0.3200000000000003
2022-07-18,49,23,0.8079999999999998
2022-07-19,65,44,2.6656
2022-07-20,67,48,-0.782144
2022-07-21,80,1222,0.6302847999999996
2022-07-22,52,64,0.5546931199999999
2022-07-23,13,17,-0.4638868479999998
2022-07-24,7,8,-0.2749142016
2022-07-25,50,46,-0.1598131200000001
2022-07-26,67,51,-0.12430387200000001
2022-07-27,74,83,-0.1015972863999998
