,apache/groovy,scala/scala,jetbrains/kotlin
2018-07-30,0,8,11
2018-07-31,2,7,11
2018-08-01,1,6,21
2018-08-02,0,6,50
2018-08-03,5,17,26
2018-08-04,3,5,0
2018-08-05,3,6,0
2018-08-06,4,13,37
2018-08-07,3,34,50
2018-08-08,2,39,32
2018-08-09,4,28,53
2018-08-10,5,27,53
2018-08-11,11,8,4
2018-08-12,6,11,1
2018-08-13,1,11,35
2018-08-14,0,17,33
2018-08-15,0,24,30
2018-08-16,0,26,27
2018-08-17,1,0,46
2018-08-18,10,7,1
2018-08-19,13,5,2
2018-08-20,1,28,174
2018-08-21,2,9,58
