,rails/rails,sinatra/sinatra,django/django
2017-07-02,12,0,0.0
2017-07-03,23,2,2.0
2017-07-04,36,12,1.0
2017-07-05,32,0,3.0
2017-07-06,52,0,7.0
2017-07-07,22,0,1.0
2017-07-08,21,1,2.0
2017-07-09,36,1,0.0
2017-07-10,15,0,5.0
2017-07-11,17,3,10.0
2017-07-12,12,0,6.0
2017-07-13,12,0,6.0
2017-07-14,11,0,4.0
2017-07-15,28,0,3.0
2017-07-16,31,0,0.0
2017-07-17,40,0,5.0
2017-07-18,18,1,5.0
2017-07-19,18,0,4.0
2017-07-20,25,0,8.0
2017-07-21,41,0,7.0
2017-07-22,19,0,0.0
2017-07-23,44,0,0.0
2017-07-24,64,0,4.0
2017-07-25,39,0,3.0
2017-07-26,10,0,5.0
2017-07-27,15,0,6.0
2017-07-28,18,0,1.0
2017-07-29,6,0,3.0
2017-07-30,12,0,0.0
2017-07-31,30,0,7.0
2017-08-01,30,1,7.0
2017-08-02,17,0,6.0
2017-08-03,37,0,1.0
2017-08-04,20,0,0.0
2017-08-05,14,0,0.0
2017-08-06,12,0,0.0
2017-08-07,19,0,7.0
2017-08-08,30,0,8.0
2017-08-09,15,0,4.0
2017-08-10,12,0,8.0
2017-08-11,40,0,11.0
2017-08-12,9,1,2.0
2017-08-13,30,0,2.0
2017-08-14,47,0,1.0
2017-08-15,20,0,6.0
2017-08-16,17,0,2.0
2017-08-17,21,0,0.0
2017-08-18,14,3,0.0
2017-08-19,11,0,1.0
2017-08-20,21,3,0.0
2017-08-21,22,1,7.0
2017-08-22,33,0,8.0
2017-08-23,14,0,8.0
2017-08-24,17,0,4.0
2017-08-25,13,0,1.0
2017-08-26,16,3,5.0
2017-08-27,19,2,1.0
2017-08-28,9,1,1.0
2017-08-29,20,0,2.0
2017-08-30,6,0,2.0
2017-08-31,11,0,7.0
2017-09-01,24,0,3.0
2017-09-02,13,0,11.0
2017-09-03,6,0,4.0
2017-09-04,8,0,13.0
2017-09-05,4,0,16.0
2017-09-06,7,0,10.0
2017-09-07,12,0,2.0
2017-09-08,1,2,6.0
2017-09-09,2,6,5.0
2017-09-10,3,0,1.0
2017-09-11,5,2,9.0
2017-09-12,3,0,5.0
2017-09-13,11,0,3.0
2017-09-14,9,0,3.0
2017-09-15,9,0,3.0
2017-09-16,10,0,3.0
2017-09-17,24,0,1.0
2017-09-18,21,0,8.0
2017-09-19,10,0,4.0
2017-09-20,16,0,5.0
2017-09-21,6,0,6.0
2017-09-22,7,0,24.0
2017-09-23,8,0,0.0
2017-09-24,25,0,3.0
2017-09-25,15,0,8.0
2017-09-26,17,0,1.0
2017-09-27,16,0,7.0
2017-09-28,6,0,9.0
2017-09-29,7,0,9.0
2017-09-30,11,0,5.0
2017-10-01,3,0,1.0
2017-10-02,6,0,8.0
2017-10-03,8,0,4.0
2017-10-04,6,0,3.0
2017-10-05,8,0,5.0
2017-10-06,6,0,4.0
2017-10-07,8,0,0.0
2017-10-08,21,0,0.0
2017-10-09,16,0,6.0
2017-10-10,5,0,3.0
2017-10-11,3,0,0.0
2017-10-12,10,0,8.0
2017-10-13,19,0,11.0
2017-10-14,5,0,2.0
2017-10-15,14,0,1.0
2017-10-16,3,0,2.0
2017-10-17,7,0,4.0
2017-10-18,17,0,2.0
2017-10-19,7,0,4.0
2017-10-20,8,0,8.0
2017-10-21,14,1,2.0
2017-10-22,7,0,3.0
2017-10-23,38,0,2.0
2017-10-24,16,0,3.0
2017-10-25,15,0,8.0
2017-10-26,8,1,0.0
2017-10-27,9,0,1.0
2017-10-28,14,2,5.0
2017-10-29,0,3,1.0
2017-10-30,7,2,3.0
2017-10-31,8,0,5.0
2017-11-01,13,0,6.0
2017-11-02,9,0,5.0
2017-11-03,10,0,2.0
2017-11-04,7,0,5.0
2017-11-05,10,0,0.0
2017-11-06,25,0,3.0
2017-11-07,10,0,10.0
2017-11-08,18,0,4.0
2017-11-09,40,0,1.0
2017-11-10,26,0,1.0
2017-11-11,2,0,0.0
2017-11-12,6,0,5.0
2017-11-13,23,0,2.0
2017-11-14,26,0,3.0
2017-11-15,16,0,4.0
2017-11-16,9,0,2.0
2017-11-17,6,0,4.0
2017-11-18,5,0,0.0
2017-11-19,10,0,2.0
2017-11-20,6,0,1.0
2017-11-21,18,0,4.0
2017-11-22,10,0,1.0
2017-11-23,2,0,2.0
2017-11-24,10,0,2.0
2017-11-25,20,0,0.0
2017-11-26,13,0,1.0
2017-11-27,31,0,1.0
2017-11-28,17,0,4.0
2017-11-29,19,3,2.0
2017-11-30,14,0,1.0
2017-12-01,12,0,4.0
2017-12-02,11,0,8.0
2017-12-03,14,0,0.0
2017-12-04,3,0,5.0
2017-12-05,18,0,6.0
2017-12-06,11,0,7.0
2017-12-07,10,0,7.0
2017-12-08,9,0,6.0
2017-12-09,6,1,0.0
2017-12-10,4,0,0.0
2017-12-11,15,1,2.0
2017-12-12,21,0,0.0
2017-12-13,20,0,5.0
2017-12-14,15,1,0.0
2017-12-15,27,0,0.0
2017-12-16,6,0,1.0
2017-12-17,13,0,0.0
2017-12-18,10,0,3.0
2017-12-19,14,0,2.0
2017-12-20,10,0,5.0
2017-12-21,9,0,1.0
2017-12-22,13,0,6.0
2017-12-23,3,0,1.0
2017-12-24,2,0,0.0
2017-12-25,8,0,1.0
2017-12-26,4,0,8.0
2017-12-27,11,0,6.0
2017-12-28,6,0,7.0
2017-12-29,6,0,4.0
2017-12-30,5,0,9.0
2017-12-31,16,0,0.0
2018-01-01,4,0,0.0
2018-01-02,6,0,8.0
2018-01-03,9,0,10.0
2018-01-04,10,0,4.0
2018-01-05,5,0,7.0
2018-01-06,2,1,1.0
2018-01-07,18,0,2.0
2018-01-08,10,0,3.0
2018-01-09,9,1,3.0
2018-01-10,19,0,6.0
2018-01-11,7,0,6.0
2018-01-12,9,0,6.0
2018-01-13,4,1,6.0
2018-01-14,6,0,1.0
2018-01-15,4,0,3.0
2018-01-16,1,3,0.0
2018-01-17,11,0,4.0
2018-01-18,21,0,4.0
2018-01-19,6,0,1.0
2018-01-20,5,0,5.0
2018-01-21,2,0,2.0
2018-01-22,24,0,0.0
2018-01-23,9,0,4.0
2018-01-24,12,0,7.0
2018-01-25,10,0,2.0
2018-01-26,18,0,1.0
2018-01-27,4,0,6.0
2018-01-28,11,1,0.0
2018-01-29,15,0,2.0
2018-01-30,14,0,5.0
2018-01-31,12,0,13.0
2018-02-01,9,0,7.0
2018-02-02,6,1,3.0
2018-02-03,5,0,1.0
2018-02-04,6,0,0.0
2018-02-05,6,0,6.0
2018-02-06,7,7,3.0
2018-02-07,11,0,6.0
2018-02-08,12,0,3.0
2018-02-09,7,0,1.0
2018-02-10,5,1,6.0
2018-02-11,5,2,2.0
2018-02-12,15,6,8.0
2018-02-13,7,0,3.0
2018-02-14,37,0,2.0
2018-02-15,15,0,5.0
2018-02-16,8,1,2.0
