,d3/d3,plotly/plotly.js,highcharts/highcharts
2013-09-29,0,-3.0828575743999984,0
2013-09-30,0,10.7922967552,6
2013-10-01,0,1.9679285248000014,5
2013-10-02,0,2.9053897728000004,5
2013-10-03,4,-5.062420479999999,6
2013-10-04,0,3.037978623999999,14
2013-10-05,46,-0.10815395840000086,0
2013-10-06,0,-0.4624929792000003,2
2013-10-07,3,13.2498888704,5
2013-10-08,0,9.3570300928,7
2013-10-09,16,-2.4868254719999996,7
2013-10-10,6,0.7588177920000003,8
2013-10-11,7,1.4592890880000002,5
2013-10-12,3,1.7546241023999993,0
2013-10-13,0,-3.1731582975999997,0
2013-10-14,3,0.9053332479999998,0
2013-10-15,1,12.7323685888,1
2013-10-16,3,-3.9854575615999988,2
2013-10-17,4,6.5933014016,16
2013-10-18,0,4.659842969600001,6
2013-10-19,0,-0.8564450303999998,0
2013-10-20,0,-5.1187426304,0
2013-10-21,0,0.7129604095999995,1
2013-10-22,0,4.432087449599999,3
2013-10-23,0,1.9163269120000006,1
2013-10-24,0,2.9433836544,5
2013-10-25,4,20.624599552,2
2013-10-26,0,-3.747611545599998,0
2013-10-27,0,-6.132707225599999,0
2013-10-28,0,8.5516053504,9
2013-10-29,0,10.2816561152,3
2013-10-30,0,5.4741101568,0
2013-10-31,0,0.3027490816000018,7
2013-11-01,0,2.032159846400001,1
2013-11-02,0,-3.5898712064,0
2013-11-03,0,3.9668477951999996,0
2013-11-04,2,8.9615182848,2
2013-11-05,0,4.372226150400001,2
2013-11-06,0,14.3168249856,5
2013-11-07,0,-6.797289574399997,7
2013-11-08,0,0.7705044991999994,12
2013-11-09,0,-7.6666093568,0
2013-11-10,0,1.2865969151999987,0
2013-11-11,1,7.582990336,7
2013-11-12,0,5.8371584,5
2013-11-13,0,4.751845683200001,10
2013-11-14,0,2.3858259968000013,9
2013-11-15,1,3.9804592128000014,2
2013-11-16,0,-8.1930285056,0
2013-11-17,0,-1.5567706112000006,0
2013-11-18,5,9.99027712,5
2013-11-19,14,-5.051870208,4
2013-11-20,2,5.3105613823999995,7
2013-11-21,0,7.4037651456,6
2013-11-22,0,2.4377604096,7
2013-11-23,9,-0.9771506687999993,0
2013-11-24,4,6.6448553984,0
2013-11-25,1,13.714576896,9
2013-11-26,0,-0.4954064895999988,2
2013-11-27,0,25.1023358976,13
2013-11-28,0,-5.5733590015999965,5
2013-11-29,0,-6.4507164671999995,1
2013-11-30,1,-5.4063069184,0
2013-12-01,0,-1.8334617600000014,0
2013-12-02,0,17.8253975552,6
2013-12-03,2,-4.310096793599998,2
2013-12-04,4,-5.2005915648,5
2013-12-05,2,-0.2240406527999994,5
2013-12-06,0,0.9521589247999991,1
2013-12-07,0,0.10686883839999961,1
2013-12-08,0,1.596531712,0
2013-12-09,0,6.3377378304,10
2013-12-10,0,5.269851545600001,2
2013-12-11,0,9.247596646400002,4
2013-12-12,1,-2.9960047615999983,5
2013-12-13,3,8.1403152384,5
2013-12-14,3,-5.416389427199999,0
2013-12-15,0,-0.705170432000001,0
2013-12-16,4,3.8518960127999993,11
2013-12-17,0,-4.419147264,2
2013-12-18,0,0.11346943999999981,2
2013-12-19,0,10.0967647232,3
2013-12-20,0,0.30160977920000054,3
2013-12-21,0,-4.269149388799999,0
2013-12-22,0,-2.7085811712,0
2013-12-23,0,-0.46760099840000047,0
2013-12-24,0,1.5957255167999995,0
2013-12-25,0,-2.0424382464,0
2013-12-26,0,-0.9117769727999999,0
2013-12-27,0,4.3794241536000005,0
2013-12-28,0,-2.4455885823999997,0
2013-12-29,0,6.1824379904,0
2013-12-30,0,10.7799416832,0
2013-12-31,0,0.2817326080000013,0
2014-01-01,0,-5.136025292799999,0
2014-01-02,0,11.8195895296,7
2014-01-03,0,-0.9319167999999998,4
2014-01-04,0,8.97295104,0
2014-01-05,0,-7.9397335039999986,0
2014-01-06,0,3.829579775999999,0
2014-01-07,0,2.204711014400001,4
2014-01-08,11,-1.0088609791999996,12
2014-01-09,12,3.2081178624000004,7
2014-01-10,7,0.33691187199999995,8
2014-01-11,0,-4.1241603072,0
2014-01-12,0,-1.8737753088000004,2
2014-01-13,1,-1.1995185152000003,12
2014-01-14,2,2.2557992959999997,5
2014-01-15,2,3.2203382784000003,17
2014-01-16,1,2.2463801344000007,6
2014-01-17,0,6.958864588800001,5
2014-01-18,0,-2.2101656575999993,0
2014-01-19,0,-1.0818467839999997,0
2014-01-20,0,15.7733504,5
2014-01-21,2,-0.3676876799999995,1
2014-01-22,0,24.835544064,1
