,ioBroker/ioBroker,home-assistant/core,node-red/node-red
2024-08-04,0,10,4
2024-08-05,0,51,1
2024-08-06,0,44,0
2024-08-07,0,36,0
2024-08-08,0,18,0
2024-08-09,3,24,0
2024-08-10,4,42,0
2024-08-11,2,9,2
2024-08-12,1,79,5
2024-08-13,0,41,2
2024-08-14,0,70,1
2024-08-15,0,33,0
2024-08-16,0,86,0
2024-08-17,0,14,0
2024-08-18,0,34,3
2024-08-19,0,40,0
2024-08-20,0,29,0
2024-08-21,0,21,0
2024-08-22,0,29,0
2024-08-23,5,13,0
2024-08-24,0,21,0
2024-08-25,0,65,0
2024-08-26,0,34,0
2024-08-27,0,41,1
2024-08-28,0,76,0
2024-08-29,0,29,0
2024-08-30,0,77,0
2024-08-31,0,20,1
2024-09-01,0,19,0
2024-09-02,0,62,0
2024-09-03,0,80,0
2024-09-04,0,60,0
2024-09-05,0,26,0
2024-09-06,0,86,0
2024-09-07,0,10,0
2024-09-08,0,57,0
2024-09-09,0,28,2
2024-09-10,0,62,0
2024-09-11,0,55,18
