,elastic/kibana,grafana/grafana,getsentry/sentry
2022-07-09,3,1,-16.5783054336
2022-07-10,2,0,-7.964216627200003
2022-07-11,45,19,40.066022399999994
2022-07-12,49,20,19.44576
2022-07-13,46,20,20.455019008000004
2022-07-14,51,37,10.040838860800005
2022-07-15,5,22,7.430283059200004
2022-07-16,2,1,-24.8315384832
2022-07-17,1,1,-10.954889318400003
2022-07-18,54,24,20.114395443199996
2022-07-19,52,37,16.17888
2022-07-20,53,33,23.045053952000004
2022-07-21,47,22,12.546438451200004
2022-07-22,54,23,7.6923668480000025
2022-07-23,1,7,-23.6535281664
2022-07-24,2,3,-9.194407731200002
2022-07-25,78,31,18.388436479999996
2022-07-26,70,28,22.384544255999998
2022-07-27,44,32,26.654515302400004
2022-07-28,48,22,20.201296486400004
2022-07-29,31,18,11.869581721600003
2022-07-30,1,0,-28.9294316544
2022-07-31,1,0,-12.231813734400003
2022-08-01,38,30,11.553445887999997
2022-08-02,51,30,46.0414687232
2022-08-03,62,42,30.997280256000003
2022-08-04,43,18,7.256752742400003
2022-08-05,7,5,-11.199749222399994
2022-08-06,1,0,-21.3383394304
2022-08-07,1,0,-10.430591385600005
2022-08-08,48,30,39.40025856
2022-08-09,58,26,15.707487232000005
2022-08-10,40,37,15.035586252800005
2022-08-11,30,34,20.447212236800006
2022-08-12,34,26,7.190605619200003
2022-08-13,3,2,-24.853626982399998
2022-08-14,4,0,-12.392398336000003
2022-08-15,31,9,32.49810943999999
2022-08-16,38,21,32.592913408
2022-08-17,32,21,18.414695219200006
2022-08-18,29,27,-2.5183153151999917
2022-08-19,3,15,11.450118144000001
2022-08-20,3,0,-24.659495833599998
2022-08-21,2,0,-11.654179225600004
2022-08-22,31,30,-3.0984795136000027
2022-08-23,46,22,-2.7536435200000016
2022-08-24,31,26,-6.09629696
2022-08-25,24,28,-3.5591037952
2022-08-26,24,34,-2.173328691199999
2022-08-27,3,1,-1.2213307392
2022-08-28,1,1,-0.6875501568
2022-08-29,29,12,79.8218668032
2022-08-30,42,19,11.865894912000009
2022-08-31,32,21,24.688184524800008
2022-09-01,44,28,9.748807372800002
2022-09-02,3,30,-19.784
2022-09-03,1,0,-15.074560000000002
2022-09-04,2,0,-9.422144000000005
2022-09-05,14,24,-0.4391296000000038
2022-09-06,41,28,20.718719999999998
2022-09-07,41,23,28.181367808000005
2022-09-08,41,20,16.314970316800007
2022-09-09,54,34,13.203213414400004
2022-09-10,2,1,-24.840008396799995
2022-09-11,3,0,-10.057174323200002
2022-09-12,42,27,55.8201208832
2022-09-13,52,22,12.805429248000003
2022-09-14,38,34,21.393842483200004
2022-09-15,56,23,37.759376281600005
2022-09-16,12,26,-9.614628659199994
2022-09-17,1,1,-28.508067328000003
2022-09-18,2,0,-13.342432358400004
2022-09-19,70,35,51.574522879999996
2022-09-20,108,42,17.807297536000007
2022-09-21,58,40,-0.24315586559999502
2022-09-22,66,29,-3.2595803135999972
2022-09-23,73,29,51.6696588288
2022-09-24,5,0,-38.570819891199996
2022-09-25,1,0,-14.549830860800002
2022-09-26,42,29,40.343820799999996
2022-09-27,58,47,22.242867200000003
2022-09-28,49,36,25.193414656000005
2022-09-29,47,23,8.962358681600001
2022-09-30,35,27,-17.9632488448
2022-10-01,2,1,-17.7172187136
2022-10-02,1,0,-10.484360089600004
2022-10-03,35,23,24.609448959999998
2022-10-04,76,49,26.819871232000004
2022-10-05,61,32,18.896641740800007
2022-10-06,46,29,15.569716633600006
2022-10-07,2,28,-6.202974719999997
2022-10-08,1,2,-19.3006275584
2022-10-09,2,0,-9.833678950400005
2022-10-10,34,32,32.7726456832
2022-10-11,46,47,13.844351488000001
2022-10-12,42,24,38.160139571200006
2022-10-13,35,25,18.868953292800008
