,apple/swift,rust-lang/rust,JetBrains/kotlin
2023-10-31,56,88,15
2023-11-01,78,47,22
2023-11-02,42,108,39
2023-11-03,39,53,9
2023-11-04,17,78,0
2023-11-05,3,34,6
2023-11-06,34,37,52
2023-11-07,38,63,38
2023-11-08,42,85,36
2023-11-09,54,49,45
2023-11-10,51,50,41
2023-11-11,11,38,2
2023-11-12,10,67,0
2023-11-13,52,73,31
2023-11-14,69,58,56
2023-11-15,50,90,49
2023-11-16,76,115,87
2023-11-17,43,75,28
2023-11-18,7,48,2
2023-11-19,0,65,0
2023-11-20,6,82,69
2023-11-21,5,93,40
2023-11-22,7,103,42
2023-11-23,8,77,42
2023-11-24,3,98,32
2023-11-25,3,116,1
2023-11-26,3,96,7
2023-11-27,82,75,29
2023-11-28,62,101,53
2023-11-29,42,81,28
2023-11-30,52,69,37
2023-12-01,57,70,41
2023-12-02,23,88,0
2023-12-03,7,55,0
2023-12-04,50,121,41
2023-12-05,37,122,82
2023-12-06,62,74,18
2023-12-07,46,76,72
2023-12-08,47,136,37
2023-12-09,31,55,1
2023-12-10,15,76,0
2023-12-11,40,84,10
2023-12-12,50,121,57
2023-12-13,78,62,70
2023-12-14,58,88,29
2023-12-15,49,115,27
2023-12-16,20,57,3
2023-12-17,4,39,3
2023-12-18,34,139,41
2023-12-19,48,96,86
2023-12-20,45,68,29
2023-12-21,27,55,67
2023-12-22,5,64,2
2023-12-23,3,93,0
2023-12-24,0,46,1
2023-12-25,4,28,0
2023-12-26,4,60,2
2023-12-27,1,39,3
2023-12-28,1,62,11
2023-12-29,4,53,4
2023-12-30,3,51,0
2023-12-31,0,45,0
2024-01-01,3,33,0
2024-01-02,48,63,30
2024-01-03,50,99,35
2024-01-04,48,129,36
2024-01-05,46,121,56
2024-01-06,21,87,3
2024-01-07,2,110,0
2024-01-08,27,93,51
2024-01-09,25,119,43
2024-01-10,47,73,57
2024-01-11,74,118,33
2024-01-12,49,70,48
2024-01-13,39,71,0
2024-01-14,6,75,1
2024-01-15,16,67,39
2024-01-16,56,90,55
2024-01-17,85,71,59
2024-01-18,59,98,46
2024-01-19,49,131,55
2024-01-20,28,81,1
2024-01-21,10,80,0
2024-01-22,41,122,42
2024-01-23,47,87,39
2024-01-24,71,57,43
2024-01-25,52,85,22
2024-01-26,78,117,46
2024-01-27,17,57,1
2024-01-28,12,50,1
2024-01-29,50,71,45
2024-01-30,82,114,49
2024-01-31,60,81,52
2024-02-01,104,33,24
2024-02-02,101,52,23
2024-02-03,35,42,0
2024-02-04,9,54,0
2024-02-05,47,80,29
2024-02-06,63,83,23
2024-02-07,55,91,27
2024-02-08,54,122,47
2024-02-09,86,161,64
2024-02-10,33,86,4
2024-02-11,20,113,10
2024-02-12,69,141,52
2024-02-13,55,151,54
2024-02-14,62,100,53
2024-02-15,82,107,58
2024-02-16,46,114,17
2024-02-17,24,119,0
2024-02-18,4,87,7
2024-02-19,30,128,67
2024-02-20,66,120,42
2024-02-21,101,125,49
2024-02-22,105,115,40
2024-02-23,50,93,46
2024-02-24,69,73,0
2024-02-25,18,94,10
2024-02-26,53,126,61
2024-02-27,76,134,69
2024-02-28,66,109,98
2024-02-29,77,161,41
2024-03-01,113,120,31
2024-03-02,79,73,1
2024-03-03,24,87,1
2024-03-04,39,117,45
2024-03-05,80,162,52
2024-03-06,94,127,48
2024-03-07,103,105,56
2024-03-08,70,110,38
2024-03-09,43,114,32
2024-03-10,15,112,3
2024-03-11,76,137,62
2024-03-12,97,126,71
2024-03-13,108,107,52
2024-03-14,72,160,79
2024-03-15,82,91,61
2024-03-16,41,77,3
2024-03-17,2,117,0
2024-03-18,107,111,32
2024-03-19,76,124,46
2024-03-20,66,98,50
2024-03-21,78,126,41
2024-03-22,60,165,40
2024-03-23,17,114,2
2024-03-24,17,109,0
2024-03-25,36,112,31
2024-03-26,54,98,46
2024-03-27,86,123,29
2024-03-28,62,85,49
2024-03-29,64,59,10
2024-03-30,28,64,0
2024-03-31,5,77,4
2024-04-01,24,81,1
2024-04-02,44,83,53
2024-04-03,63,109,56
2024-04-04,51,103,58
2024-04-05,64,87,25
2024-04-06,12,95,0
2024-04-07,4,55,1
2024-04-08,59,115,31
2024-04-09,57,86,31
2024-04-10,43,96,24
2024-04-11,50,118,29
2024-04-12,35,83,54
2024-04-13,13,56,2
2024-04-14,5,91,0
2024-04-15,20,144,42
2024-04-16,53,177,68
2024-04-17,31,105,59
2024-04-18,50,77,70
2024-04-19,58,99,64
2024-04-20,9,98,0
2024-04-21,7,70,0
2024-04-22,42,78,51
2024-04-23,39,90,52
2024-04-24,34,97,42
2024-04-25,44,82,57
2024-04-26,47,62,37
2024-04-27,8,66,7
2024-04-28,2,73,0
2024-04-29,40,87,36
2024-04-30,59,78,31
2024-05-01,59,42,2
2024-05-02,60,115,46
2024-05-03,37,100,14
2024-05-04,21,139,0
2024-05-05,0,75,0
