,metabase/metabase,apache/superset,getredash/redash
2021-04-14,7.153049600000001,8,0
2021-04-15,7.9244832768,9,0
2021-04-16,-0.476767744,17,0
2021-04-17,-2.083384320000001,1,0
2021-04-18,-2.0405851136000006,1,0
2021-04-19,9.617021849599999,5,2
2021-04-20,3.739453440000001,17,0
2021-04-21,3.8555704320000004,6,1
2021-04-22,7.8937311232,6,0
2021-04-23,6.136448921600001,13,0
2021-04-24,-3.9562057728,4,0
2021-04-25,-2.030933913600001,2,0
2021-04-26,12.6299831296,14,1
2021-04-27,3.163350528000001,15,0
2021-04-28,4.6435593216,8,0
2021-04-29,4.5895186432,11,0
2021-04-30,7.5387825152,9,0
2021-05-01,-1.0977439743999993,0,0
2021-05-02,1.277751295999999,2,0
2021-05-03,4.578936319999999,6,0
2021-05-04,7.078766592,8,0
2021-05-05,5.292174950400001,11,1
2021-05-06,3.2904742912,9,0
2021-05-07,2.6003191807999997,9,0
2021-05-08,-3.0972669952,5,0
2021-05-09,-1.7647944704000005,0,0
2021-05-10,9.8292420608,7,1
2021-05-11,0.9159302144000008,6,0
2021-05-12,8.6402793472,6,0
2021-05-13,8.456757248,11,0
2021-05-14,-0.15609845759999974,14,6
2021-05-15,-2.8769077248000006,1,0
2021-05-16,-1.6672769024000007,0,0
2021-05-17,2.8559948799999995,12,0
2021-05-18,4.308479488000001,6,0
2021-05-19,7.7518027776,12,0
2021-05-20,4.8350219264000005,8,0
2021-05-21,1.8000777216000006,15,0
2021-05-22,0.36907294719999983,3,0
2021-05-23,-2.0048086016000006,1,0
2021-05-24,6.80556032,11,0
2021-05-25,5.520312832,9,0
2021-05-26,1.0626187264000002,8,0
2021-05-27,2.6431410175999996,10,0
2021-05-28,2.6414848000000006,9,0
2021-05-29,-2.2875615232,3,0
2021-05-30,-1.2476282880000005,0,0
2021-05-31,1.1536037887999995,4,0
2021-06-01,3.9720893440000005,4,0
2021-06-02,5.327612620800001,7,0
2021-06-03,2.7599167488000003,6,0
2021-06-04,8.9263504384,6,0
2021-06-05,-3.2893573119999995,3,0
2021-06-06,-1.586084352000001,1,0
2021-06-07,6.9892505599999994,8,0
2021-06-08,7.646309376,14,0
2021-06-09,11.7615956992,8,0
2021-06-10,2.343588864000001,12,0
2021-06-11,9.3057820672,5,0
2021-06-12,-3.6408995839999996,2,0
2021-06-13,-2.6359532544000013,1,0
2021-06-14,1.3380582399999992,9,0
2021-06-15,24.145647104,13,1
2021-06-16,20.553897676800002,15,0
2021-06-17,2.6258933760000005,9,0
2021-06-18,6.762969599999998,3,0
2021-06-19,-5.017460428800001,2,0
2021-06-20,-2.576911667200002,2,0
2021-06-21,7.442529689599999,6,0
2021-06-22,5.119468544,8,0
2021-06-23,11.8932051968,11,0
2021-06-24,-0.623575654399998,8,0
2021-06-25,2.1910505471999997,10,0
2021-06-26,-0.2873186303999997,1,0
2021-06-27,-2.4851279872000003,6,0
2021-06-28,6.515440537599999,15,0
2021-06-29,3.2911722496000007,16,0
2021-06-30,3.2788295680000004,13,0
2021-07-01,3.3097580544000005,13,0
2021-07-02,4.3289051136,9,0
2021-07-03,-2.773341184,1,0
2021-07-04,-1.4842256384000005,2,0
2021-07-05,8.0137893888,7,0
2021-07-06,8.472349184,4,0
2021-07-07,1.4910338048000007,5,0
2021-07-08,6.282295705599999,11,0
2021-07-09,4.6899705856,13,0
2021-07-10,-2.3349540864,3,0
2021-07-11,-1.992040652800001,0,0
