,ansible/ansible,saltstack/salt,cfengine/core
2014-07-29,11,67,3
2014-07-30,13,57,4
2014-07-31,14,106,3
2014-08-01,8,37,7
2014-08-02,5,12,0
2014-08-03,18,10,0
2014-08-04,22,60,4
2014-08-05,17,62,8
2014-08-06,26,55,2
2014-08-07,13,67,0
2014-08-08,102,40,171
2014-08-09,10,10,1
2014-08-10,1,45,0
2014-08-11,40,59,0
2014-08-12,17,37,6
2014-08-13,3,56,3
2014-08-14,14,36,1
2014-08-15,6,64,3
2014-08-16,1,35,0
2014-08-17,1,10,0
2014-08-18,8,18,4
2014-08-19,16,47,3
2014-08-20,7,48,3
2014-08-21,38,80,2
2014-08-22,26,43,2
2014-08-23,2,27,0
2014-08-24,2,17,0
2014-08-25,20,90,1
2014-08-26,16,92,1
2014-08-27,20,44,4
2014-08-28,12,38,25
2014-08-29,11,35,22
2014-08-30,0,15,0
2014-08-31,4,10,0
2014-09-01,6,17,19
2014-09-02,24,97,20
2014-09-03,9,72,4
2014-09-04,10,48,12
2014-09-05,8,46,25
2014-09-06,2,26,0
2014-09-07,1,17,0
2014-09-08,9,39,1
2014-09-09,20,63,29
2014-09-10,24,52,10
2014-09-11,16,59,20
2014-09-12,3,81,55
2014-09-13,2,11,0
2014-09-14,0,8,0
2014-09-15,10,51,7
2014-09-16,22,67,11
2014-09-17,13,83,9
2014-09-18,12,85,14
2014-09-19,6,70,12
2014-09-20,1,24,0
2014-09-21,5,20,0
2014-09-22,6,68,2
2014-09-23,8,88,8
2014-09-24,3,64,4
2014-09-25,5,66,2
2014-09-26,12,63,4
2014-09-27,1,19,0
2014-09-28,21,11,1
2014-09-29,14,49,8
2014-09-30,12,57,1
2014-10-01,17,31,0
2014-10-02,14,139,0
2014-10-03,21,118,0
2014-10-04,2,7,0
2014-10-05,3,13,0
2014-10-06,8,36,1
2014-10-07,12,57,1
2014-10-08,16,61,3
2014-10-09,8,39,2
2014-10-10,7,56,0
2014-10-11,1,17,0
2014-10-12,5,38,0
2014-10-13,8,62,0
2014-10-14,4,34,0
2014-10-15,16,49,0
2014-10-16,3,40,0
2014-10-17,1,64,0
