,facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify
2022-04-25,-0.9240741888000001,0,0
2022-04-26,0.5929679871999995,0,0
2022-04-27,1.4385574912,0,0
2022-04-28,1.0200906752,0,0
2022-04-29,11.9016562688,0,0
2022-04-30,-0.5251260415999992,0,0
2022-05-01,-4.621151129599999,0,0
2022-05-02,2.0619374592,0,0
2022-05-03,3.1973612543999996,0,0
2022-05-04,20.2839611392,0,0
2022-05-05,0.7966280704000024,0,0
2022-05-06,-5.7092286464,0,0
2022-05-07,1.0937942015999997,0,0
2022-05-08,-1.0680732672000008,0,0
2022-05-09,-4.018098380800001,0,0
2022-05-10,-0.07018700800000044,0,0
2022-05-11,1.7459652608000003,0,0
2022-05-12,2.0840256512,0,0
2022-05-13,-3.409723187199999,0,0
2022-05-14,3.6596788224,0,0
2022-05-15,-1.7491149823999996,0,0
2022-05-16,2.4888538112,0,0
2022-05-17,2.6304534528000003,2,0
2022-05-18,2.0293903360000005,0,0
2022-05-19,-3.2254319615999996,0,0
2022-05-20,0.6418608127999996,0,0
2022-05-21,0.37338521599999996,0,0
2022-05-22,2.41623808,0,0
2022-05-23,1.6147952640000005,0,1
2022-05-24,-0.5712898047999997,0,0
2022-05-25,3.1020720128,0,0
2022-05-26,7.092000256,0,0
2022-05-27,4.839133696000001,0,0
2022-05-28,-2.881913343999999,0,0
2022-05-29,-2.5291467776,0,0
2022-05-30,-1.1713878016000003,0,0
2022-05-31,-1.6908925952000007,0,0
2022-06-01,4.988691148799999,0,0
2022-06-02,4.8898315264,0,0
2022-06-03,-0.4596951039999997,0,1
2022-06-04,-1.3315655679999994,0,1
2022-06-05,0.7436175359999999,0,0
2022-06-06,-0.2804327424000004,0,0
2022-06-07,-0.8597490688000002,0,1
2022-06-08,-0.3417351168,0,0
2022-06-09,1.837544448,0,0
2022-06-10,-0.8744992768,0,0
2022-06-11,1.8058571776,0,0
2022-06-12,-1.7660941311999998,0,0
2022-06-13,0.2904802303999998,0,0
2022-06-14,1.1665043456,0,0
2022-06-15,5.7972358144000005,0,0
2022-06-16,1.7001152512000006,0,0
2022-06-17,1.8448745472000003,0,0
2022-06-18,-1.2698138623999995,0,0
2022-06-19,-2.1523324928000003,0,0
2022-06-20,-1.0803554304000005,0,0
2022-06-21,0.3016007679999996,0,0
2022-06-22,3.0805204992,0,0
