,rust-lang/rust,JetBrains/kotlin,apple/swift
2012-01-02,23,5,0.0
2012-01-03,11,11,0.0
2012-01-04,13,18,0.0
2012-01-05,23,3,3.0
2012-01-06,28,21,4.199999999999999
2012-01-07,29,5,-3.9600000000000004
2012-01-08,10,6,-0.8879999999999999
2012-01-09,25,2,-0.43679999999999986
2012-01-10,18,19,-0.27014399999999983
2012-01-11,22,12,7.8126464
2012-01-12,21,22,19.06069248
2012-01-13,32,13,-9.468573696000002
2012-01-14,31,4,-0.015548313600000085
2012-01-15,15,9,-6.5838124032000005
2012-01-16,43,15,-0.1651839999999991
2012-01-17,63,21,8.524006400000001
2012-01-18,41,38,14.28218368
2012-01-19,76,16,-8.285400576000002
2012-01-20,76,14,-8.0342240256
2012-01-21,31,1,-2.8438658047999996
2012-01-22,8,8,-1.5394332671999993
2012-01-23,20,19,-1.0075285504
2012-01-24,66,24,2.3085890559999998
2012-01-25,41,39,-2.332394086400001
2012-01-26,32,20,6.2285114368
2012-01-27,36,51,-4.6274279424000015
2012-01-28,14,15,-1.0003144704
2012-01-29,13,2,-0.46054399999999995
2012-01-30,15,39,-0.2854655999999998
2012-01-31,31,25,0.80128768
2012-02-01,22,16,0.25169254399999985
2012-02-02,25,20,1.1640157184
2012-02-03,29,30,-1.4483824640000003
2012-02-04,43,7,-0.3891144704
2012-02-05,17,9,-0.16844799999999996
2012-02-06,21,26,1.8931968000000001
2012-02-07,10,24,-0.2753766400000002
2012-02-08,31,62,0.10322380799999986
2012-02-09,12,26,-0.8766932992
2012-02-10,45,18,0.7276172288
2012-02-11,21,4,0.2476998655999999
2012-02-12,28,7,-0.8099584000000001
2012-02-13,34,32,0.75854592
2012-02-14,25,15,-0.7399613440000001
2012-02-15,24,12,-0.2167179264
2012-02-16,6,8,3.8855543808
2012-02-17,17,22,-1.4717827072000005
2012-02-18,26,0,-1.126113792
2012-02-19,3,7,-0.3795976192
2012-02-20,8,38,-0.2118275071999999
2012-02-21,24,50,-0.135332352
2012-02-22,18,30,0.9016291327999999
2012-02-23,31,27,-0.6684569600000001
2012-02-24,21,36,-0.17428684800000005
2012-02-25,12,0,-0.10034862080000004
2012-02-26,0,2,9.9578979328
2012-02-27,14,21,-6.022848000000001
2012-02-28,17,18,-1.2167552
2012-02-29,37,66,0.4270745600000001
2012-03-01,14,30,13.053659648
2012-03-02,25,43,-2.7569820672000027
2012-03-03,17,7,-2.503552000000001
2012-03-04,8,0,4.533145599999999
2012-03-05,5,22,-0.09265152000000043
2012-03-06,49,45,-5.351247872
2012-03-07,20,54,0.3466137599999999
2012-03-08,30,22,-2.1651717120000002
2012-03-09,10,37,0.0945307648
2012-03-10,29,23,2.7970230272
2012-03-11,24,14,25.1268318208
2012-03-12,13,40,-17.567477657600005
2012-03-13,23,37,-2.7811690496
2012-03-14,25,40,-0.4021112832
2012-03-15,60,10,-0.38962790399999925
2012-03-16,40,25,6.7673056256
2012-03-17,8,12,-3.316787712000001
2012-03-18,9,3,-1.4938237952000004
2012-03-19,20,35,9.4828106752
2012-03-20,21,13,0.759410278399999
2012-03-21,30,31,-6.328133632
2012-03-22,25,7,0.3064255487999996
2012-03-23,34,25,-2.0771753984
2012-03-24,11,8,-1.7749300224
2012-03-25,13,1,3.1383150592
2012-03-26,15,28,2.0682630143999994
2012-03-27,25,22,4.143683481599999
2012-03-28,20,61,1.0948729855999986
2012-03-29,49,27,9.2832095232
2012-03-30,12,28,-8.5998405632
2012-03-31,3,1,-3.8779073536
2012-04-01,22,2,-1.6419638271999997
2012-04-02,15,42,10.984033792
2012-04-03,13,27,-2.916319948800002
2012-04-04,24,39,1.0472647679999998
2012-04-05,17,20,5.7602089984
2012-04-06,53,21,-2.2436706304000005
2012-04-07,7,31,-5.846387712
2012-04-08,17,29,-0.8699065343999999
2012-04-09,9,28,2.3184307200000003
2012-04-10,7,13,22.737829376
2012-04-11,12,25,3.3113255935999995
