,highcharts/highcharts,plotly/plotly.js,d3/d3
2013-07-11,0,2.334107668453125,10
2013-07-12,0,-0.6788331836390629,2
2013-07-13,0,2.6180647949281255,0
2013-07-14,0,3.43969525,0
2013-07-15,0,4.262528162500001,0
2013-07-16,0,0.06900783874999983,1
2013-07-17,0,-0.6407328173593747,0
2013-07-18,0,1.560721754451563,3
2013-07-19,0,-0.4896670341546869,9
2013-07-20,0,-0.3023719463578119,0
2013-07-21,0,-0.21200653654687462,1
2013-07-22,4,-0.17342530342031198,1
2013-07-23,7,5.875235828528125,2
2013-07-24,7,-0.6778866006953128,7
2013-07-25,3,-0.3005862450359376,0
2013-07-26,12,-0.1901366260312501,0
2013-07-27,0,0.8592272949281254,0
2013-07-28,0,-0.19670049999999978,0
2013-07-29,8,-0.12397207499999979,3
2013-07-30,5,-0.09506217749999983,0
2013-07-31,6,0.9219276219062502,5
2013-08-01,7,1.833490134784375,11
2013-08-02,17,-0.25816201250000015,1
2013-08-03,2,-0.12959369625000006,0
2013-08-04,0,1.912769186984375,0
2013-08-05,0,-0.26584060253593744,2
2013-08-06,2,-0.13539551249999993,0
2013-08-07,3,0.9055822787500001,0
2013-08-08,7,3.8269192944843753,0
2013-08-09,13,7.495231021432812,0
2013-08-10,1,-1.0516217300718758,6
2013-08-11,0,2.4831501074999998,0
2013-08-12,7,7.35409662396875,8
2013-08-13,4,5.805273282428125,11
2013-08-14,3,5.66182425375,3
2013-08-15,6,5.535773301984374,11
2013-08-16,0,7.436428075401563,3
2013-08-17,0,3.16230054823125,0
2013-08-18,0,3.4322772409625006,0
2013-08-19,1,1.5514566534531258,3
2013-08-20,6,8.762187227017188,0
2013-08-21,2,4.170177777353126,4
2013-08-22,0,-0.6412803951109369,6
2013-08-23,4,-1.0889947376109366,7
2013-08-24,0,-0.737160578642186,0
2013-08-25,0,-0.5320282566515608,0
2013-08-26,6,5.627899958492189,0
2013-08-27,3,1.1232750107734377,1
2013-08-28,7,1.3293961222359378,1
2013-08-29,5,1.386507900296875,0
2013-08-30,18,-0.5309364282312496,2
2013-08-31,0,3.7065756474640628,5
2013-09-01,2,0.39046942500000004,0
2013-09-02,11,4.5535552975,0
2013-09-03,9,3.20284520440625,0
2013-09-04,35,1.145808841253125,0
2013-09-05,9,4.334248776396875,8
2013-09-06,3,1.087988368896875,0
2013-09-07,3,1.2804317474281253,0
2013-09-08,0,1.3465309891875004,0
2013-09-09,0,4.3661737455906255,0
2013-09-10,1,5.104152022385938,0
2013-09-11,5,19.876176530257812,0
2013-09-12,3,15.279416957574998,0
2013-09-13,2,8.835303312349998,0
2013-09-14,0,14.077298943789062,0
2013-09-15,0,5.592455213896875,0
2013-09-16,5,3.112248362646876,1
2013-09-17,7,4.564844789850001,0
2013-09-18,1,9.659548512976565,0
2013-09-19,2,29.245094378956253,6
2013-09-20,4,13.085990144964061,0
2013-09-21,0,-3.3963880505843758,2
2013-09-22,1,1.3749698570531264,0
2013-09-23,4,1.7998074247484412,0
2013-09-24,11,-1.8647605746671838,3
2013-09-25,5,-1.2764440613249972,9
2013-09-26,1,2.02170702106094,5
2013-09-27,4,12.933062208068751,0
2013-09-28,0,9.89579833831875,0
2013-09-29,0,1.8267295063374993,0
2013-09-30,6,13.507965610401563,0
2013-10-01,5,7.568506087793749,0
2013-10-02,5,7.66433405235625,0
2013-10-03,6,-0.3711002637499998,4
2013-10-04,14,5.348634663453127,0
2013-10-05,0,3.131698405173439,46
2013-10-06,2,2.2859988358093766,0
2013-10-07,5,15.535922448756251,3
2013-10-08,7,15.380951807121875,0
2013-10-09,7,4.745943344304687,16
2013-10-10,8,5.448273114484374,6
2013-10-11,5,5.6646794123593756,7
2013-10-12,0,5.774197822568752,3
2013-10-13,0,0.7818359696703139,0
2013-10-14,0,3.3119894240078143,3
2013-10-15,1,15.341526636090627,1
2013-10-16,2,2.186210202607813,3
2013-10-17,16,9.979806980228126,4
2013-10-18,6,9.6010542555875,0
2013-10-19,0,4.413680818087501,0
2013-10-20,0,-1.202125725662499,0
2013-10-21,1,2.539347796915627,0
2013-10-22,3,6.586707978564064,0
2013-10-23,1,5.2353932848046885,0
2013-10-24,5,6.210829686810938,0
2013-10-25,2,24.176160788632814,4
2013-10-26,0,5.3043091271312495,0
2013-10-27,0,-0.8030776677906255,0
2013-10-28,9,11.157851584232812,0
2013-10-29,3,15.459785237901563,0
2013-10-30,0,12.65990811198125,0
2013-10-31,7,7.4679933436031245,0
2013-11-01,1,7.823921313123439,0
2013-11-02,0,1.9254230000562513,0
2013-11-03,0,7.573019961925002,0
2013-11-04,2,13.500483924895313,2
2013-11-05,2,10.851463743225,0
2013-11-06,5,20.710707255251563,0
2013-11-07,7,2.6557060998531252,0
2013-11-08,12,5.901758695003126,0
2013-11-09,0,-2.830870427317186,0
2013-11-10,0,3.212207394526566,0
2013-11-11,7,10.212615792164065,1
2013-11-12,5,10.567938668890626,0
2013-11-13,10,10.24572842970625,0
2013-11-14,9,8.126350065871875,0
2013-11-15,2,9.247572331778125,1
2013-11-16,0,-2.7382303473921867,0
2013-11-17,0,0.37936744592656435,0
2013-11-18,5,11.669122667421878,5
2013-11-19,4,-0.28737248261718573,14
2013-11-20,7,7.450424511615626,2
2013-11-21,6,11.084627039079688,0
2013-11-22,7,7.589593118860938,0
2013-11-23,0,3.674126090917188,9
2013-11-24,0,10.06722421456875,4
2013-11-25,9,18.64165804771875,1
2013-11-26,2,7.4910259707249995,0
2013-11-27,13,30.92858636225156,0
2013-11-28,5,6.7830988015374984,0
2013-11-29,1,0.9392997204734383,0
2013-11-30,0,-1.0041137906234359,1
2013-12-01,0,0.8022657290468791,0
2013-12-02,6,20.128617869846877,0
2013-12-03,2,3.4400266124906267,2
