,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2015-10-25,4,-7.031311974400001,3
2015-10-26,1,9.9026921472,1
2015-10-27,1,-1.487130828799998,2
2015-10-28,2,6.4432708608,5
2015-10-29,5,24.1156097024,0
2015-10-30,9,3.532817920000003,2
2015-10-31,9,-2.303798681599999,4
2015-11-01,5,-0.8537003008000008,3
2015-11-02,3,17.389514854399998,0
2015-11-03,12,37.4352719872,1
2015-11-04,8,9.726211481600002,1
2015-11-05,3,15.789075353599998,0
2015-11-06,4,8.2168010752,4
2015-11-07,1,-1.6781255680000005,2
2015-11-08,5,0.03846420479999768,6
2015-11-09,3,23.238382079999997,3
2015-11-10,1,34.4074353664,3
2015-11-11,5,3.9915636736000035,2
2015-11-12,9,17.3550889984,1
2015-11-13,8,7.5614036991999996,0
2015-11-14,5,-6.9989289984,5
2015-11-15,9,-5.255325593600002,1
2015-11-16,16,36.6573411328,6
2015-11-17,7,41.6055688192,6
2015-11-18,13,54.614658150400004,0
2015-11-19,13,37.8120664064,0
2015-11-20,10,3.362665676799999,0
2015-11-21,7,5.070506700799996,0
2015-11-22,10,-9.233596313600003,0
2015-11-23,2,11.334426316799995,0
2015-11-24,5,9.9883134976,0
2015-11-25,7,22.775546777600002,1
2015-11-26,3,2.5530528768000025,0
2015-11-27,3,-3.3993949183999987,6
2015-11-28,4,-4.1506293759999995,0
2015-11-29,0,-1.7610271743999997,1
2015-11-30,4,22.2874458112,4
2015-12-01,15,21.357694976,0
2015-12-02,20,113.2300804096,0
2015-12-03,24,52.48972431360001,1
2015-12-04,5,1.583857254399998,5
2015-12-05,12,-9.714626150400008,7
2015-12-06,3,-9.201721548800007,1
2015-12-07,10,49.62277089279999,9
2015-12-08,6,109.5213421568,3
2015-12-09,21,29.5001890816,5
2015-12-10,9,4.998520422399999,6
2015-12-11,13,47.7213523968,0
2015-12-12,7,-18.0714037248,1
2015-12-13,8,-15.854920294400006,4
2015-12-14,8,36.78900418559999,1
2015-12-15,3,19.044046848,6
2015-12-16,5,43.08063180800001,2
2015-12-17,3,20.608669286400005,4
2015-12-18,6,5.3417174016,0
2015-12-19,1,-11.5114358784,1
2015-12-20,8,-8.897611468800001,0
2015-12-21,1,28.570074623999997,5
2015-12-22,1,35.2144270336,1
2015-12-23,1,30.937357516800002,7
2015-12-24,3,55.4466706432,2
2015-12-25,4,-1.7017211903999971,2
2015-12-26,0,-10.952970547200003,4
2015-12-27,4,-6.144611328000005,1
2015-12-28,0,45.4741540864,1
2015-12-29,0,6.9649232896000015,2
2015-12-30,1,14.838700031999998,2
2015-12-31,1,15.806553907200001,0
2016-01-01,1,-5.137838284799997,11
2016-01-02,2,0.21665095680000057,21
2016-01-03,0,4.143174451199998,3
2016-01-04,1,38.519715839999996,4
2016-01-05,6,47.9049089024,0
2016-01-06,8,15.1071356928,4
2016-01-07,6,52.2166197248,3
2016-01-08,2,31.8734455808,0
2016-01-09,9,-9.924490137600003,1
2016-01-10,4,-7.0188301312000085,0
2016-01-11,7,45.6166278144,0
2016-01-12,3,40.6014329856,0
2016-01-13,3,67.19841792,4
2016-01-14,11,138.7463832576,1
2016-01-15,2,-7.173862809599996,0
2016-01-16,1,-24.295390515200005,14
2016-01-17,0,-10.349521305600007,5
2016-01-18,2,42.3509542912,2
2016-01-19,0,31.166514995200004,7
2016-01-20,3,69.6401488896,1
2016-01-21,0,16.245380198400007,5
2016-01-22,0,25.907071078400005,5
2016-01-23,0,-15.927445299199999,2
2016-01-24,1,7.329052569599995,5
2016-01-25,8,28.132027699199995,2
2016-01-26,11,30.7057537024,15
2016-01-27,11,20.325658931200003,1
2016-01-28,12,19.301263052800003,2
2016-01-29,6,11.0086995968,1
2016-01-30,5,7.6062240768,14
2016-01-31,16,-10.322021068800002,3
2016-02-01,14,20.749501542399997,1
2016-02-02,9,47.4029878272,2
2016-02-03,1,33.554969907200004,13
2016-02-04,9,32.3901841408,0
2016-02-05,15,34.550747648,1
2016-02-06,2,-16.7206239232,4
2016-02-07,19,-5.485567897600005,2
2016-02-08,2,20.458795724799998,1
2016-02-09,0,33.5085022208,3
2016-02-10,4,10.338546790400002,0
2016-02-11,3,19.6294938624,2
