,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2020-02-08,1.9615118708421888,0,1
2020-02-09,1.0024732745625013,0,0
2020-02-10,11.182499302757813,0,0
2020-02-11,8.26198424448125,7,0
2020-02-12,7.062587160071875,3,0
2020-02-13,4.036813781582811,1,0
2020-02-14,2.2986133287531256,7,0
2020-02-15,0.577934555146876,0,0
2020-02-16,2.8762358133812516,0,0
2020-02-17,4.817896586360939,0,0
2020-02-18,3.622636963740626,0,0
2020-02-19,4.634923298162501,0,0
2020-02-20,8.599802930000001,0,0
2020-02-21,4.195359639082812,1,0
2020-02-22,3.415485190221875,0,0
2020-02-23,0.5643623538250004,0,0
2020-02-24,5.913231302865626,0,0
2020-02-25,7.556911655512501,0,1
2020-02-26,4.23157001720625,0,0
2020-02-27,11.384278071726563,0,1
2020-02-28,8.718180514628125,0,1
2020-02-29,-1.377970659703125,0,0
2020-03-01,0.5529180897062509,0,0
2020-03-02,4.818942125039064,0,0
2020-03-03,11.582103512568752,0,0
2020-03-04,12.792478125107813,0,0
2020-03-05,-0.7354414896671879,0,0
2020-03-06,3.2883176443312503,0,1
2020-03-07,1.3653327526109387,0,1
2020-03-08,1.6954295915890645,0,0
2020-03-09,8.874219931432814,2,0
2020-03-10,6.228098178084376,7,1
2020-03-11,9.15441809683125,3,0
2020-03-12,9.803955016798437,5,1
2020-03-13,6.581950817179687,3,0
2020-03-14,3.7826261036,0,0
2020-03-15,2.0611780845234384,0,0
2020-03-16,1.378131190845314,5,0
2020-03-17,7.61522510473594,0,1
2020-03-18,1.141464411765626,1,0
2020-03-19,6.606124769040626,3,0
2020-03-20,8.296023024667187,2,0
2020-03-21,2.014075974928126,0,3
2020-03-22,3.498101376582813,0,1
2020-03-23,15.580944181471876,3,0
2020-03-24,1.4238113470593747,1,0
2020-03-25,5.198793936501563,3,1
2020-03-26,6.143056193129688,0,1
2020-03-27,6.073825675767189,0,0
2020-03-28,3.0108064520562507,0,0
2020-03-29,4.3014110288281255,0,0
2020-03-30,6.346204888528126,0,0
2020-03-31,2.1521015435546884,8,0
2020-04-01,6.4727477810765635,0,0
2020-04-02,3.2928219787468755,0,0
2020-04-03,4.474101395623438,0,0
2020-04-04,3.4572381193375006,0,1
2020-04-05,2.570842337134376,0,0
2020-04-06,4.730951739226564,3,0
2020-04-07,4.596330745659376,0,0
2020-04-08,2.5559632951500006,0,0
2020-04-09,7.75118377948125,0,1
2020-04-10,6.313153374634375,0,0
2020-04-11,2.252803827976563,0,0
2020-04-12,3.5825679597062505,0,0
2020-04-13,4.615768732757813,0,0
2020-04-14,0.5404337342625007,1,0
2020-04-15,5.905280109190626,0,1
2020-04-16,17.577414766471875,0,0
2020-04-17,7.262333402715624,2,0
2020-04-18,-0.45484652444843787,0,0
2020-04-19,3.3917243714000005,0,1
2020-04-20,7.445272072278127,5,0
2020-04-21,6.091431129226564,4,0
2020-04-22,3.0527436475031258,7,0
2020-04-23,2.321777750068751,3,0
2020-04-24,0.5026028474515638,0,0
