,ant-design/ant-design,mui/material-ui,twbs/bootstrap
2016-01-20,23,6.3475097337249995,4
2016-01-21,14,1.4068450937687498,11
2016-01-22,15,2.3444493195031253,0
2016-01-23,10,7.647002699364062,6
2016-01-24,3,-0.6701512670515628,8
2016-01-25,15,8.961624165314063,5
2016-01-26,29,3.081629233387499,5
2016-01-27,17,10.68679640268125,3
2016-01-28,19,6.779735579415625,0
2016-01-29,4,-1.3649205954187504,1
2016-01-30,10,1.8739807262625012,0
2016-01-31,0,-4.7622053413156245,1
2016-02-01,30,9.565763119879687,0
2016-02-02,17,-2.0970631641156263,0
2016-02-03,14,13.825736705834375,2
2016-02-04,1,6.27551203890625,15
2016-02-05,1,14.332150657307812,5
2016-02-06,1,4.822159481648438,61
2016-02-07,0,9.971487886995313,43
2016-02-08,0,34.854648468621875,28
2016-02-09,0,-1.4020238511859375,29
2016-02-10,0,12.880962758410938,0
2016-02-11,3,13.4109133877875,6
2016-02-12,0,11.253454317090624,0
2016-02-13,0,-5.873324797853124,0
2016-02-14,2,2.0047178936437504,5
2016-02-15,1,1.791962701710938,2
2016-02-16,4,-2.3766676846265646,33
2016-02-17,12,3.636517202007812,49
2016-02-18,10,-1.3714146133640632,6
2016-02-19,13,8.217814920259375,15
2016-02-20,4,-0.4235113731906264,0
2016-02-21,8,8.371836516307813,0
2016-02-22,26,7.93141747721875,0
2016-02-23,15,3.117008123035937,9
2016-02-24,16,12.972425837596875,1
2016-02-25,15,-6.527220244551563,3
2016-02-26,7,14.653933283845314,2
2016-02-27,1,4.845001244634375,10
2016-02-28,0,14.475407677381249,11
2016-02-29,5,-4.132699021098439,1
2016-03-01,6,3.6571234520062506,1
2016-03-02,25,14.612436854585937,1
2016-03-03,15,3.4992380478765615,4
2016-03-04,12,-3.1535792149531243,4
2016-03-05,7,3.612024504989064,2
2016-03-06,5,0.2335766168749993,3
2016-03-07,17,7.332756825381249,15
2016-03-08,10,4.968676992035937,0
2016-03-09,23,-1.9741663745515625,0
2016-03-10,81,7.984367678095312,4
2016-03-11,23,-1.736815643340626,6
2016-03-12,2,8.331219889146876,0
2016-03-13,8,0.5684247241968752,1
2016-03-14,30,-2.2059998084375003,7
2016-03-15,23,1.3589514419171875,2
2016-03-16,19,7.333243695535937,7
2016-03-17,9,8.723765836128123,1
2016-03-18,14,1.3472187846328119,0
2016-03-19,2,-1.4798518021046867,2
2016-03-20,5,-3.940246637867187,0
2016-03-21,13,2.7538047268640624,0
2016-03-22,19,5.031026600823437,5
2016-03-23,20,-1.9780079097765628,0
2016-03-24,11,11.449409316914062,7
2016-03-25,33,3.2967142797203106,0
2016-03-26,1,-3.151911864384375,0
2016-03-27,3,0.015334514575000568,2
2016-03-28,30,4.39741757831875,0
2016-03-29,29,19.410850501171875,0
2016-03-30,47,-4.7200846727890635,2
2016-03-31,25,1.1732216656062517,2
2016-04-01,25,4.5745837000656255,0
2016-04-02,0,4.85940537885,3
2016-04-03,4,-3.5200577613765622,0
2016-04-04,2,-2.2883137305124994,3
2016-04-05,25,1.6741879966921873,1
2016-04-06,30,-1.768869898239064,7
2016-04-07,31,0.1437757235828121,2
2016-04-08,12,4.404378957724999,0
2016-04-09,4,1.2796043572124995,7
2016-04-10,10,3.549743203248437,5
2016-04-11,20,8.033286460390624,9
2016-04-12,18,8.38943099926875,2
2016-04-13,29,1.1064192209546881,1
2016-04-14,19,3.2728339078031254,3
2016-04-15,21,6.219187060735938,1
2016-04-16,4,-0.7434766470593752,0
2016-04-17,5,-0.31334122645937423,6
2016-04-18,13,1.4303830727250002,1
2016-04-19,9,1.4373955399312495,1
2016-04-20,9,1.5345020702359369,0
2016-04-21,11,5.672779683114062,4
2016-04-22,10,2.6107745494953125,0
2016-04-23,2,-1.1631347590343752,4
2016-04-24,3,0.0590517131109376,2
2016-04-25,14,-1.4841783644765623,1
2016-04-26,9,0.312972331990625,0
2016-04-27,24,4.336355968757813,0
2016-04-28,15,7.239969598757812,2
2016-04-29,17,-2.2916742708046876,0
2016-04-30,1,6.522852604795313,0
2016-05-01,0,1.9717177733234372,0
2016-05-02,0,3.4021541112546876,0
2016-05-03,5,7.122745821035938,0
2016-05-04,3,5.7952078857359375,0
2016-05-05,15,-0.7385188395593749,0
2016-05-06,14,7.743331042946876,1
2016-05-07,8,10.092782545390625,0
2016-05-08,8,3.4270227926437498,32
2016-05-09,17,-3.828036673439062,17
2016-05-10,30,-0.29480824550624973,3
2016-05-11,33,-0.7634051008015628,20
2016-05-12,12,1.8859703512671873,20
2016-05-13,12,1.6708075356109373,8
2016-05-14,3,-2.271154284851563,3
2016-05-15,15,0.9427304742062494,2
2016-05-16,26,-2.1344470173968757,4
2016-05-17,11,2.9333668716421872,1
2016-05-18,22,-0.8447969905109378,1
2016-05-19,18,3.8166377655218753,1
2016-05-20,9,2.829638195223437,3
2016-05-21,6,0.5187494887578121,0
2016-05-22,1,2.9777908958203128,2
2016-05-23,23,-2.4973697635296874,0
2016-05-24,8,1.807226052801563,0
2016-05-25,7,3.3345427966875,0
2016-05-26,24,0.613625699053125,6
2016-05-27,44,4.990302796689063,0
2016-05-28,5,-0.15356428374218822,2
2016-05-29,0,-1.3138068352109373,0
2016-05-30,1,-1.4905651610265622,2
2016-05-31,5,10.105008550085937,22
2016-06-01,11,2.099711643453124,0
2016-06-02,24,-1.4242949322765623,2
2016-06-03,15,1.767689029789063,4
2016-06-04,0,4.559172559192188,15
2016-06-05,0,-1.3685690666765629,9
2016-06-06,11,1.8556370560359383,0
