,django/django,rails/rails,pallets/flask
2019-02-01,2.0,15.020339893303126,0
2019-02-02,2.0,1.7283168357015626,0
2019-02-03,0.0,-2.091030343681248,0
2019-02-04,6.0,17.876952222143753,0
2019-02-05,14.0,16.5092094511625,0
2019-02-06,8.0,7.909916357170314,0
2019-02-07,3.0,16.456972800653126,0
2019-02-08,6.0,11.833013182209376,0
2019-02-09,13.0,5.026511222128127,0
2019-02-10,2.0,0.748392977473439,0
2019-02-11,7.0,18.58727339676875,0
2019-02-12,5.0,12.230981812151565,0
2019-02-13,4.0,14.141461583968752,0
2019-02-14,7.0,11.93853631809375,0
2019-02-15,1.0,11.047510756756251,0
2019-02-16,1.0,11.124386874781251,0
2019-02-17,0.0,5.197933494784376,0
2019-02-18,0.0,6.819375753864065,0
2019-02-19,0.0,14.950749151528127,0
2019-02-20,3.0,17.202063605995313,0
2019-02-21,6.0,13.69574564764375,0
2019-02-22,0.0,8.722216264853126,0
2019-02-23,1.0,9.195637607940625,2
2019-02-24,1.0,3.377015125476565,2
2019-02-25,6.0,26.074172457320316,0
2019-02-26,2.0,16.208424402020313,0
2019-02-27,4.0,6.191267744109375,0
2019-02-28,3.0,2.0514381360250007,0
2019-03-01,5.0,8.930540498714066,0
2019-03-02,3.0,-3.196717803599997,0
2019-03-03,1.0,11.030333361579691,0
2019-03-04,1.0,7.282458022173439,0
2019-03-05,3.0,7.356326696045315,0
2019-03-06,1.0,14.340594969379687,2
2019-03-07,3.0,20.79025382607344,0
2019-03-08,3.0,19.850935639010935,0
2019-03-09,2.0,21.331388466096875,0
2019-03-10,0.0,1.746945593318749,0
2019-03-11,2.0,26.309170093296878,0
2019-03-12,3.0,20.521738611876565,0
2019-03-13,1.0,9.242320208234377,0
2019-03-14,2.0,2.0825401433750015,0
2019-03-15,3.0,7.170426709514066,0
2019-03-16,0.0,5.324990336762504,0
2019-03-17,0.0,13.753662151981253,0
2019-03-18,6.0,14.234739680456252,0
2019-03-19,0.0,18.00668760177969,0
2019-03-20,5.0,9.382972004265625,0
2019-03-21,10.0,1.0163538775812508,0
2019-03-22,7.0,16.163640499601563,0
2019-03-23,7.0,6.243682610326564,0
2019-03-24,1.0,4.754645243714065,0
2019-03-25,5.0,8.15205119841094,0
2019-03-26,1.0,16.038489130107816,0
2019-03-27,10.0,8.281352708009376,0
2019-03-28,8.0,5.680754643240626,0
2019-03-29,4.0,11.154452645668751,0
2019-03-30,10.0,10.84310297752344,0
2019-03-31,0.0,29.67053871416094,0
2019-04-01,7.0,12.758992574265624,0
2019-04-02,2.0,16.340507607790627,0
2019-04-03,4.0,26.108822707307812,0
2019-04-04,1.0,25.97599360437969,0
2019-04-05,5.0,15.376241279928125,0
2019-04-06,2.0,-3.046718215042186,0
2019-04-07,0.0,-1.0355377689718708,0
2019-04-08,5.0,11.867753689981257,0
2019-04-09,1.0,21.218807223282816,0
2019-04-10,0.0,10.205741097275002,0
2019-04-11,0.0,23.71960608826094,0
2019-04-12,0.0,21.604114449885937,2
2019-04-13,4.0,5.302152956256251,0
2019-04-14,4.0,9.729952778912502,0
2019-04-15,5.0,16.965841497095315,2
2019-04-16,4.0,25.303849653407816,0
2019-04-17,4.0,6.093427842820313,0
2019-04-18,6.0,6.36544690886719,0
2019-04-19,5.0,28.00724551127344,0
2019-04-20,0.0,1.2048620938218768,0
2019-04-21,2.0,4.051313028357816,0
2019-04-22,0.0,14.69813974363594,0
2019-04-23,4.0,22.992742203668755,0
2019-04-24,6.0,6.860294713776563,0
2019-04-25,8.0,5.883882358984376,0
2019-04-26,2.0,4.536470958896876,0
2019-04-27,2.0,0.9784856318546904,0
2019-04-28,0.0,-0.38950951725937166,0
2019-04-29,9.0,3.3015746581234406,0
2019-04-30,5.0,11.272638096681252,0
2019-05-01,2.0,12.532147722931251,0
2019-05-02,3.0,7.108886162842188,0
2019-05-03,7.0,2.4810870194124997,0
2019-05-04,0.0,0.0420699105156257,7
2019-05-05,0.0,4.577083222650002,2
