,swiftlang/swift,rust-lang/rust,golang/go
2011-07-09,0.0,-29.403136409600002,8
2011-07-10,0.0,-8.227658649600002,6
2011-07-11,0.0,18.8374366208,14
2011-07-12,0.0,22.2835692544,24
2011-07-13,1.0,-6.5176480768000005,29
2011-07-14,1.7,-5.249133363200002,16
2011-07-15,-0.7050000000000001,2.9769406463999957,10
2011-07-16,-0.26949999999999985,-15.355185766400005,0
2011-07-17,0.8408375000000001,-6.380287897599999,5
2011-07-18,2.58995475,4.308758015999999,23
2011-07-19,17.912278637500002,8.313122406399998,16
2011-07-20,-6.1400189987500005,3.929171967999995,16
2011-07-21,-2.2674537642656234,5.274443775999998,18
2011-07-22,-1.326044596764062,8.981176729599998,10
2011-07-23,2.097304061034375,-12.359297536,12
2011-07-24,9.44651538875,-9.362048921600001,3
2011-07-25,-3.130084925515625,8.616704512,10
2011-07-26,1.9450982352203132,27.9051521024,10
2011-07-27,-2.4223953582453133,11.182304767999995,15
2011-07-28,-1.2685331014234378,19.587627417599997,18
2011-07-29,4.3250721625,-7.319350886400002,14
2011-07-30,-2.0033315587500002,-14.016288460800002,0
2011-07-31,17.076677975953125,-15.2568567808,6
2011-08-01,-2.024974847870313,2.2318256128000016,7
2011-08-02,-1.5319358573265616,35.7839470592,4
2011-08-03,8.683308469704688,-1.6642563072000058,2
2011-08-04,-3.6416629654312507,0.9104693247999975,14
2011-08-05,-2.364400868749999,14.028270079999999,5
2011-08-06,-0.45714510882812487,-28.1973005312,2
2011-08-07,-1.3629994436640624,-11.6861799424,1
2011-08-08,0.11974302821874927,8.4377146368,11
2011-08-09,0.0087674097468744,15.054727987199998,5
2011-08-10,1.2369395397874998,10.573803417599997,14
2011-08-11,3.9850117653624997,13.500571750399999,7
2011-08-12,26.00176237517344,46.3416252416,12
2011-08-13,14.853576563017185,-50.83494778880001,3
2011-08-14,-6.586702829265624,-11.322512896,2
2011-08-15,-5.70207454948281,36.331557171200004,12
2011-08-16,-2.202546965515624,16.317012991999995,17
