,spring-projects/spring-framework,apache/tomcat,apache/struts
2021-05-18,1.638393856,2,0
2021-05-19,-2.0678156287999996,5,0
2021-05-20,0.8528611328000002,5,0
2021-05-21,-0.09232496639999987,4,0
2021-05-22,-0.8290101248000001,2,0
2021-05-23,3.4692820992,1,0
2021-05-24,-0.18734079999999964,14,0
2021-05-25,-0.8354396159999997,16,0
2021-05-26,7.5167700992,15,0
2021-05-27,0.11344035840000033,7,0
2021-05-28,0.7785538559999996,0,0
2021-05-29,-1.0905776128000002,0,0
2021-05-30,1.3745949695999997,0,0
2021-05-31,2.158034432,0,2
2021-06-01,0.8940324864,8,0
2021-06-02,2.0241872895999995,3,0
2021-06-03,-1.1610127359999995,5,1
2021-06-04,4.3497443328,7,0
2021-06-05,-1.3823797247999998,0,0
2021-06-06,-0.6719505408000004,0,0
2021-06-07,2.5629788159999998,5,1
2021-06-08,17.0687583232,12,0
2021-06-09,-1.084643635199999,2,0
2021-06-10,-2.354245836800001,1,0
2021-06-11,-0.32684165120000075,1,0
2021-06-12,-1.09734656,0,0
2021-06-13,-0.7640811520000002,1,0
2021-06-14,0.45689343999999965,0,1
2021-06-15,5.357269504,14,1
2021-06-16,-1.6527030271999985,6,0
2021-06-17,-0.8160402431999997,2,0
2021-06-18,-0.3759347712000001,3,1
2021-06-19,-0.241523712,1,1
2021-06-20,-0.18611415040000007,0,1
2021-06-21,6.86050048,3,0
2021-06-22,3.484051968,10,0
2021-06-23,0.3412043776,11,0
2021-06-24,2.7891838975999996,4,0
2021-06-25,-0.43520000000000025,8,0
2021-06-26,-0.9627520000000005,0,0
2021-06-27,-0.6098816000000004,0,5
2021-06-28,0.5458969599999998,2,0
2021-06-29,2.4380508160000005,0,0
2021-06-30,6.019671347200001,4,0
2021-07-01,-1.8672578559999997,4,1
2021-07-02,5.1629837312,2,0
2021-07-03,-1.7266011135999997,0,0
2021-07-04,-0.8247061504000005,0,2
2021-07-05,-0.5449651200000003,0,0
2021-07-06,1.590230528,2,0
2021-07-07,4.2726644736,2,0
2021-07-08,-0.4206948351999995,4,0
2021-07-09,12.1151542272,3,0
2021-07-10,-3.0735262719999996,0,0
2021-07-11,1.618111897599999,0,0
2021-07-12,10.5738624,0,0
2021-07-13,7.76166656,2,0
2021-07-14,-2.7698058240000005,0,0
2021-07-15,-2.1361783808000006,2,0
2021-07-16,-0.3845898240000005,3,0
2021-07-17,0.8151719936000004,0,0
2021-07-18,-1.2525233152,0,0
2021-07-19,-0.7045365760000002,0,0
2021-07-20,-0.5462833151999993,0,0
2021-07-21,-0.41755975679999896,10,0
2021-07-22,-0.2230513663999996,4,0
2021-07-23,4.9297463296,5,0
2021-07-24,-0.048241151999999676,0,0
2021-07-25,0.35875522559999984,0,0
2021-07-26,-0.5449387008000002,9,0
2021-07-27,2.7039999999999997,18,0
2021-07-28,1.19072,42,0
2021-07-29,8.19872,2,0
2021-07-30,0.7654016000000001,1,0
2021-07-31,0.37390591999999967,0,0
2021-08-01,-1.3094691840000003,0,0
2021-08-02,-0.7456154624000003,0,0
2021-08-03,-0.5307311104000002,4,0
2021-08-04,3.595316224,0,0
2021-08-05,-1.1308823551999998,0,0
2021-08-06,-0.5660658687999998,2,0
2021-08-07,0.6187592704000003,2,0
2021-08-08,1.5994165248000003,0,0
2021-08-09,0.39291729920000007,0,0
