,lvgl/lvgl,Immediate-Mode-UI/Nuklear,ocornut/imgui
2017-05-29,0.0,2,-0.44
2017-05-30,0.0,0,-0.27200000000000024
2017-05-31,0.0,0,-0.19136000000000014
2017-06-01,0.0,0,0.855232
2017-06-02,0.0,0,5.485184
2017-06-03,0.0,0,-2.6141491199999995
2017-06-04,0.0,3,-0.8631464959999999
2017-06-05,0.0,0,-0.43839815680000005
2017-06-06,0.0,6,-0.2795520000000003
2017-06-07,1.0,0,-0.2026752000000001
2017-06-08,-0.10000000000000009,1,-0.15614976000000003
2017-06-09,-0.04500000000000003,1,-0.12537907199999995
2017-06-10,-0.028500000000000022,0,-0.10373242879999996
2017-06-11,-0.020662499999999924,0,-0.07678894079999998
2017-06-12,-0.016116749999999947,0,0.0
2017-06-13,3.9868379875,0,2.0
2017-06-14,-0.4110936962500003,2,-0.7999999999999998
2017-06-15,-0.1895683130156251,0,-0.24
2017-06-16,0.8776011474640625,4,0.872
2017-06-17,4.81735,0,1.5168
2017-06-18,1.3905329999999998,0,-0.9799039999999999
2017-06-19,0.4938519499999998,0,0.6500736
2017-06-20,0.6024627149999999,0,-0.60634112
2017-06-21,1.6402974979375005,6,0.7365365759999999
2017-06-22,-0.4421661726437497,2,-0.5724635135999999
2017-06-23,0.7517002412500003,0,-0.22589696000000006
2017-06-24,-0.28514006926562474,0,0.854151168
2017-06-25,-0.19403157261406206,0,-0.5076727807999999
2017-06-26,2.8538799025390627,0,-0.19391887359999999
2017-06-27,0.6155537606625,0,-0.102118912
2017-06-28,0.7087286919484375,0,-0.07276871680000004
2017-06-29,-0.2711974910671876,0,-0.04510771200000001
2017-06-30,-0.16337890132187477,3,-0.035761356800000005
2017-07-01,-0.10708106301562477,0,-0.018370559999999994
2017-07-02,-0.08466414003593722,0,0.984844288
2017-07-03,-0.06255985124999981,0,1.5872018432000001
2017-07-04,-0.05296064779687485,0,-0.9199999999999998
2017-07-05,-0.045858566873437374,0,-0.304
2017-07-06,-0.017967165551562456,1,-0.16960000000000006
2017-07-07,6.9916011474640625,1,-0.11315200000000011
2017-07-08,-0.7000000000000006,0,-0.08286720000000004
2017-07-09,35.685,0,0.9357030399999999
2017-07-10,2.200499999999997,0,-0.4518968319999999
2017-07-11,-2.3646375000000015,0,-0.1631095808
2017-07-12,5.59118275,0,-0.08959631359999999
2017-07-13,-1.7069840874999977,0,-0.04160000000000005
2017-07-14,-1.0968338737499976,0,2.970048
2017-07-15,-0.8370111411093731,0,6.7770368
2017-07-16,-0.6817746077515605,0,-2.5783705599999993
2017-07-17,-0.5238386960624986,2,-1.567155712
2017-07-18,-0.4519026568874988,0,-0.7695981568000001
2017-07-19,1.8719510110343753,0,0.5133439999999996
2017-07-20,1.733021808890625,0,6.2498944
2017-07-21,-0.3487919677515626,0,-3.1887692799999994
2017-07-22,-0.1470000000000001,0,7.880605184
2017-07-23,-0.09832499999999988,1,3.732389273600001
2017-07-24,0.9264415000000003,2,-4.7186929664
2017-07-25,4.841442475,0,-0.7814253568000002
2017-07-26,0.40648858249999964,0,10.53448704
