,gcc-mirror/gcc,golang/go,llvm/llvm-project
2022-09-10,5,0,28
2022-09-11,2,0,24
2022-09-12,52,0,99
2022-09-13,19,16,135
2022-09-14,24,9,101
2022-09-15,15,21,90
2022-09-16,15,22,112
2022-09-17,4,4,34
2022-09-18,6,1,34
2022-09-19,6,24,144
2022-09-20,25,10,120
2022-09-21,16,10,137
2022-09-22,37,5,116
2022-09-23,25,11,103
2022-09-24,4,1,24
2022-09-25,11,1,23
2022-09-26,43,23,116
2022-09-27,22,38,105
2022-09-28,17,31,138
2022-09-29,53,54,160
2022-09-30,28,24,133
2022-10-01,10,10,44
2022-10-02,6,4,27
2022-10-03,29,7,121
2022-10-04,23,15,125
2022-10-05,28,14,133
2022-10-06,41,10,152
2022-10-07,32,14,143
2022-10-08,3,4,32
2022-10-09,4,0,18
2022-10-10,27,13,85
2022-10-11,32,12,120
2022-10-12,25,17,143
2022-10-13,23,11,137
2022-10-14,23,17,170
2022-10-15,4,1,29
2022-10-16,4,0,28
2022-10-17,30,19,87
2022-10-18,18,13,149
2022-10-19,26,8,91
2022-10-20,29,9,91
2022-10-21,19,11,121
2022-10-22,4,0,57
2022-10-23,2,1,50
2022-10-24,24,15,115
2022-10-25,25,13,118
2022-10-26,20,16,124
2022-10-27,16,6,127
2022-10-28,23,8,132
2022-10-29,8,4,55
2022-10-30,1,0,51
2022-10-31,17,19,123
2022-11-01,21,19,109
2022-11-02,17,12,136
2022-11-03,24,24,104
2022-11-04,50,21,94
2022-11-05,7,1,42
2022-11-06,10,0,26
2022-11-07,54,17,121
2022-11-08,56,23,103
2022-11-09,48,25,84
2022-11-10,17,32,105
2022-11-11,31,14,91
2022-11-12,17,0,54
2022-11-13,14,0,29
2022-11-14,90,18,124
2022-11-15,40,45,138
2022-11-16,38,32,118
2022-11-17,19,25,133
2022-11-18,23,24,157
2022-11-19,14,13,50
2022-11-20,7,0,48
2022-11-21,39,20,107
2022-11-22,36,18,154
2022-11-23,17,14,85
2022-11-24,22,3,97
2022-11-25,17,0,113
2022-11-26,2,0,89
2022-11-27,1,0,113
2022-11-28,68,11,191
2022-11-29,14,5,153
2022-11-30,27,7,138
2022-12-01,30,18,147
2022-12-02,22,14,151
2022-12-03,4,1,75
2022-12-04,9,0,56
2022-12-05,9,8,165
2022-12-06,34,9,170
2022-12-07,16,11,259
2022-12-08,24,8,191
2022-12-09,16,3,141
2022-12-10,10,1,87
2022-12-11,10,1,50
2022-12-12,20,6,170
2022-12-13,66,3,203
2022-12-14,19,6,166
2022-12-15,24,2,147
2022-12-16,24,4,143
2022-12-17,4,1,105
2022-12-18,4,0,53
2022-12-19,35,1,143
2022-12-20,9,0,142
2022-12-21,25,6,134
2022-12-22,23,6,133
2022-12-23,23,2,84
