,golang/go,llvm/llvm-project,gcc-mirror/gcc
2018-01-14,1,17,20
2018-01-15,3,59,28
2018-01-16,4,63,36
2018-01-17,5,136,44
2018-01-18,1,116,30
2018-01-19,2,97,29
2018-01-20,3,39,6
2018-01-21,1,16,8
2018-01-22,5,79,26
2018-01-23,11,119,29
2018-01-24,5,99,19
2018-01-25,6,90,24
2018-01-26,2,90,33
2018-01-27,0,36,9
2018-01-28,1,13,2
2018-01-29,2,90,18
2018-01-30,7,127,30
2018-01-31,10,95,39
2018-02-01,0,89,26
2018-02-02,5,100,23
2018-02-03,0,23,3
2018-02-04,0,20,6
2018-02-05,3,96,21
2018-02-06,6,122,21
2018-02-07,7,106,31
2018-02-08,1,137,25
2018-02-09,4,107,34
2018-02-10,0,44,4
2018-02-11,1,28,8
2018-02-12,38,101,25
2018-02-13,54,98,35
2018-02-14,46,104,19
2018-02-15,45,133,22
2018-02-16,7,114,41
2018-02-17,9,39,5
2018-02-18,2,16,9
2018-02-19,9,65,21
2018-02-20,27,96,27
2018-02-21,29,82,9
2018-02-22,10,91,28
2018-02-23,17,137,20
2018-02-24,3,44,3
2018-02-25,1,16,5
2018-02-26,22,96,33
2018-02-27,22,113,18
2018-02-28,17,129,31
2018-03-01,23,121,20
2018-03-02,16,114,33
2018-03-03,7,28,13
2018-03-04,7,11,6
2018-03-05,10,71,22
2018-03-06,21,91,16
2018-03-07,22,112,16
2018-03-08,27,114,17
2018-03-09,20,106,23
2018-03-10,7,41,9
2018-03-11,1,18,10
2018-03-12,8,104,20
2018-03-13,16,116,23
2018-03-14,14,132,22
2018-03-15,23,104,20
2018-03-16,4,75,28
2018-03-17,1,21,6
2018-03-18,2,31,11
2018-03-19,11,113,20
2018-03-20,12,136,24
2018-03-21,7,108,38
2018-03-22,9,107,15
2018-03-23,5,131,26
2018-03-24,12,46,4
2018-03-25,6,23,9
2018-03-26,17,126,10
2018-03-27,20,80,24
2018-03-28,16,65,17
2018-03-29,18,103,15
2018-03-30,13,70,11
2018-03-31,5,16,4
2018-04-01,5,29,6
2018-04-02,14,94,8
2018-04-03,19,105,24
2018-04-04,18,109,32
2018-04-05,19,123,33
2018-04-06,17,101,26
2018-04-07,4,43,13
2018-04-08,2,25,10
2018-04-09,15,124,22
2018-04-10,23,116,31
2018-04-11,27,94,20
2018-04-12,14,123,20
2018-04-13,16,105,13
2018-04-14,7,13,4
2018-04-15,10,13,1
2018-04-16,19,72,12
2018-04-17,17,76,24
2018-04-18,14,73,16
2018-04-19,11,88,20
2018-04-20,18,114,17
2018-04-21,6,36,2
2018-04-22,2,29,10
2018-04-23,10,123,10
2018-04-24,20,131,19
2018-04-25,22,111,17
2018-04-26,24,97,22
2018-04-27,12,98,23
2018-04-28,2,28,4
2018-04-29,14,26,3
2018-04-30,18,84,23
2018-05-01,30,83,16
2018-05-02,12,89,30
