,microsoft/vscode,pulsar-edit/pulsar,neovim/neovim
2021-07-02,26.64545828150469,7,6
2021-07-03,-13.562190402284372,7,7
2021-07-04,-3.17342785568124,0,10
2021-07-05,24.896875013159388,1,2
2021-07-06,27.25085135743126,3,6
2021-07-07,96.34242789414688,0,5
2021-07-08,52.455673998349994,1,10
2021-07-09,33.91990516090781,1,8
2021-07-10,-8.307664769975002,0,9
2021-07-11,-8.201290277795303,3,7
2021-07-12,25.428774663671888,0,4
2021-07-13,39.540195852585946,0,1
2021-07-14,51.35685640958907,2,6
2021-07-15,60.12297358710156,2,1
2021-07-16,69.93303651991405,7,0
2021-07-17,-8.944694541459379,0,4
2021-07-18,-4.417307476839058,0,4
2021-07-19,44.315664816070324,4,11
2021-07-20,40.958539810265634,4,2
2021-07-21,42.629599988401566,3,0
2021-07-22,42.75260190685781,1,4
2021-07-23,41.25687563568282,1,3
2021-07-24,-3.8416633621499976,1,6
2021-07-25,-4.334442172878118,0,10
2021-07-26,47.30558332092032,2,9
2021-07-27,33.45479833977345,1,4
2021-07-28,41.90543727187032,10,5
2021-07-29,27.860866899073436,4,11
2021-07-30,-1.3223924627999981,0,8
2021-07-31,-7.010792358570306,0,11
2021-08-01,-3.5655845515812414,1,16
2021-08-02,27.73179613636407,0,4
2021-08-03,65.33831466127813,2,2
2021-08-04,43.384681913423435,1,1
2021-08-05,29.091022297892184,2,1
2021-08-06,49.980097944271876,4,7
2021-08-07,-5.732488828542188,0,4
2021-08-08,-6.194770006573432,0,3
2021-08-09,16.935219715734384,2,14
2021-08-10,17.896162335229697,0,11
2021-08-11,38.42526524977657,2,4
2021-08-12,39.32916096710469,4,24
2021-08-13,40.43944384243437,6,5
2021-08-14,-9.282745572375003,0,4
2021-08-15,-4.896613501499996,0,9
2021-08-16,35.09303520426876,6,13
2021-08-17,53.14232998862032,0,6
2021-08-18,48.84459280058438,5,3
2021-08-19,68.42897615843437,0,8
2021-08-20,48.407971536132806,2,3
2021-08-21,-7.3556195312562505,0,0
2021-08-22,-6.955015623562495,0,18
2021-08-23,59.84526968069845,0,7
2021-08-24,35.69567892735469,0,1
2021-08-25,50.50386414141094,1,2
2021-08-26,19.864693642421877,1,6
2021-08-27,14.122507207879693,0,6
2021-08-28,-9.165534821609368,0,10
2021-08-29,-3.5910483683734276,0,4
2021-08-30,50.97767186621719,0,6
2021-08-31,41.37582988714688,3,3
2021-09-01,46.93889069089375,1,4
2021-09-02,44.75805123509218,2,4
2021-09-03,28.12750340700625,16,1
2021-09-04,-7.606740234076561,1,2
2021-09-05,-6.63566939339843,0,7
2021-09-06,19.36185470521876,2,2
2021-09-07,49.93748755406876,1,3
2021-09-08,21.30357657349219,0,11
2021-09-09,26.5345857913125,0,15
2021-09-10,51.515305989076566,0,26
2021-09-11,-1.8887513513874996,0,21
2021-09-12,-5.821122840484371,0,9
2021-09-13,27.533675282392196,0,7
2021-09-14,55.43575486012501,2,9
2021-09-15,22.6365594890125,0,39
2021-09-16,44.88733318575312,0,15
2021-09-17,50.29134797833906,0,31
2021-09-18,-0.24837489844531113,2,15
2021-09-19,-7.18742506554687,0,19
2021-09-20,55.71767120916095,4,8
2021-09-21,46.94554255096407,2,10
2021-09-22,50.35658891063125,0,12
2021-09-23,39.04401095325625,1,9
2021-09-24,50.48046009222031,0,13
2021-09-25,-11.751375748393748,0,1
2021-09-26,-7.157855969629679,0,22
2021-09-27,65.40350677280314,0,6
2021-09-28,37.617740092260945,1,4
2021-09-29,57.38986208591719,4,8
2021-09-30,34.34055500598281,1,4
2021-10-01,6.471837727209378,0,9
2021-10-02,-9.25814520685312,0,14
2021-10-03,-3.932294169545302,0,24
2021-10-04,26.69568718566251,1,15
2021-10-05,0.5042894446046944,0,16
2021-10-06,28.079374240932818,0,14
2021-10-07,23.605841970160938,0,16
2021-10-08,43.393148921520314,0,12
2021-10-09,-7.5460236440218775,0,5
2021-10-10,-3.589467728182811,0,4
2021-10-11,48.82309695271876,0,2
2021-10-12,64.38445480519376,3,3
2021-10-13,29.51670502902656,0,5
2021-10-14,40.77576294023281,0,5
2021-10-15,45.78037490084531,0,2
2021-10-16,-2.2439079356093714,0,8
2021-10-17,-7.151097786062493,0,21
2021-10-18,22.568421479448446,0,8
2021-10-19,47.025943478151575,0,17
2021-10-20,33.93445719725625,0,7
2021-10-21,41.87713856252188,2,13
2021-10-22,41.09003552097968,2,0
2021-10-23,-2.4588782962234355,0,11
2021-10-24,-5.455502270954682,0,4
2021-10-25,66.01448399162501,3,2
2021-10-26,35.18647923552656,0,5
2021-10-27,39.19956244115001,1,4
2021-10-28,15.584283585371875,0,2
2021-10-29,14.677296894106254,0,9
2021-10-30,-3.195224149931242,0,17
2021-10-31,-5.603540929009366,0,15
2021-11-01,66.23944369239533,0,15
2021-11-02,46.06188916831876,0,3
2021-11-03,61.81336542122969,0,4
2021-11-04,47.62423528381562,0,2
2021-11-05,46.56227914928125,0,4
2021-11-06,-9.622649512095311,1,4
2021-11-07,-5.420155400940617,0,2
2021-11-08,38.81743904982032,0,1
2021-11-09,86.77627243640626,0,3
2021-11-10,68.50337720485938,0,1
2021-11-11,45.235786686596875,0,8
2021-11-12,56.390784095923436,0,0
2021-11-13,-15.263143358129685,0,0
2021-11-14,-7.557634055468739,0,10
2021-11-15,30.24304811955939,0,7
2021-11-16,34.068186966689076,0,13
2021-11-17,31.75250982638282,0,2
2021-11-18,32.5075560457375,1,21
2021-11-19,57.677106837512504,0,24
2021-11-20,10.336127634396874,0,1
2021-11-21,-0.2698128006031215,0,12
