,facebook/react-native,flutter/flutter,NativeScript/NativeScript
2016-05-29,0,0.7439342591999987,0
2016-05-30,1,-0.7920602112000008,17
2016-05-31,14,6.821159424,10
2016-06-01,19,8.6836630528,4
2016-06-02,6,11.8251831296,7
2016-06-03,18,12.661217484800002,9
2016-06-04,9,-4.2997417983999995,0
2016-06-05,3,-3.5299144704000014,1
2016-06-06,26,5.819296460799999,4
2016-06-07,31,14.8144850944,8
2016-06-08,14,5.548742451200001,14
2016-06-09,15,5.0015053823999995,5
2016-06-10,16,6.2618258432000005,5
2016-06-11,3,-4.8294298624,0
2016-06-12,1,-0.605902131200001,0
2016-06-13,17,8.927033139199999,14
2016-06-14,21,8.370540544,16
2016-06-15,17,4.593888460800001,7
2016-06-16,11,9.8681028608,8
2016-06-17,14,1.0160941056000006,12
2016-06-18,4,-2.7599119360000004,0
2016-06-19,0,-1.3565650944000005,0
2016-06-20,10,5.271661055999999,16
2016-06-21,26,11.342712627200001,7
2016-06-22,31,12.657024921600001,3
2016-06-23,31,11.4461955072,0
2016-06-24,24,1.8716227584,10
2016-06-25,3,0.27659530239999874,0
2016-06-26,1,-2.633836134400001,0
2016-06-27,9,1.5793406975999984,5
2016-06-28,14,6.4796409856,5
2016-06-29,9,-3.4640452607999994,4
2016-06-30,18,8.056373350400001,9
2016-07-01,24,3.713936179200002,6
2016-07-02,1,-2.0366870527999996,0
2016-07-03,1,-1.7401592832000004,0
2016-07-04,5,0.9196994559999996,4
2016-07-05,17,-1.1609206784,4
2016-07-06,19,4.2439931904,9
2016-07-07,29,3.4539710464000004,2
2016-07-08,15,8.25000704,2
2016-07-09,2,-2.933406207999999,1
2016-07-10,2,-1.3505307648000007,0
2016-07-11,23,2.1779972095999995,5
2016-07-12,18,3.8054005760000003,8
2016-07-13,29,2.2929236991999997,6
2016-07-14,22,2.29513984,5
2016-07-15,17,2.235647488,4
2016-07-16,2,-0.7628318719999996,0
2016-07-17,2,-1.1600599040000001,0
2016-07-18,11,6.33853184,10
2016-07-19,11,1.1059440640000002,10
2016-07-20,18,6.4454873088,8
2016-07-21,8,7.52914432,7
2016-07-22,11,7.7852360704,7
2016-07-23,3,-2.7879069696,0
2016-07-24,0,-2.1126747136000015,0
2016-07-25,10,4.659469209599999,4
2016-07-26,7,7.812115456000001,5
2016-07-27,11,11.7353536512,4
2016-07-28,10,4.339970252800001,5
2016-07-29,13,5.8681453567999995,7
2016-07-30,3,-4.229101055999999,0
2016-07-31,7,-2.265483366400001,0
2016-08-01,8,1.516242329599999,4
2016-08-02,26,5.272150528,3
2016-08-03,21,0.44818677760000014,3
2016-08-04,27,8.998862336,2
2016-08-05,17,20.637403136000003,3
2016-08-06,4,-5.3919092736,0
2016-08-07,4,-3.113531904000002,1
2016-08-08,13,5.128010239999998,1
2016-08-09,20,10.241767423999999,1
2016-08-10,10,1.7799170047999997,0
2016-08-11,14,10.5915302912,2
2016-08-12,10,0.23845703679999986,3
2016-08-13,3,-1.5229466623999999,0
2016-08-14,1,-2.4622217216,0
2016-08-15,18,7.5798532095999995,2
2016-08-16,18,8.135161856,4
2016-08-17,18,8.2232307712,5
2016-08-18,12,6.6493820928,2
2016-08-19,15,5.6078647296,0
2016-08-20,1,-3.335786905600001,0
2016-08-21,2,-2.487077376000001,0
2016-08-22,9,4.3619720191999996,7
2016-08-23,11,4.574275072000001,3
2016-08-24,14,5.1327135744,1
2016-08-25,9,5.8261666816,1
2016-08-26,10,3.5248069632000005,0
2016-08-27,4,-2.1903826943999998,0
2016-08-28,0,-1.9012060160000006,0
2016-08-29,10,6.820280729599999,9
2016-08-30,12,3.5187322880000003,5
2016-08-31,11,3.4528449536,7
2016-09-01,9,7.4127347712,7
2016-09-02,12,2.5950399488,2
2016-09-03,4,-1.9237528576000003,0
2016-09-04,2,-1.7799195648000006,0
2016-09-05,11,-1.1276719104000006,2
2016-09-06,29,-0.8441948159999999,0
2016-09-07,14,3.3212546048000005,2
2016-09-08,13,6.721481625600001,2
2016-09-09,22,12.739317657600001,2
2016-09-10,2,-4.059946495999999,0
2016-09-11,2,-1.807603814400001,0
2016-09-12,14,7.8965866496,3
2016-09-13,9,4.4099968,2
2016-09-14,14,4.265822719999999,6
2016-09-15,14,8.108603392,9
2016-09-16,11,11.182720102400001,10
2016-09-17,0,-3.996594483199999,12
2016-09-18,1,-2.712851456000001,0
2016-09-19,19,5.356305919999999,4
2016-09-20,15,14.376125952,5
2016-09-21,8,7.0672180224000005,6
2016-09-22,9,12.197838643199999,0
2016-09-23,18,0.06892011519999919,0
2016-09-24,4,-2.2558572544000004,0
2016-09-25,1,-1.8777415680000007,0
2016-09-26,19,12.996122009599999,6
2016-09-27,12,7.554674176000001,10
2016-09-28,12,4.2492972032,9
2016-09-29,8,1.6403694592000004,7
2016-09-30,14,4.4378227712000005,3
2016-10-01,2,-1.6508274687999998,0
2016-10-02,1,-1.363782246400001,0
2016-10-03,7,8.2862031872,4
2016-10-04,12,7.786719129600001,3
2016-10-05,9,5.045905920000001,7
2016-10-06,6,4.2112156672,2
2016-10-07,11,2.4156422143999996,7
2016-10-08,1,-2.1411600384000002,0
2016-10-09,4,-1.9970409472000006,0
2016-10-10,4,1.7000655871999995,1
2016-10-11,21,6.419712409600001,9
2016-10-12,17,1.374454784000001,1
2016-10-13,9,11.865825177600001,5
2016-10-14,16,7.045885030400001,5
2016-10-15,8,0.9395842048,0
2016-10-16,8,-0.041178214400001245,0
2016-10-17,8,9.6727760896,7
2016-10-18,14,6.132603904,5
2016-10-19,12,6.9408841728,9
2016-10-20,12,12.5765234688,10
2016-10-21,6,6.2205487104,3
2016-10-22,3,-5.4091877376,0
2016-10-23,3,1.0940128255999988,0
2016-10-24,14,8.258985471999999,13
2016-10-25,10,6.0386434048,13
2016-10-26,17,-0.20542484479999956,7
2016-10-27,15,8.921741824,5
2016-10-28,7,6.743381401600001,7
2016-10-29,7,-1.435242700799999,0
2016-10-30,1,-2.887815884800001,0
2016-10-31,14,5.278623231999999,13
2016-11-01,17,16.320843366400002,3
2016-11-02,23,13.6644115456,9
2016-11-03,16,9.657310208,4
2016-11-04,13,-3.3372102656000004,5
2016-11-05,7,-3.9678291968000012,0
2016-11-06,2,-1.454911590400001,0
2016-11-07,13,7.089173708799999,10
2016-11-08,23,4.800155136,7
2016-11-09,12,5.546271539200001,1
2016-11-10,19,12.252001894400001,13
2016-11-11,26,-1.1498372095999985,6
2016-11-12,4,-0.27372554240000113,0
2016-11-13,1,-2.432881971200001,0
2016-11-14,31,4.470417407999999,6
2016-11-15,32,10.6517922816,5
2016-11-16,19,10.0105288704,4
2016-11-17,15,0.21360506879999974,3
2016-11-18,17,4.5829791744,1
2016-11-19,4,-1.5698566144,0
2016-11-20,5,-2.2979813376000005,0
2016-11-21,22,5.525953228799999,13
2016-11-22,17,13.515143168,3
2016-11-23,30,4.367537561600001,6
2016-11-24,8,-2.0786655231999998,5
2016-11-25,5,-2.5459808256000005,4
2016-11-26,2,-1.5196538880000001,0
2016-11-27,2,1.9214921728,0
2016-11-28,23,6.6326894592,4
2016-11-29,17,6.553527296,6
2016-11-30,20,8.9053130752,5
2016-12-01,10,0.032347545600000416,4
2016-12-02,20,2.3215924223999993,3
2016-12-03,6,-1.4889131008000005,0
2016-12-04,3,-0.6392345600000007,0
2016-12-05,16,4.6767319039999995,7
2016-12-06,14,8.8518601728,1
2016-12-07,10,-0.40336005119999907,2
2016-12-08,25,1.7181364224000002,0
2016-12-09,4,5.8926185472,0
2016-12-10,2,-1.7459874815999998,0
2016-12-11,2,-0.6299299840000006,0
2016-12-12,5,4.771857817599999,4
2016-12-13,6,1.9547800576000003,21
2016-12-14,13,0.06853570560000044,1
2016-12-15,4,4.5214007296,7
2016-12-16,22,1.9700625408000003,4
2016-12-17,2,-1.8659506175999998,0
2016-12-18,1,-0.030986035200000206,0
2016-12-19,254,1.1451954175999997,16
2016-12-20,4,0.025023897600000233,19
2016-12-21,13,0.20106280960000023,14
2016-12-22,11,-0.6715283456,10
2016-12-23,5,-0.39970785279999976,0
2016-12-24,0,-0.2854677503999996,0
2016-12-25,0,-0.16679772159999992,0
2016-12-26,2,-0.094205952,0
2016-12-27,2,-0.07860029439999987,20
2016-12-28,0,-0.05625313279999988,12
2016-12-29,4,-0.026857062399999902,2
2016-12-30,4,-0.012469350399999964,8
2016-12-31,1,0.0,0
2017-01-01,0,0.0,0
2017-01-02,3,0.0,0
2017-01-03,6,2.0,19
2017-01-04,6,2.6,18
2017-01-05,4,15.24,7
2017-01-06,17,7.464,14
2017-01-07,7,-2.6912000000000003,0
2017-01-08,4,-1.9998720000000014,0
2017-01-09,19,4.736934399999999,8
2017-01-10,11,17.87868416,6
2017-01-11,14,9.799087616000001,10
2017-01-12,11,5.5228178431999995,11
2017-01-13,13,3.9641658367999995,12
2017-01-14,7,-2.5999171584000003,0
2017-01-15,2,-2.936843366400001,0
2017-01-16,5,-1.8672456704000011,9
2017-01-17,1,4.589411328,1
2017-01-18,10,2.6617880576000017,3
2017-01-19,10,11.633672192000002,0
2017-01-20,13,5.973496832000001,1
2017-01-21,6,0.13789429759999994,0
2017-01-22,1,1.2657844223999994,0
2017-01-23,13,11.654408499199999,4
2017-01-24,9,8.79079168,0
2017-01-25,12,11.241276928,5
2017-01-26,15,7.2634392576,1
2017-01-27,13,14.40869888,2
2017-01-28,4,-1.0701741055999996,0
2017-01-29,3,-3.829522432000001,0
2017-01-30,12,2.904647270399999,1
2017-01-31,21,12.6298184704,0
2017-02-01,12,7.661666918400001,2
2017-02-02,20,17.6242556928,2
2017-02-03,19,5.517206937600001,1
2017-02-04,3,7.673339084799999,0
2017-02-05,2,-5.2645888,0
2017-02-06,14,4.433607065599999,1
2017-02-07,12,17.9886744576,3
2017-02-08,6,17.1147027456,15
2017-02-09,21,19.6234571776,12
2017-02-10,18,4.130594508800002,3
2017-02-11,9,-4.866726195200002,0
2017-02-12,0,-1.976078643200001,0
2017-02-13,15,6.160530022399999,3
2017-02-14,20,21.4403419136,0
2017-02-15,21,13.0031638528,5
2017-02-16,18,2.6830098432000007,5
2017-02-17,14,10.4590111744,10
2017-02-18,5,-0.07959633920000009,0
2017-02-19,1,-3.1303382016000008,0
2017-02-20,13,0.5371568127999984,12
2017-02-21,6,10.8015193088,12
2017-02-22,18,12.035736064000002,14
2017-02-23,11,7.882219417600002,10
2017-02-24,16,6.1316509696,6
2017-02-25,0,-4.4496425984000005,0
2017-02-26,0,-1.1889655808000006,0
2017-02-27,26,2.5697170431999994,2
2017-02-28,32,10.3645427712,5
2017-03-01,20,15.7389051904,2
2017-03-02,19,7.725982310400001,4
2017-03-03,14,3.1199716352000006,0
2017-03-04,3,9.1505122304,0
2017-03-05,7,-4.4959853568,0
2017-03-06,19,7.875427225599998,8
2017-03-07,17,8.662595379199999,7
2017-03-08,18,11.897851392,9
2017-03-09,21,5.7702069248,11
2017-03-10,20,11.331705344,10
2017-03-11,2,-6.4551591936,1
2017-03-12,1,-3.394463641600001,0
2017-03-13,10,12.7059610624,10
2017-03-14,21,9.3842968576,10
2017-03-15,13,12.7087850496,15
2017-03-16,17,3.6028971008,11
2017-03-17,15,15.7116142592,6
2017-03-18,8,-5.111663308799999,0
2017-03-19,2,-1.0407149568000023,0
2017-03-20,22,11.896448,6
2017-03-21,17,1.8825318400000004,11
2017-03-22,24,7.7551068160000005,5
2017-03-23,22,9.136306278400001,3
