,DevExpress/testcafe,cypress-io/cypress,seleniumhq/selenium
2020-01-01,0,0,2.9415658496
2020-01-02,0,1,1.3626444800000002
2020-01-03,0,1,7.328685568
2020-01-04,0,1,9.0691429376
2020-01-05,0,0,-3.0492693504
2020-01-06,0,2,3.592191999999999
2020-01-07,0,6,0.09084159999999963
2020-01-08,0,1,8.53447424
2020-01-09,1,9,0.07865702399999996
2020-01-10,2,7,1.9096859647999995
2020-01-11,0,2,-1.0411143167999999
2020-01-12,0,0,-1.4112356351999995
2020-01-13,1,7,-0.8908140544
2020-01-14,1,0,-0.5690879999999999
2020-01-15,0,4,2.542580224
2020-01-16,2,4,14.0731528192
2020-01-17,7,0,-3.4959923199999987
2020-01-18,0,0,-1.455885619200001
2020-01-19,0,0,-0.8850651136000003
2020-01-20,0,1,-0.5930773504000002
2020-01-21,2,0,0.5556735999999998
2020-01-22,0,2,-0.5572121600000002
2020-01-23,3,1,3.622936064
2020-01-24,0,3,-1.1012237311999988
2020-01-25,0,2,-0.5406402559999998
2020-01-26,0,1,-0.21753600000000015
2020-01-27,0,5,0.8451712
2020-01-28,1,0,-0.31907072000000003
2020-01-29,2,2,-0.17610291200000006
2020-01-30,0,4,1.8718237696
2020-01-31,0,5,-0.4911508479999997
2020-02-01,0,1,-0.23541340160000002
2020-02-02,0,0,-0.11642880000000008
2020-02-03,0,6,-0.08412672000000003
2020-02-04,4,3,13.934540288
2020-02-05,1,7,-2.853326950399999
2020-02-06,3,7,-1.1538534400000011
2020-02-07,2,10,-0.7007754240000004
2020-02-08,0,0,0.5046612991999999
2020-02-09,0,0,-0.5575040000000002
2020-02-10,1,4,-0.3660032000000002
2020-02-11,0,3,-0.2849740800000002
2020-02-12,2,4,1.7649720320000009
2020-02-13,0,5,-0.6001069055999995
2020-02-14,2,10,1.8195712
2020-02-15,0,2,2.48707328
2020-02-16,0,0,-0.8415877119999999
2020-02-17,6,1,0.6004586495999997
2020-02-18,2,2,-0.4520576000000001
2020-02-19,1,3,-0.26572544000000015
2020-02-20,0,5,-0.19424102399999998
2020-02-21,1,6,-0.15367854079999999
2020-02-22,0,1,-0.10509158399999993
2020-02-23,0,0,-0.08853063679999976
2020-02-24,0,8,1.9456652288
2020-02-25,3,10,-0.41438771199999985
2020-02-26,1,5,0.8275306495999999
2020-02-27,0,3,0.704
2020-02-28,0,14,3.6528
2020-02-29,0,3,0.020928000000000058
2020-03-01,0,0,-0.6424576000000003
2020-03-02,4,5,0.6350105599999998
2020-03-03,5,6,0.542859776
2020-03-04,2,1,2.5219617791999998
2020-03-05,2,2,6.133434368
2020-03-06,0,4,-0.8365927423999999
2020-03-07,0,3,1.9499170815999998
2020-03-08,0,0,0.7729700864
2020-03-09,0,5,-0.049632870400000195
2020-03-10,0,1,5.191047168
2020-03-11,0,4,0.2770251776000001
2020-03-12,1,2,7.7336436736
2020-03-13,0,1,2.4509928448000005
2020-03-14,0,1,-2.2364469248
2020-03-15,0,0,-1.1623307264000007
2020-03-16,2,10,3.2008450047999997
2020-03-17,2,8,11.6204316672
2020-03-18,0,2,0.6358117376000001
2020-03-19,1,1,-0.3900760064000006
2020-03-20,2,0,8.2825382912
2020-03-21,0,2,-0.07510671359999943
2020-03-22,0,0,6.893570047999999
2020-03-23,1,3,-1.0226252800000006
2020-03-24,1,12,-0.010385408000000762
2020-03-25,2,4,-0.6936421375999997
2020-03-26,2,4,-1.2928018431999997
