,tajo/ladle,storybookjs/storybook,histoire-dev/histoire
2022-05-13,0,1.7085244776656285,0
2022-05-14,0,-3.195955053237496,0
2022-05-15,0,-1.7009321238515565,0
2022-05-16,0,12.090818524184382,0
2022-05-17,1,17.23321137644844,0
2022-05-18,0,9.410968236653128,0
2022-05-19,0,14.220253873821875,0
2022-05-20,0,1.9989116128265625,0
2022-05-21,0,6.137143291817189,0
2022-05-22,0,-2.6250706288546857,0
2022-05-23,0,18.34769846264688,0
2022-05-24,1,5.751865303443751,0
2022-05-25,3,13.198191666132814,0
2022-05-26,0,13.690958357026563,0
2022-05-27,0,18.435416140215626,0
2022-05-28,1,-1.2377299899906253,0
2022-05-29,0,5.3501010676437515,0
2022-05-30,0,12.412947789676565,15
2022-05-31,0,41.824138523437504,20
2022-06-01,0,-0.4749012203593761,11
2022-06-02,0,10.027009957676562,19
2022-06-03,0,6.028038183159376,23
2022-06-04,0,-3.464424318204683,7
2022-06-05,0,-2.1978882023374964,8
2022-06-06,0,44.46858543201719,9
2022-06-07,0,22.178836578228125,3
2022-06-08,0,14.161445273757812,7
2022-06-09,3,8.706709885289062,9
2022-06-10,3,16.656238540065626,1
2022-06-11,0,-2.8331875656593724,0
2022-06-12,7,4.902039899640629,0
2022-06-13,1,5.021043622500004,0
2022-06-14,1,27.109446856281252,1
2022-06-15,0,25.971821168909376,0
2022-06-16,0,16.26621835868125,0
2022-06-17,0,59.6945409208125,0
2022-06-18,0,0.4316889986687471,0
2022-06-19,0,8.934401800714063,1
2022-06-20,0,27.66635159580313,3
2022-06-21,3,49.1577984005875,2
2022-06-22,0,18.24557718049375,9
2022-06-23,2,23.6202195904375,0
2022-06-24,5,8.69680855379219,0
2022-06-25,0,-5.742035001806244,0
2022-06-26,0,-4.500448401242181,0
2022-06-27,0,17.02735310315626,0
2022-06-28,1,20.67298104244532,0
2022-06-29,0,78.76055719243907,0
2022-06-30,0,32.57188225105,0
2022-07-01,0,19.951141263743747,0
2022-07-02,0,13.344584201334374,0
2022-07-03,0,-4.358157806126558,0
2022-07-04,0,24.032719909964072,0
2022-07-05,0,18.434670283437505,1
2022-07-06,0,47.25323858889063,3
2022-07-07,0,36.33525138328906,1
2022-07-08,0,18.86105270179375,1
2022-07-09,3,0.566905492950001,0
2022-07-10,10,5.0878583363281304,0
2022-07-11,2,10.983473301412507,0
2022-07-12,0,16.017148283689068,0
2022-07-13,2,-3.4741349714328082,0
2022-07-14,0,6.4079931437578175,1
2022-07-15,0,7.46976001059063,0
2022-07-16,0,0.7927658021437538,0
2022-07-17,0,-2.2220811494328103,0
2022-07-18,2,13.63289898150469,0
2022-07-19,6,20.49277296760469,12
2022-07-20,1,-0.7240579814031252,5
2022-07-21,1,23.72180137071406,14
2022-07-22,0,13.012402956021873,10
2022-07-23,0,15.093896496468751,0
2022-07-24,0,-2.1667635674578127,0
2022-07-25,0,24.372197608606253,0
2022-07-26,0,32.460036253515625,0
2022-07-27,0,17.639880348851563,0
2022-07-28,0,15.083887887626561,4
2022-07-29,0,8.462735230235937,7
2022-07-30,0,-4.846800490949997,13
2022-07-31,0,28.977140079592193,1
2022-08-01,0,16.61504641453594,3
2022-08-02,2,34.73077603225625,8
2022-08-03,0,9.748917927451561,1
2022-08-04,5,8.254167147545314,0
2022-08-05,0,7.166870218309377,1
2022-08-06,0,-4.227085185473433,0
2022-08-07,1,-1.6970789905031203,0
2022-08-08,0,13.918012416000003,0
2022-08-09,2,39.734647270006256,9
2022-08-10,0,46.817730712334374,17
2022-08-11,0,13.476466179796871,4
2022-08-12,0,46.43292201967031,14
2022-08-13,0,-3.1924212041906266,6
2022-08-14,0,12.277395123318755,1
2022-08-15,0,41.35770325948438,0
2022-08-16,3,1.5332115379640658,11
2022-08-17,0,40.970487973503126,4
2022-08-18,2,9.231955271126562,0
2022-08-19,0,2.216180953001568,0
2022-08-20,0,-2.008985998118746,0
2022-08-21,0,-1.6711551824984303,0
2022-08-22,0,53.40344115175313,0
2022-08-23,0,30.417994392618752,18
2022-08-24,0,23.167212601904687,0
2022-08-25,4,37.65248086790625,0
2022-08-26,2,34.12636149277969,0
2022-08-27,0,-7.1931122765375,0
2022-08-28,1,-5.534028704370308,0
2022-08-29,3,31.089331601360946,0
2022-08-30,8,17.447052671053132,1
2022-08-31,3,21.520527967143753,0
2022-09-01,0,36.4093095314,0
2022-09-02,0,42.83852102193281,0
2022-09-03,0,-7.704559466289064,0
2022-09-04,0,5.47319027742344,0
2022-09-05,0,26.295778126178128,0
2022-09-06,0,16.63151623445313,0
2022-09-07,0,33.72803136636719,0
2022-09-08,3,44.20420219845,0
2022-09-09,0,-1.7120296144281255,0
2022-09-10,0,-1.2709609028421847,0
2022-09-11,0,9.483283598385944,0
2022-09-12,0,27.65919998050626,0
2022-09-13,0,40.85348840487032,0
2022-09-14,0,29.620145372026563,0
2022-09-15,0,20.545066816048436,0
2022-09-16,0,7.175599489250001,1
2022-09-17,3,0.8721030077562535,4
2022-09-18,0,6.564309217134381,0
2022-09-19,0,-1.2037125123984316,1
2022-09-20,0,5.782846599246881,0
2022-09-21,0,4.743378437115629,0
2022-09-22,0,6.091905907467192,0
2022-09-23,0,-1.6109487550687485,0
2022-09-24,0,0.4231578199734396,0
2022-09-25,0,-1.166328425398436,2
2022-09-26,0,42.25082088782656,1
2022-09-27,0,44.15105506680781,0
2022-09-28,3,9.78903919275156,0
2022-09-29,0,3.5721250443015595,0
2022-09-30,0,31.859289141321877,0
2022-10-01,0,13.69767187166094,0
2022-10-02,0,13.389014733932814,15
2022-10-03,0,53.575287493678125,30
2022-10-04,0,50.60731646157812,3
2022-10-05,0,78.67299805443906,0
2022-10-06,1,24.75569668822343,11
2022-10-07,0,16.823185624748437,0
2022-10-08,1,-0.34763935388593303,7
2022-10-09,1,13.247306082143762,7
2022-10-10,0,112.55246867323439,1
2022-10-11,1,42.951805933895315,0
2022-10-12,0,57.73294500694219,3
2022-10-13,0,54.7943944639375,0
2022-10-14,0,23.49508168489063,2
2022-10-15,0,6.549965596109381,0
2022-10-16,0,-3.4505264749484272,0
2022-10-17,2,90.21055235131251,6
2022-10-18,1,77.39318859737031,0
2022-10-19,0,34.706276201,0
2022-10-20,0,27.738476563953125,1
2022-10-21,1,22.527303190767192,0
2022-10-22,0,29.16038693682345,0
2022-10-23,0,4.565676289500008,0
2022-10-24,0,47.24012011317188,2
2022-10-25,0,63.348842692967196,0
2022-10-26,0,55.229761402275,5
2022-10-27,0,57.798537985579685,0
2022-10-28,0,47.20193977842344,0
2022-10-29,0,-1.4032691738578098,0
2022-10-30,0,-6.579862614934367,0
2022-10-31,0,11.432121110276576,0
2022-11-01,0,29.619164486800017,0
2022-11-02,0,53.10102488181563,0
2022-11-03,0,59.34647303496094,0
2022-11-04,0,50.42886793359375,0
2022-11-05,0,-6.856610502607815,0
2022-11-06,0,-5.4384318644828085,0
2022-11-07,0,17.241092121184384,0
2022-11-08,0,30.456905856309387,0
2022-11-09,0,24.86747266523907,0
2022-11-10,0,20.670681065451568,0
2022-11-11,0,40.0347025211625,6
2022-11-12,0,-9.50653022430156,7
2022-11-13,0,11.794805620340629,0
2022-11-14,0,56.97128836695157,1
2022-11-15,0,35.485733319282815,0
2022-11-16,0,53.156904471345314,0
2022-11-17,0,52.976731835404685,0
2022-11-18,0,18.740299618860938,0
2022-11-19,0,3.223849039207815,0
2022-11-20,0,-4.127273782974992,0
2022-11-21,0,38.256821198734386,0
2022-11-22,0,12.24777223117032,0
2022-11-23,0,25.495252380818755,0
2022-11-24,0,40.06968875964844,0
2022-11-25,0,42.45254848922032,0
2022-11-26,0,-8.503620728835937,0
2022-11-27,0,1.0454627516312538,0
2022-11-28,1,47.28396516493438,0
2022-11-29,0,39.45803078341876,0
2022-11-30,0,44.212751338840626,0
2022-12-01,0,22.072076697229686,0
2022-12-02,0,38.375095361564064,5
2022-12-03,0,11.331110321462504,11
2022-12-04,0,5.592163518350006,0
2022-12-05,1,43.39740829881875,0
2022-12-06,0,66.41975691043595,0
2022-12-07,0,63.59339563338125,0
2022-12-08,0,67.89345409918124,0
2022-12-09,0,33.21888643854375,1
2022-12-10,0,-4.4704581509359365,0
2022-12-11,0,-6.858445680568739,0
2022-12-12,0,26.99529384949064,0
2022-12-13,0,67.35658928621564,0
2022-12-14,0,84.67824143526563,0
2022-12-15,2,32.63389469131562,2
2022-12-16,5,42.54593818693594,0
2022-12-17,0,-12.187262911264058,0
2022-12-18,0,-2.4362132707031137,0
2022-12-19,0,34.582741413093764,12
2022-12-20,0,46.10588265986095,8
2022-12-21,0,9.765984617090629,0
2022-12-22,0,21.219364506737506,0
2022-12-23,0,36.58346908944688,4
2022-12-24,0,0.6877798138125044,0
2022-12-25,0,6.695590339420316,0
2022-12-26,0,-0.24378656691562028,0
2022-12-27,0,0.887435494893758,0
2022-12-28,0,13.474183083917193,1
2022-12-29,0,31.914747087195316,0
2022-12-30,0,39.08540800002656,0
2022-12-31,0,2.2470209632187483,0
2023-01-01,0,8.833494141976562,0
2023-01-02,0,6.520010111687502,0
2023-01-03,0,18.03873515820469,0
