,pallets/flask,expressjs/express,django/django
2011-04-25,2,13,2.0
2011-04-26,0,27,3.0
2011-04-27,2,3,3.0
2011-04-28,0,1,10.0
2011-04-29,0,2,5.0
2011-04-30,0,0,7.0
2011-05-01,1,1,4.0
2011-05-02,0,1,0.0
2011-05-03,0,8,9.0
2011-05-04,0,2,5.0
2011-05-05,0,0,7.0
2011-05-06,0,0,5.0
2011-05-07,1,0,12.0
2011-05-08,2,5,0.0
2011-05-09,0,0,16.0
2011-05-10,0,0,5.0
2011-05-11,0,0,2.0
2011-05-12,1,0,2.0
2011-05-13,0,1,3.0
2011-05-14,0,3,5.0
2011-05-15,0,0,3.0
2011-05-16,0,11,0.0
2011-05-17,1,1,3.0
2011-05-18,0,0,6.0
2011-05-19,1,2,0.0
2011-05-20,0,26,5.0
2011-05-21,0,1,4.0
2011-05-22,0,2,8.0
2011-05-23,0,14,5.0
2011-05-24,7,2,4.0
2011-05-25,0,11,0.0
2011-05-26,0,5,2.0
2011-05-27,6,2,5.0
2011-05-28,2,0,2.0
2011-05-29,5,0,3.0
2011-05-30,3,1,5.0
2011-05-31,0,0,5.0
2011-06-01,0,1,6.0
2011-06-02,1,6,5.0
2011-06-03,0,0,4.0
2011-06-04,0,3,6.0
2011-06-05,20,0,1.0
2011-06-06,1,6,1.0
2011-06-07,1,2,5.0
2011-06-08,6,1,4.0
2011-06-09,0,0,10.0
2011-06-10,2,0,11.0
2011-06-11,0,0,14.0
2011-06-12,0,4,9.0
2011-06-13,0,2,6.0
2011-06-14,0,0,7.0
2011-06-15,0,0,3.0
2011-06-16,4,0,15.0
2011-06-17,11,0,9.0
2011-06-18,0,0,3.0
2011-06-19,0,0,6.0
2011-06-20,3,0,0.0
2011-06-21,2,12,0.0
2011-06-22,0,2,2.0
2011-06-23,1,2,0.0
2011-06-24,1,0,0.0
2011-06-25,4,0,7.0
2011-06-26,6,0,16.0
2011-06-27,10,0,2.0
2011-06-28,20,8,12.0
2011-06-29,6,1,2.0
2011-06-30,4,0,2.0
2011-07-01,0,1,3.0
2011-07-02,0,0,0.0
2011-07-03,0,0,7.0
2011-07-04,0,7,11.0
2011-07-05,0,1,7.0
2011-07-06,8,9,4.0
2011-07-07,8,3,2.0
2011-07-08,3,0,4.0
2011-07-09,0,2,1.0
2011-07-10,7,0,6.0
2011-07-11,3,18,0.0
2011-07-12,3,0,1.0
2011-07-13,2,0,2.0
2011-07-14,3,22,2.0
2011-07-15,3,23,0.0
2011-07-16,0,0,0.0
2011-07-17,0,0,2.0
2011-07-18,3,0,0.0
2011-07-19,2,4,3.0
2011-07-20,0,1,0.0
2011-07-21,0,0,0.0
2011-07-22,0,1,0.0
2011-07-23,2,0,0.0
2011-07-24,0,0,0.0
2011-07-25,0,2,2.0
2011-07-26,1,2,2.0
2011-07-27,3,6,0.0
2011-07-28,0,0,1.0
2011-07-29,2,9,17.0
2011-07-30,3,0,3.0
2011-07-31,0,0,1.0
2011-08-01,0,0,1.0
