,vuejs/core,sveltejs/svelte,facebook/react
2023-11-16,0,1.4196469344484361,10
2023-11-17,1,4.1886312799640635,4
2023-11-18,0,2.2323990225625003,0
2023-11-19,0,-0.5501368359468732,0
2023-11-20,0,4.929364053932814,0
2023-11-21,5,6.610505072490627,3
2023-11-22,1,8.305101262428126,1
2023-11-23,0,8.031840958926562,2
2023-11-24,0,3.8900431298625,0
2023-11-25,63,-0.7455425857374998,0
2023-11-26,0,-1.1692911385281237,0
2023-11-27,11,10.201185499340626,3
2023-11-28,4,2.3001790743703134,8
2023-11-29,3,0.6181402931593758,6
2023-11-30,20,9.93760026205625,3
2023-12-01,8,-0.7906833455156246,5
2023-12-02,0,-1.0644263497031243,0
2023-12-03,1,-0.6690355657312493,0
2023-12-04,10,7.528901438714064,9
2023-12-05,4,10.826102996828126,5
2023-12-06,2,13.126253090042187,6
2023-12-07,7,12.544075292574998,3
2023-12-08,18,0.18455715550624863,6
2023-12-09,0,-1.881339690910937,0
2023-12-10,0,-0.17953345253593578,0
2023-12-11,12,1.0161175300000025,12
2023-12-12,15,4.044160203375002,6
2023-12-13,3,2.7873035422750014,2
2023-12-14,4,2.8471350930843755,4
2023-12-15,4,-0.082730322023437,10
2023-12-16,8,-0.6973957395859369,7
2023-12-17,0,-0.3848480288578119,1
2023-12-18,0,-0.2731827680156242,2
2023-12-19,10,-0.2207815098171868,2
2023-12-20,1,-0.1777788551499995,8
2023-12-21,0,-0.13780431224218712,0
2023-12-22,5,-0.08296235845624979,0
2023-12-23,0,-0.04316372315937489,0
2023-12-24,1,-0.008398852535937478,0
2023-12-25,1,0.0,0
2023-12-26,17,0.0,0
2023-12-27,3,11.0,0
2023-12-28,1,-1.100000000000001,0
2023-12-29,5,-0.4950000000000004,0
2023-12-30,16,-0.3135000000000002,0
2023-12-31,1,-0.22728749999999917,0
2024-01-01,0,1.8227157500000006,0
2024-01-02,2,9.6552178625,3
2024-01-03,9,2.7879693412499993,1
2024-01-04,8,1.9877485568281246,0
2024-01-05,0,1.1012876221046874,0
2024-01-06,1,-0.6878584999999995,0
2024-01-07,0,-0.44564152499999926,0
2024-01-08,12,6.662737982500001,1
2024-01-09,8,13.02760311146875,4
2024-01-10,5,1.0564248422718743,4
2024-01-11,11,9.688633108828125,4
2024-01-12,5,1.1368747583093743,9
2024-01-13,5,0.6730745663609383,0
2024-01-14,1,-1.0450537925718741,1
2024-01-15,3,2.2869382012500017,4
2024-01-16,0,3.1419522738906265,3
2024-01-17,0,3.0045131737796886,3
2024-01-18,12,0.9944609292000004,7
2024-01-19,0,5.253959385470313,12
2024-01-20,0,0.9217200405578128,2
2024-01-21,0,-0.7579362211390621,0
2024-01-22,0,2.5304811561781255,6
2024-01-23,0,3.3610637259531257,10
2024-01-24,0,3.192805880329688,6
2024-01-25,0,3.1292383702937503,14
2024-01-26,0,3.098394261325,21
2024-01-27,0,-0.9213952256656248,4
2024-01-28,0,-0.5501327787468745,1
2024-01-29,1,4.636156156178126,13
2024-01-30,0,4.227155225953125,10
2024-01-31,0,11.050040355329688,6
2024-02-01,0,0.26360850279374914,23
2024-02-02,0,-1.1020559472062499,22
2024-02-03,0,-0.6877649122062495,1
2024-02-04,0,0.5150607773562514,4
2024-02-05,6,9.54399545625,20
2024-02-06,5,4.661512303671875,25
2024-02-07,4,0.6722157922421874,8
2024-02-08,3,3.0453360886328125,9
2024-02-09,6,2.9963353935375006,15
2024-02-10,0,-0.9521022175718745,1
2024-02-11,0,-0.5747393212499994,2
2024-02-12,0,1.5716391494843758,5
2024-02-13,11,4.455914814807813,9
2024-02-14,0,3.1292991540468753,16
2024-02-15,0,3.151447423753125,7
2024-02-16,0,3.1367292578656247,11
2024-02-17,0,6.09858533779375,3
2024-02-18,0,3.7828468148562497,3
2024-02-19,0,7.835885545,6
2024-02-20,2,13.401129842718749,19
2024-02-21,0,2.5817333948499996,9
2024-02-22,0,5.1750799002578125,10
2024-02-23,0,5.17257621529375,8
2024-02-24,0,-1.8278228484562486,3
2024-02-25,17,-1.1340639450031234,1
2024-02-26,13,3.1713717634203142,8
2024-02-27,0,0.9822206639296891,11
2024-02-28,5,4.140465813192188,4
2024-02-29,0,1.9523856856328128,7
2024-03-01,0,0.14872167246093781,5
2024-03-02,0,0.39093784113906294,0
2024-03-03,0,-0.4774860177515619,2
2024-03-04,0,1.7132299400000006,2
2024-03-05,1,11.5762165429375,7
2024-03-06,3,1.5255341950749994,17
2024-03-07,2,2.9758008785999994,6
2024-03-08,0,2.986720089523437,7
2024-03-09,0,-0.9915420668734369,1
2024-03-10,0,3.4063203094484384,0
2024-03-11,0,7.166469354964063,12
2024-03-12,1,9.68113598146875,5
2024-03-13,3,6.143986399990625,10
2024-03-14,0,0.16783599552187467,11
2024-03-15,1,0.7888884053296878,4
2024-03-16,1,0.001261787793751079,1
2024-03-17,0,-0.7728505451437485,0
2024-03-18,0,1.4559360404375012,12
2024-03-19,2,3.360472826981251,12
2024-03-20,0,1.1695881415406255,9
2024-03-21,1,6.329437950479688,11
2024-03-22,0,11.93299814868125,25
2024-03-23,0,4.166088472646874,1
2024-03-24,0,2.4570179569124995,1
2024-03-25,1,9.699394704964062,10
2024-03-26,0,10.07773481396875,21
2024-03-27,0,0.6881148128656251,12
2024-03-28,1,7.365655427575001,22
2024-03-29,0,4.024279477568751,13
2024-03-30,0,2.181875485545314,3
2024-03-31,0,0.46235961643906376,0
2024-04-01,2,2.8460460739718765,13
2024-04-02,1,8.815517004184375,28
2024-04-03,0,5.224703164667188,20
2024-04-04,0,-1.6780985107281248,6
2024-04-05,0,1.0545948977515631,6
2024-04-06,0,2.125709639082814,1
2024-04-07,0,-0.8593068097781238,0
2024-04-08,0,3.466455803825001,20
2024-04-09,1,5.215032992865625,15
2024-04-10,0,6.9188445859500005,26
2024-04-11,0,3.59035900853125,9
2024-04-12,3,5.765884602248438,7
2024-04-13,0,0.6061402852187499,0
2024-04-14,3,4.982348805881251,0
2024-04-15,24,0.729710082392188,7
2024-04-16,4,8.037647220437501,8
2024-04-17,2,6.4392928292625005,7
2024-04-18,4,6.307249311909375,20
2024-04-19,1,8.226462215884375,10
2024-04-20,0,-0.016327921289062353,5
2024-04-21,0,-1.3591655462828116,3
2024-04-22,12,8.115912911834377,6
2024-04-23,0,1.4327718925031263,18
2024-04-24,6,8.795549307787502,9
2024-04-25,4,2.2037606280515627,12
2024-04-26,1,-0.40246081191249927,4
2024-04-27,1,2.042900407056251,2
2024-04-28,0,0.06444148610937617,0
2024-04-29,18,12.336555491178126,3
2024-04-30,2,0.23335446910937474,3
2024-05-01,1,0.840516125629688,8
2024-05-02,0,5.092070764735937,8
2024-05-03,5,3.7954292388281257,15
2024-05-04,1,-1.1674495744093747,0
2024-05-05,0,0.31113784966718805,0
2024-05-06,5,3.3959845531265636,8
2024-05-07,0,3.1736886607609383,15
2024-05-08,1,4.081435073501563,10
2024-05-09,0,1.0170309288968749,5
2024-05-10,0,9.232557185584374,4
2024-05-11,0,3.50898630720625,9
