,filamentphp/filament,thedevdojo/wave,thedevdojo/voyager
2022-04-03,4.367151454859378,0,0
2022-04-04,3.272392634307815,0,0
2022-04-05,12.390048084876565,4,0
2022-04-06,8.519062445623437,0,0
2022-04-07,32.539929853639066,0,0
2022-04-08,-0.8715033222000024,0,0
2022-04-09,-0.8619315233812497,0,0
2022-04-10,-0.013187355215623864,0,0
2022-04-11,1.3983817156562537,0,0
2022-04-12,5.507935184706253,0,0
2022-04-13,15.243556258851564,2,0
2022-04-14,4.162178702575,0,0
2022-04-15,1.743301856557813,0,0
2022-04-16,4.226767741679688,0,0
2022-04-17,23.442014783825,1,0
2022-04-18,2.536028242646874,2,0
2022-04-19,40.56162001963125,0,0
2022-04-20,21.15615632753281,0,0
2022-04-21,5.228979787232811,0,0
2022-04-22,4.599500705779688,0,0
2022-04-23,-1.6423657098140594,0,0
2022-04-24,7.383272480512504,0,0
2022-04-25,11.068930594393754,0,0
2022-04-26,57.62996878225782,0,0
2022-04-27,13.892481738862497,0,0
2022-04-28,17.55715761828281,0,0
2022-04-29,0.9628697471078116,0,0
2022-04-30,-1.225356712535934,0,0
2022-05-01,7.873371813645317,0,0
2022-05-02,7.64435615477188,0,0
2022-05-03,-2.3961641538281215,0,1
2022-05-04,24.655494603043753,0,5
2022-05-05,26.584646561464062,0,0
2022-05-06,22.720372070584375,0,0
2022-05-07,3.3909393717781224,0,0
2022-05-08,11.028186046951562,0,0
2022-05-09,14.955669577970315,0,0
2022-05-10,21.526223895182817,0,0
2022-05-11,54.67076062283906,0,0
2022-05-12,20.854327512292187,0,0
2022-05-13,4.972192920545311,0,0
2022-05-14,-3.028993896801561,0,0
2022-05-15,17.863448130603132,0,0
2022-05-16,0.9355130781921925,0,0
2022-05-17,0.18644741216406757,0,0
2022-05-18,19.96265826341094,0,0
2022-05-19,17.54968875312813,0,0
2022-05-20,23.197771868625,0,0
2022-05-21,-5.324049509031251,0,0
2022-05-22,27.11237208548594,0,0
2022-05-23,0.021830078548438436,0,0
2022-05-24,22.62759579361563,0,0
2022-05-25,44.23534534397187,0,0
2022-05-26,55.301360722996876,0,0
2022-05-27,9.452885010329684,0,0
2022-05-28,-0.6968566452281255,0,0
2022-05-29,20.539213178993755,0,0
2022-05-30,5.7388115532812565,0,0
2022-05-31,6.768712893843757,0,0
2022-06-01,11.388459195164067,0,0
2022-06-02,18.218597132550006,0,0
2022-06-03,19.642658993254692,1,0
2022-06-04,15.427286831173438,0,0
2022-06-05,-0.08583649432812379,0,0
2022-06-06,1.51075788884219,0,0
2022-06-07,26.11234577287813,0,0
2022-06-08,87.19983733588126,1,0
2022-06-09,4.072651185068745,0,0
2022-06-10,2.3414062413156227,0,0
2022-06-11,4.2470446325328135,0,0
2022-06-12,31.193479819523446,0,0
2022-06-13,32.190274687917196,0,0
2022-06-14,14.108048830992189,0,0
2022-06-15,32.10051990486719,0,0
2022-06-16,-0.3394882859796855,0,0
2022-06-17,14.263614970943756,2,0
2022-06-18,28.63053756676875,0,0
2022-06-19,-3.780769208015622,0,0
2022-06-20,32.65548052732813,0,0
2022-06-21,19.220913296096874,1,0
2022-06-22,6.548631611004691,0,0
2022-06-23,6.955614216600002,0,0
2022-06-24,3.587653146973441,0,0
2022-06-25,1.4807264594000045,1,0
2022-06-26,3.0967767555000045,0,0
2022-06-27,20.422587238481253,1,0
2022-06-28,6.090032595814064,0,0
2022-06-29,25.700057616514066,0,2
2022-06-30,32.2087625598625,0,1
2022-07-01,7.759497528345311,1,0
2022-07-02,3.2194164591937495,0,0
2022-07-03,15.270799149634378,0,0
2022-07-04,11.622922470476565,0,0
2022-07-05,8.668305610425003,0,0
2022-07-06,13.94999710776719,0,0
2022-07-07,13.681273960937503,0,0
2022-07-08,11.52447959737969,0,0
2022-07-09,0.7669777664515642,0,0
2022-07-10,2.0700543816218775,0,0
2022-07-11,2.559379429915628,0,0
2022-07-12,26.817993017317193,0,0
2022-07-13,24.675947032721876,0,0
2022-07-14,1.7769103002515614,0,0
2022-07-15,16.417885567571876,0,0
2022-07-16,22.753152852353125,0,0
2022-07-17,36.830400000596875,0,0
2022-07-18,39.875974078492185,0,0
2022-07-19,7.321181368492185,0,0
2022-07-20,19.47445088111719,0,0
2022-07-21,12.175578825254691,0,0
2022-07-22,1.9381658228484433,0,7
2022-07-23,2.4134201981859427,0,0
2022-07-24,46.09253566785938,0,0
2022-07-25,44.28474291112344,0,0
2022-07-26,21.55680776675625,0,0
2022-07-27,-2.224924917439065,0,0
2022-07-28,0.6778236422687529,0,0
2022-07-29,35.78516072926875,0,0
2022-07-30,25.108510298942193,0,0
2022-07-31,16.832127276103126,0,0
2022-08-01,56.27722228896719,0,0
2022-08-02,8.444427937640624,0,0
2022-08-03,5.396237712146878,0,1
2022-08-04,15.12704701579219,0,0
2022-08-05,10.112225256690632,0,0
2022-08-06,19.572545034159383,0,0
2022-08-07,-6.130926365437496,0,0
2022-08-08,14.328185855225005,0,0
2022-08-09,12.632185677903127,0,0
2022-08-10,22.584023529189068,0,0
2022-08-11,6.891555161364062,0,0
2022-08-12,13.91190589120469,0,0
2022-08-13,8.642324682245313,0,0
2022-08-14,-3.8943779409656227,0,0
2022-08-15,7.585485691601566,0,0
2022-08-16,7.347977191968753,0,0
2022-08-17,20.2199713843375,0,0
2022-08-18,12.984316725467188,0,0
2022-08-19,25.060993530342188,0,0
2022-08-20,22.8944735840375,0,0
2022-08-21,23.36690746015,0,0
2022-08-22,44.93981007953281,6,0
2022-08-23,20.414456369843748,0,0
2022-08-24,28.273983368234376,0,0
2022-08-25,43.71666757653125,0,0
2022-08-26,38.786238279157814,0,0
2022-08-27,2.200249821935939,0,0
2022-08-28,25.29730493327032,0,0
2022-08-29,28.60372118029063,1,0
2022-08-30,34.06686617141094,0,0
2022-08-31,31.246546478214064,0,0
2022-09-01,38.20928294039531,0,0
2022-09-02,24.31852650314375,5,1
2022-09-03,10.202540616615629,0,0
2022-09-04,7.127798967785943,0,0
2022-09-05,17.548540538767195,0,0
2022-09-06,14.210347333485945,0,0
2022-09-07,7.606350600248444,0,0
2022-09-08,12.592108149814067,0,0
2022-09-09,30.77869715252657,0,0
2022-09-10,50.212945510228124,0,0
2022-09-11,-3.428346592820315,0,0
2022-09-12,40.35728778154687,0,0
2022-09-13,-1.301309596664062,0,0
2022-09-14,11.506299493309381,0,0
2022-09-15,12.647518982026565,0,0
2022-09-16,59.74890315271563,0,0
2022-09-17,57.11254062454063,0,0
2022-09-18,7.878152964315623,0,0
2022-09-19,19.348001662357813,0,0
2022-09-20,-3.034609600184371,0,0
2022-09-21,9.35918928098751,0,0
2022-09-22,46.70725711598282,0,0
2022-09-23,36.16365977885782,0,0
2022-09-24,-6.601719090412498,0,0
2022-09-25,19.025066088117192,0,0
2022-09-26,14.635775812279691,0,0
2022-09-27,20.232828016093755,0,0
2022-09-28,2.8214192201656267,0,0
2022-09-29,25.41190552458594,0,0
2022-09-30,14.85493131639844,0,0
2022-10-01,1.1881774311781284,0,0
2022-10-02,2.93460402808594,0,0
2022-10-03,10.781989920751567,0,0
2022-10-04,19.35028489827344,2,0
2022-10-05,16.467555067089066,0,0
2022-10-06,27.294847116925,0,0
2022-10-07,74.10966697795781,0,0
2022-10-08,22.637937889343746,0,0
2022-10-09,34.77812410688594,0,0
2022-10-10,21.206540056139062,0,0
2022-10-11,51.05795837377969,1,0
2022-10-12,14.367327843887502,0,0
2022-10-13,38.55731303834531,0,0
2022-10-14,43.15275945524532,0,0
2022-10-15,11.969088205100004,0,0
2022-10-16,5.4043941320937545,0,0
2022-10-17,14.629972407340631,1,0
2022-10-18,41.87761968493438,0,0
2022-10-19,69.56161958794844,0,1
2022-10-20,44.5753071144375,0,4
2022-10-21,-4.040423338184377,0,0
2022-10-22,18.487956277931254,0,0
2022-10-23,2.6807944819343827,0,0
2022-10-24,21.722754663903135,0,0
2022-10-25,4.894890221867193,2,0
2022-10-26,12.230140927693757,0,1
2022-10-27,34.2702272525047,1,0
2022-10-28,1.4184766410046912,0,0
2022-10-29,4.070220799525002,0,0
2022-10-30,12.16517286700469,0,0
2022-10-31,31.821310393357816,1,0
2022-11-01,24.86252677766719,1,0
2022-11-02,43.41683209030625,0,0
2022-11-03,76.2681274227875,0,0
2022-11-04,13.61256875497812,1,0
2022-11-05,29.096755115171874,0,0
2022-11-06,-4.883280329964061,3,0
2022-11-07,20.377271866426575,0,0
2022-11-08,-3.445157367887493,0,0
2022-11-09,23.729077980221884,0,0
2022-11-10,0.3815156518546923,0,0
2022-11-11,18.196431230625006,0,0
2022-11-12,27.56998661677344,0,0
2022-11-13,11.791044455170313,0,0
2022-11-14,18.719902087270313,0,0
2022-11-15,20.53503338839844,0,0
2022-11-16,5.07555870071719,0,0
2022-11-17,54.45076360115313,0,0
2022-11-18,32.07795215909844,0,0
2022-11-19,23.125601631639064,0,0
2022-11-20,34.60267422965781,0,0
2022-11-21,-4.362724552967187,0,0
2022-11-22,20.04091215197813,0,0
2022-11-23,-6.721424745518745,0,0
2022-11-24,2.7654842996437585,0,0
2022-11-25,5.229723457932819,0,0
2022-11-26,43.35839329923907,0,0
2022-11-27,5.083086528276562,0,0
2022-11-28,12.205980952928126,0,0
2022-11-29,28.424291923376565,0,0
2022-11-30,11.093907261414063,0,0
2022-12-01,31.91057859781563,0,0
2022-12-02,14.264400455140624,0,0
2022-12-03,6.970398091357815,0,0
2022-12-04,3.9352057979421904,0,0
2022-12-05,28.745497675873445,0,0
2022-12-06,23.04097400955313,0,0
2022-12-07,0.6173136286234389,0,0
2022-12-08,13.53232727129844,0,0
2022-12-09,10.330704891560941,0,0
2022-12-10,-0.41493353090780793,0,0
2022-12-11,9.96502309879219,0,0
2022-12-12,1.6646675111421905,0,0
2022-12-13,15.39576571891094,0,0
2022-12-14,7.410883440110939,0,0
2022-12-15,58.906758865348436,0,0
2022-12-16,-7.970905345782816,0,0
2022-12-17,4.93380626161875,0,0
2022-12-18,9.441326846148439,0,0
2022-12-19,-0.61372743559687,0,0
2022-12-20,6.357766181954691,0,0
2022-12-21,-0.7437618307109344,0,0
2022-12-22,4.9515967936812535,0,0
2022-12-23,-2.1220861473640604,0,0
2022-12-24,3.602008964021878,0,0
2022-12-25,-1.155694655890624,0,0
2022-12-26,0.2464120567234388,0,0
2022-12-27,-0.6193745632640616,0,0
2022-12-28,0.6260546452515635,0,0
2022-12-29,16.618534077395314,0,0
2022-12-30,12.084751541318749,0,0
2022-12-31,56.676122800998435,0,0
2023-01-01,2.903833922421869,0,0
2023-01-02,9.525532791070312,0,0
2023-01-03,7.882509924484374,1,0
2023-01-04,-1.8029687612859333,0,0
2023-01-05,3.3210574257343795,0,0
2023-01-06,18.41462684119844,0,0
2023-01-07,24.036530420920315,0,0
2023-01-08,15.871954459074999,0,0
2023-01-09,6.980820172723437,0,0
2023-01-10,-1.8510062875781244,3,0
2023-01-11,7.410935090809378,0,0
2023-01-12,21.219931203537502,1,0
2023-01-13,1.8308866955843763,0,0
2023-01-14,5.961920553956252,0,0
2023-01-15,11.071941061057814,0,0
2023-01-16,1.7713816756656273,0,0
2023-01-17,-0.3422801769421855,0,0
2023-01-18,13.346588881037501,0,0
2023-01-19,2.3754726297718762,0,0
2023-01-20,4.940404672265626,0,0
2023-01-21,-2.017502530206249,0,0
2023-01-22,20.84269925764375,0,0
2023-01-23,20.964097688707813,0,0
2023-01-24,6.999735669418749,0,0
2023-01-25,21.78683635503906,1,0
2023-01-26,4.558500030943749,0,0
2023-01-27,19.559551273132815,1,0
2023-01-28,5.569873771210938,1,0
2023-01-29,13.39591166474844,0,0
2023-01-30,27.98408501615625,0,0
2023-01-31,13.264216510584376,0,0
2023-02-01,6.8955653272156265,0,0
2023-02-02,8.786405242964065,0,0
2023-02-03,-3.9995460192890593,0,0
2023-02-04,10.534324452817192,0,0
2023-02-05,-2.123302224732809,1,0
2023-02-06,5.001260135875004,0,0
2023-02-07,13.857291361639064,0,0
2023-02-08,21.033095754053125,0,0
2023-02-09,1.0317037443796866,0,0
2023-02-10,-1.5930347121343749,0,0
2023-02-11,13.281017603282814,0,0
2023-02-12,22.331116147046878,0,0
2023-02-13,34.899384030267186,0,0
2023-02-14,41.87748926635469,0,0
2023-02-15,9.862502001498434,0,0
2023-02-16,106.7375346033,0,0
2023-02-17,-9.14469415969063,0,0
2023-02-18,68.63462841805469,0,0
2023-02-19,-9.278613441520315,0,0
2023-02-20,45.90941463282032,0,0
2023-02-21,38.927783083992196,0,0
2023-02-22,-2.7055412186515575,0,0
2023-02-23,1.0794259427437556,0,0
2023-02-24,44.77732214358751,0,0
2023-02-25,42.42172762409532,0,0
2023-02-26,-0.28557667741874937,0,0
